全场最高能：451:58	极限灯顶

其他高能：
 1:22 - 3:01	早[比心][比心][比心]	(啊啊啊,比心,])
 253:47 - 254:52	跳了吧纯浪费时间	(人生,应该,就是)
 256:56 - 257:28	弱者通道	(通道,劈进,弱者)
 258:51 - 259:29	老三做的图[花][花][花]	(花,],[)
 259:57 - 260:53	这个什么情况	(？,74,情况)
 263:15 - 263:44		(?,蒙,？)
 264:51 - 265:14	大戾士	(士,大戾)
 265:18 - 268:42	主播我可以睁眼了吗	(了,吗,主播)
 268:48 - 268:54		()
 272:34 - 273:26	看好了	(cheat,pause,雅阁)
 277:55 - 278:16	被主播发现了	(发现,过不去,了)
 278:37 - 281:33	这个赞是你点的吗	(哈哈哈,走马灯,你)
 282:43 - 283:05	明天就取关了	(取关,明天,就)
 284:12 - 284:30	其他人的图，BUG地图	(地图,BUG,其他人)
 285:49 - 285:51		()
 289:15 - 290:02	大蘑菇	(∠,这代,＿)
 292:25 - 295:37	确实是对牛的束缚	(了,],[)
 300:27 - 300:55	文化自信，不赖	(彩,就学,藤子)




 301:06 - 301:32	遥遥领先[牛]	(傲娇,],[)
 304:42 - 305:00	妓不如偷	(妓,可惜,偷)
 306:17 - 307:21	没关系哦孙孙，这次能第二也已经很棒了	(了,第二,闪电)
 308:25 - 308:48	主播的飞舞榜榜首是谁 爱不释手还是问号箱	(榜首,榜,飞舞)
 309:04 - 311:33	那咋了	(],[,委屈)
 312:16 - 312:19		()
 312:33 - 312:44	孙不准这一块	(一块,能别,不准)
 319:49 - 321:22	给人打到第四了，真孙子	(！,傲娇,灯顶)
 321:28 - 321:32		()
 326:49 - 329:33	该[花]	(士,大戾,哈哈哈)
 335:43 - 337:54	道具赛是挺残酷的	(],[,？)
 339:29 - 340:23	来个胖哥[妙]	(胖哥,强大,口中)
 341:41 - 341:45		()
 342:35 - 343:08	孙孙可以讲一下还花呗的故事吗	(一下,还花,讲)
 343:29 - 343:42		()
 345:31 - 348:11	结束了	(了,结束,哈哈哈)
 348:42 - 348:44		(没电到,减速,俩)
 355:54 - 356:12	孙孙发瘟了吗	(瘟,孙孙发,了)
 360:58 - 361:44	这也是主播计划的一部分吗[哇]	(吗,是,太短)
 363:26 - 364:11	应该为拿到金蘑菇感到可耻	(蘑菇,你,可耻)
 365:25 - 367:15	检验实战技术来了[花]	(666,了,抽)
 368:42 - 369:18	这图过不去了是吧	(话,一桌,喝酒)
 369:38 - 370:05	哦哦	(嗯,哦)
 371:39 - 373:03	差个雷就圆满了	(饼,孙,黑)
 373:57 - 374:17	牛能吃牛排吗	(牛排,牛能,满)
 376:12 - 378:24	还是好闪多	(第二名,的,闪电)




 379:23 - 379:59	主播能不能撑到八强都难说还想看庐山瀑布	(八强,撑,全对)
 387:26 - 387:46	问号箱	(羽毛,箱,问号)
 393:42 - 393:46		()
 394:08 - 394:11		()
 394:16 - 395:50	就不能当主播在憋大局观[哇]	(isun,不能,大局观)
 397:38 - 399:55	拉力赛就这样啊，大长图都能存道具，没法	(？,啊,没)
 400:14 - 401:31	但凡来个电都有了，最想念电的一局	(赖,领先,电)
 408:44 - 410:09	怎么都是牛 他那么厉害	(你,牛哥,都)
 410:31 - 410:35		()
 410:40 - 411:22	本是同根生相煎何太急	(何太急,煎,生相)
 417:28 - 417:59	爱牛淘汰了	(爱牛,没有,了)
 419:54 - 421:50	他也掉下去了	(了,也,他)
 424:47 - 426:17	掉下去还是第二，马灯都看不见了	(马灯,故意,还是)
 428:19 - 428:42	这里也是故意的吗	(故意,的,也)
 430:01 - 431:43	明明是技不如人	(故意,的,因为)
 432:09 - 432:40	真乃圣人也	(圣人,乃,真)
 436:39 - 436:43		()
 439:37 - 442:10	每次都强调自己这套牛车是专玩落后吃道具的 结果每次就抢着冲第一	(了,LOSE,能)
 451:18 - 453:26	极限灯顶	(好不好,巨化,极)

