全场最高能：170:40	笑了

其他高能：
 2:47 - 6:10	早捏[比心]	(啊啊啊,比心,])
 184:33 - 185:04	不喜欢他这样就直接说呗 还能怎么 不沟通怎么进步	(不,说,怎么)
 185:23 - 192:03	省油吧，到的更快了	(的,了,？)
 194:41 - 195:44	两头牛多少钱主播	(加油,吧,两头)
 203:23 - 203:25	大聪明赢了	(有,吗,大概)
 208:19 - 209:57	笑死我了	(？,了,吧)
 213:26 - 213:38	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(群,送灯牌,支持)
 213:48 - 213:55		()




 214:07 - 215:38	大奔奔是奔奔大王 中间忘了 都是他教的	(走马灯,奔,了)
 217:49 - 218:20	这是惊奇的花吧	(？,1,力气)
 221:08 - 221:19	笑跟孙	(跟,笑,孙)
 221:27 - 222:42	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(-,吃,∠)
 228:41 - 230:34	主播不都是啵舰长吗怎么会骂你	(技不如人,骂,不如)
 234:56 - 235:06	最右边啊，有无敌星	(右边,红门,刚才)
 240:08 - 240:24	那是脐带[dog]	(是,那,脂肪瘤)
 242:17 - 243:31	大戾士	(士,大戾,技不如人)
 245:12 - 246:45	你不是有题库吗	(技不如人,聪明,题库)
 248:26 - 249:01	蒙的	(？,蒙,图)
 249:12 - 249:21	蒙的	(的,流鼻涕,蒙)
 249:24 - 251:19	流鼻涕的赢了[嘘]	(了,的,赢)
 251:49 - 255:02	明白啦 谢谢姐姐	(樱花,？,666)
 255:16 - 255:18		(玩腻,主播,了)
 256:16 - 258:17	maimai进雅阁了	(666good,跟,笑)
 267:52 - 268:15	第一名请的护航	(护航,请,第一名)
 276:12 - 278:43	蓝龟怎么没了	(？,蓝龟,了)
 289:41 - 291:34	这把还是50	(上,哇,啥)
 297:31 - 298:35	一半的概率输了	(？,了,HOW)
 304:20 - 305:09	主播最爱的道具问号箱和回旋镖	(回旋,镖,箱)
 313:20 - 315:02	第六才会出金蘑菇，换道具亏麻了	(好,落后,换)
 316:09 - 317:30	这你不压一下第一 让他体验一下险恶	(一下,蘑菇,用)
 317:50 - 318:45	倒数第二圈第六的道具相当于24人局第十到第13的道具，排名再高一点包没有好东西的	(释手,的,i)




 322:08 - 322:10	LOSE	(LOSE)
 324:49 - 326:11	主播的牛车就像我的人生一样处处碰壁	(LOSE,倒数,的)
 326:30 - 326:36		(怎么办,到,你)
 326:38 - 328:37	气得连灯都不会走了	(？,了,走)
 331:27 - 334:14	好偷[dog]	(道具,一个,好)
 339:55 - 343:39	被自己人寻了	(],[,小时)
 345:14 - 346:21	不使用了	(了,使用,被)
 346:34 - 347:13	加速车都给你震烂了[傲娇]	(了,白吃,震烂)
 351:09 - 352:57	早点铺五点老豆腐才点好 我怕是坚持不到那个时候了	(都,管道,了)
 353:30 - 353:42		()
 354:55 - 354:58		(取关,早年,错误)
 359:54 - 360:21	鸵鸟被你寻了这么多次居然还在	(多次,鸵鸟,居然)
 360:45 - 362:39	好雷	(LOSE,执行,，)
 370:42 - 372:08	别惦记你那管子了	(了,LOSE,？)
 376:46 - 377:01		()
 381:18 - 382:28	马灯早就没了[摊手]	(老二,了,蘑菇)
 382:42 - 382:49		()
 383:43 - 384:07	低端局	(低端,局)
 389:28 - 390:10	豪取第一	(急转直下,豪取,箱)
 401:26 - 403:10	第一用羽毛近道反超	(用,第一,位置)
 406:28 - 406:55	运气不错	(ISUN,发力,运气)
 406:59 - 407:29	还能这样躲	(机会,躲,这样)
 408:53 - 410:38	饼饼早上好[比心]	(比心,],[)
 411:29 - 414:17	来了	(。,来,])
 418:07 - 418:38	好蓝龟	(g,蓝龟,好)
 420:23 - 420:35		()
 421:07 - 421:27	感觉还有	(只能,感觉,拿)




 421:39 - 423:55	第一名掉线了	(。,？,了)
 425:32 - 425:56	无敌星呢	(红烧,战术,牛肉)
 427:50 - 429:17	舒服了	(再来,GG,消极)
 430:57 - 431:22	爽踩	(爽,踩,！)
 434:23 - 436:58	强图来了，这把必登	(比心,],[)
 437:53 - 438:14		()
 442:38 - 444:00	这把稳了	(稳,好,了)
 446:49 - 448:38	大数据显示，这把稳了	(],[,把)
 448:46 - 448:54	好雷	(好雷)
 449:26 - 449:30		()
 450:06 - 451:36	好，稳了[花]	(],[,花)
 451:56 - 451:59		()
 452:50 - 455:27	你这个大数据是怎么算的	(了,极,母牛)
 458:32 - 460:56	没事，我说的是下把稳了	(把,了,的)
 462:28 - 462:51	那是海南人	(电死,海南,马上)
 462:56 - 464:20	松饼延迟好大，松饼以后能不能去主播家里帮他说话	(延迟,决赛圈,松饼)
 464:40 - 464:45		()
 464:59 - 465:53	还给爱不释手呢	(爱不释手,营业,今天)
 466:54 - 470:41	稳了	(了,哈哈哈,稳)
 477:06 - 477:35	这图最后有个大近道	(坏事,大近,四体)
 481:14 - 482:34	你们等着，一会儿就拿闪电[花]	(哟,花,诶)
 487:26 - 489:34	可以下播了	(？,。,了)
 498:52 - 499:10	你看这不就追上来了[花]	(蕉,热熔,追上来)
 500:31 - 500:42	第一名马灯都看不见了你们还要打[傲娇]	(还要,看不见,第一名)
 500:44 - 501:27	使劲[傲娇]	(ztmex,使劲,傲娇)
 502:54 - 503:19	今晚没别的了是吧[大哭]	(别的,今晚,大哭)




 503:28 - 504:40	没事啊，报仇雪恨的时候到了[傲娇]	(疯,],[)
 505:10 - 505:38	熬不住了[委屈]	(熬不住,委屈,])
 505:45 - 508:40	好橄榄球	(],[,好)
 508:50 - 508:58	爱不释手[哇]	(爱不释手,哇,])
 509:08 - 510:37	诶哟ztmex[大哭]	(了,],[)
 512:35 - 512:52	居然还在	(居然,还,在)
 513:45 - 513:51	爱不释手[傲娇]	(爱不释手,傲娇,])
 516:13 - 517:38	玩这游戏就是为了顶金币箱子[哇]	(],[,蓝龟)
 518:05 - 518:25	哇还有弹幕配音	(配音,弹幕,还有)
 518:30 - 518:39	别电啊[傲娇]	(],[,别电)
 518:41 - 519:57	电了来，来了电，诶，你不电他又不来，A你来了他又不垫ztmex[撇嘴]	(又,了,ztmex)
 521:36 - 523:07	你爹来了[哇]	(],[,傲娇)
 524:06 - 524:22	来了	(了,对,来)
 525:17 - 525:33	这把稳了[大笑]	(大笑,稳,把)
 525:40 - 526:23	第一名马灯都看不见了[哇]	(了,哇,])
 526:50 - 526:58	这卡梅洛把主播救了	(梅洛,这卡,救)
 527:08 - 528:25	哇还有潜艇躲蓝龟	(一边,了,啊)
 528:45 - 530:44	[委屈]灯顶	(灯顶,登顶,！)
 544:59 - 545:29	最开始的加速板	(加速,板子,贴墙)
 545:40 - 545:56	你要在那个从右往左数的第三个加速印记那	(你,印记,第三个)
 546:56 - 547:07		(直播间,爱,牛)
 549:54 - 551:52	搓蓝火就好转过来了，一般都是蹭树以后上墙更快	(倒,带,比心)
 551:55 - 552:15	我这么全能吗[花]	(全能,忘,明天)
 553:27 - 553:40	爆爆呀	(爆爆,呀)




 566:34 - 566:42		()
 567:40 - 569:07	要不歇了，咱下次再明白吧	(熬,掌握,休息)
 573:53 - 575:12	特技就是用来调整身位的，做多了也就加速一次	(了,一次,，)
 575:17 - 576:20	早捏[比心][比心]	(比心,],[)
 576:31 - 576:49	碍心❤️拉戾赛等着你[比心]	(爱玩,❤,碍心)
 580:01 - 580:18	早知道不提树屋了[花]	(自信,提树屋,知道)
 581:41 - 583:05	主播真厉害，收徒么	(了,百分百,，)

