全场最高能：52:25	主播松饼知道错了吗，你已经把她关在雅阁三年了[委屈]

其他高能：
 3:13 - 4:09	如果是林克的话已经飞了	(已经,飞,HOW)
 148:04 - 148:23	都说了p肯定伏笔	(哈哈哈,],[)
 149:38 - 151:05	悲哀啊	(哈哈哈,],[)
 157:47 - 158:35	这海南人不会害了我吧	(海南,p,走马灯)
 161:23 - 162:17	怎么还在玩这图，也是一个工艺图啊	(666,蒙,的)
 169:27 - 171:20	说点大家不知道的	(的,我,了)
 171:43 - 172:52	这啥图，要给我看走马灯了	(p,至少,蒙)
 173:10 - 175:19	悲哀啊	(了,悲哀,LOSE)
 175:39 - 175:53	胖哥就不会这样说	(这样,不会,说)
 177:17 - 178:14	王八回头了	(🐮,哞,水套)
 178:35 - 179:33	愿意啊 王八给我买dr'呢	(愿意,王八,和)
 181:27 - 182:21	1080p的马赛克	(！,？,机)
 182:35 - 183:55	就是说以后没有无修正的本子看了吗	(不好,白,孬)
 192:35 - 192:45	是胖哥另外几个要上8000的小号	(另外,小号,8000)




 193:20 - 194:19	主播和胖哥，小杰，美神什么关系	(胖哥,关系,嘉琪)
 195:48 - 196:10	我是黑龙江嘉琪拉[哇]	(嘉琪,拉,哇)
 196:30 - 196:34	走马灯	(走马灯,?)
 197:26 - 197:59	哈尔滨嘉琪拉	(我爱你,哈尔滨,爱牛)
 199:39 - 200:51	这都被你发现了	(卡,他,哭)
 204:35 - 205:27	牛车吧	(牛车,到,的)
 205:44 - 206:11	还得是胖哥	(呢,一帧,落到)
 213:42 - 213:47		()
 213:59 - 214:41	是不是什么bug 已经修复了	(死图,进管,换成)
 215:28 - 215:41		()
 216:53 - 217:54	自己搞个瑞士卷然后再搞一排管子	(管子,就,胖哥)
 218:01 - 218:13	难道不是吗	(难道,不是,吗)
 222:01 - 223:06	差点没有牛车了	(拱门,牛车,还是)
 229:38 - 230:03	悲哀啊	(连招,还有,HOW)
 231:44 - 231:54	打雷[哇][哇][哇]	(哇,],[)
 232:02 - 233:06	悲哀啊	(了,失误,确定)
 242:01 - 244:34	这个24名贴纸的牛有三体故意刹车肘我	(！,牛,我)
 250:22 - 251:10	终于看到一次上大运了	(大运,终于,一次)
 252:24 - 255:48	纯勾运	(！,大哭,])
 258:47 - 258:58		()
 263:50 - 265:29	二连灯	(？,二连,蒙)
 272:01 - 272:35	马灯都看不见了	(看不见,遥遥领先,马灯)
 275:09 - 276:43	555你怎么倒在16强[手机]	(8848,LOSE,第二)
 276:53 - 277:28	客户端模拟位移和动画	(动画,位移,模拟)
 277:47 - 278:01	瀑布	(瀑布,8848,dog)
 279:01 - 279:08		()




 281:22 - 282:58	没了	(pjbsb,没,尽力)
 288:10 - 288:49	都是要还的	(要,666,还)
 290:17 - 292:14	围巾地鼠打什么的，	(地鼠,围巾,机器人)
 293:15 - 294:17	主播还没掉血呢	(大笑,],[)
 294:23 - 295:01	这点小算盘带几个神能上大师了，	(神能,蝶舞,大师)
 296:04 - 296:26	投了吃饭吧	(投了,吃饭,投降)
 300:39 - 302:17	地龙死了	(地龙,了,死)
 303:14 - 303:30	戏法是干嘛	(。,人机,戏法)
 305:48 - 307:10	后来我就不打单打了	(以前,寄,我)
 311:55 - 313:08	威吓一次不够还两次	(威吓,跟,孙)
 313:23 - 313:33		()
 313:56 - 314:37	就这	(连胜,五,陌生)

