全场最高能：115:01	主播我听你的在京东买了个switch 为什么我玩不了

其他高能：
 5:45 - 5:48	test	(嘬,亲亲,])
 193:03 - 194:38	能把送的游戏机折现吗	(送,],[)
 194:47 - 195:03	跳吧  这啥啊	(跳,啥,这)
 214:04 - 215:23	很少见主播玩音游啊，为啥说是高手啊，以前玩得多吗	(主播,天国,是)
 219:57 - 220:23	金河田大桥	(大桥,金河田,️)
 222:49 - 223:58	那咋了，别人也得换道具啊	(士,大戾,盖)




 229:02 - 229:16		()
 229:35 - 229:43		()
 232:58 - 233:28	你都猜到了还打啥	(出击,强势,军团)
 237:36 - 238:50	多么华丽的一局灯顶啊	(！,灯顶,])
 246:53 - 249:51	好久没听你讲怨妇的故事了[妙]	(],[,好)
 254:01 - 254:09	随机得的好像	(随机,好像,得)
 256:39 - 258:22	这片海都是嘉琪拉给你放的水啊[哇][哇][哇]	(了,],[)
 259:23 - 261:11	主播的意思是，大家都追着打，就差你了，这么不合群	(哇,打,])
 265:11 - 265:14		()
 265:27 - 266:05	三体蓝龟胖哥鈿	(胖哥鈿,三体,蓝龟)
 267:19 - 270:38	666这也开天眼了	(！,蓝龟,赞)
 277:18 - 277:26		()
 277:37 - 278:02	好舒服	(好,],[)
 278:14 - 278:46	怎么有节奏天国	(没打,昨天,登)
 278:58 - 279:01		()
 279:14 - 279:58	哇哇哇哇哇娃娃	(哇哇,地裂,鸟)
 281:57 - 282:14	那你不是要被秒	(秒,被,要)
 289:19 - 290:20	gg[dog][dog]	(],[,dog)
 299:37 - 299:56		()
 301:35 - 303:27	那我iOS玩不了啊	(ios,去,得)
 305:39 - 306:06	技技主播没有gg	(人机,一巴掌,技技主播)
 307:04 - 308:18	@风⁹¹⁶ 这是ns手机双平台的宝可梦冠军	(这是,的,Fayday)
 314:30 - 315:03	你为啥不打[捂脸]	(半神,巨金怪,级)
 315:13 - 316:16	10% x 25% = 2.5%的概率能麻痹且行动不了	(哎,dog,行动)
 316:29 - 316:51	走马灯	(了,，,挺住)




 317:04 - 318:12	[dog]两发龙星群空1%	(越,mega,提升)
 319:37 - 320:03	那咋了	(咋,那,了)
 321:11 - 321:39	对面顾头不顾腚	(腚,不顾,顾头)
 322:58 - 323:29	可可的CC呀	(CC,可可,金金)
 326:03 - 326:11		()
 326:18 - 326:31	胖哥	(走马灯,胖哥)
 329:22 - 329:42	主播没有和田就这实力	(实力,和田,没有)
 339:37 - 341:02	胖哥又来了	(克西,了,又)
 342:14 - 343:20	戴围巾不就成沙包了吗	(绷,难,了)
 343:28 - 343:32	没事先耗着	(事先,耗着,没)
 345:09 - 347:14	早该这样了	(哇,],[)
 348:48 - 350:59	你村吃尺寸                         女	(。,不,吧)
 353:15 - 353:21		()
 353:43 - 353:45		()
 354:21 - 356:19	雷电拳CT能打死你	(雷电,拳,能)
 362:31 - 363:02	大戾士	(笑,死,士)
 363:52 - 366:15	猴哥不在的时候，江湖上处处都是他的传说	(准确,显示,的)

