全场最高能：135:50	主播能背一下去以六月息吗，我很喜欢这篇文章，写的很有文采

其他高能：
 4:08 - 4:34	晚上好[比心][比心][比心]	(比心,],[)
 430:49 - 432:35	论今晚拿了几次第四和第二[花]	(],[,第四)
 432:39 - 435:20	尬黑了，主播都是刚吃⚡️，下一秒嗡嗡嗡就来了[看][比心]	(不屑于,打,])
 436:25 - 437:46	爱孙给你吸尾流，你用金河田炸爱孙	(尾流,],[)
 440:42 - 443:41	盖欧卡：我就艸了[dog]	(了,欧卡,])
 447:01 - 447:51	他们也会卡倒数刷道具嘛	(电脑,没,修仙)
 452:20 - 454:11	爱孙车队和Bot保送了	(！,车队,666)
 458:09 - 459:41	好好好好好	(95,咧,°)
 461:37 - 461:55	落后使人进步[dog]	(使人,进步,落后)
 468:15 - 468:51	害人终害己	(了,哈气,打哭)




 479:08 - 480:21	@用户6859104987381 那咋了[看]	(了,@,咋)
 480:28 - 481:26	9696严父来了	(9696,最后,把)
 487:50 - 489:44	你看第一名有屁用，你应该看晋级的位置	(哈哈哈哈,胖哥,看)
 489:51 - 490:13	孙体健康[比心]加纳	(孙体,健康,加纳)
 492:09 - 493:30	乐[看]	(好好,],[)
 494:13 - 494:31	胖哥偷	(偷,胖哥)
 494:39 - 494:46		(漂亮,哈哈哈哈,好)
 494:58 - 495:39	松饼又来了[看]	(哈哈哈哈,p,挺)
 497:00 - 500:48	登顶了,再来一把	(！,了,666)
 503:34 - 505:21	主播是要帮555扛蓝龟吗	(了,躲,打雷)
 505:51 - 507:50	加纳了	(最后,大笑,一把)
 510:07 - 511:26	真打你又不乐意了	(⃣,5,️)
 512:11 - 512:35	胖哥真棒	(胖哥,真棒,发力)
 515:03 - 517:04	让人打的跟孙子似的[哇]	(主播,了,是)
 523:23 - 525:51	这是纯故意的我看出来了[dog]	(],[,哈哈哈)
 526:28 - 528:08	该za刷到下午了，别赖着不走	(了,za,别赖)
 534:30 - 534:53	马灯都看不见了	(马灯,该,都)
 536:36 - 538:40	那不是倒数第一不就不下了	(！,6000,倒数)
 544:29 - 545:01	等会一个雷没了[看]	(蓝龟,没,之内)
 546:30 - 548:50	这把赢了，冠军，没什么好说的了	(说,最后,好)
 550:44 - 550:55		()
 558:45 - 561:12	饼饼，加纳[互粉]	(！,加纳,])

