全场最高能：29:51	哇 灯顶

其他高能：
 8:52 - 8:58	弯道快才是真的快	(快,弯道,才)
 207:43 - 208:06	爱看困难的已经睡着了，可以换了	(屋子,，,熏)
 208:11 - 208:22	试试硼酸土豆泥[dog]	(一年,消停,耳)
 222:34 - 222:39		()
 226:34 - 227:29	怎么还有吃药小助手	(吃药,抓狂,面子)
 232:44 - 233:32	刚来，这是困难团吗	(么,呢,说特)
 234:17 - 239:25	极难图的背景怎么被主播搞黄了	(],[,了)
 241:54 - 242:15	#2 8000 [比心]	(8000,2,＃)
 244:09 - 244:31	灯冷灯冷🎶	(下棋,臭棋篓子,整天)
 244:47 - 245:07	[Mygo表情包_让我看看]	(Mygo,包,表情)
 249:11 - 249:57	被隐身爱牛堵墙角了	(了,主播别,出不去)
 252:02 - 254:16	你这和爱牛搞人有什么区别 都是衬托含金量	(已,拍摄,])
 256:16 - 257:47	哇，灯顶	(蒙,-,极难)
 259:49 - 259:54	牛逼	(？,还会,逼)
 260:07 - 260:47	主播怎么不动了	(不动,暗,陕西人)
 263:51 - 264:16	pasue cheater	(补帧,眨眼,pause)
 264:26 - 266:28	蒙的	(的,蒙,暴牙)
 272:05 - 272:30		()
 290:53 - 292:01	我不为巴黎折腰的骄傲少年哪去了[委屈]	(折腰,为,的)
 292:16 - 293:23	直接往上丢不就行了	(丢,直接,不)
 294:00 - 294:40	回门看看门不能刷新个帽子	(门,回门,刷新)
 296:27 - 298:08	别噔楞了行不	(6,折磨,聪明)
 298:27 - 298:41	猜猜币	(挣钱,上岗,带病)
 299:18 - 299:19		()
 299:25 - 299:53		()




 300:01 - 300:50	差这么多是方法有问题了吧	(差,多,哪里)
 303:03 - 304:45	人跑了你嘬啥	(嘬,你,让)
 307:36 - 307:47	灯冷灯冷	(下落,它,冷)
 310:34 - 311:00	这下真的有一个技巧了	(技巧,这下,真的)
 311:41 - 319:48	炒肝好吃 豆汁不像人吃的	(],[,豆汁)
 320:18 - 320:24		()
 341:36 - 341:47		()
 343:36 - 344:09		(哈哈哈)
 344:17 - 344:46	你这个换上去没联防啊	(预判,你,联防)
 345:57 - 346:58	技不如黑马灯	(黑,马灯,拿捏)
 351:29 - 352:27	地裂打中气势披带会怎么样（	(怎么样,披带,气势)
 360:08 - 360:26		()
 362:07 - 365:50	拔线了	(],[,这)
 369:22 - 369:30		()
 370:44 - 374:50	我这也有个蚊子没杀死[委屈]	(],[,这)
 375:13 - 376:37	草，看你打困难真把我看困了[傲娇]	(三,草帽,一挑)
 377:07 - 377:10		()
 377:27 - 378:19		(苹果,委屈,想)
 381:00 - 381:29	他在天花板[dog]	(天花板,穿,三)
 390:05 - 391:37	天亮了才是周五	(周五,弱,大愚)
 396:56 - 399:02	鲨鱼皮皮害了你	(？,你,打败)
 399:49 - 401:06	感觉不如	(…,玩宝,没马造)
 402:14 - 405:25	并没有瞪小眼，因为孙子的睡着了	(哈哈哈,噗,大笑)
 411:37 - 411:50		()
 425:26 - 426:02	雨天打雷必中	(必中,雨天,打雷)
 427:17 - 431:02	草，差点就杀死房间里的蚊子了	(],[,八千)
 432:10 - 432:40		()




 444:57 - 448:50	今天有对鱼，还输了	(电钛晶,白马,专业)
 451:50 - 456:57	这两只神兽都出现，会不会晴天暴雨	(神兽,都,dog)
 459:16 - 464:00	凌晨一般没有马车，都是方块[dog]	(一般,马车,的)
 470:02 - 470:14	百变怪mvp	(ohhh,mvp,百变)
 471:06 - 471:09		()
 474:33 - 474:37		()
 477:31 - 478:01	说什么呢你不是知道吗	(知道,说,咋)
 478:26 - 479:24	不是这么算的.那他还能不钛晶呢	(，,灯灯,晶)
 481:36 - 482:32	下回合替身了	(rua,hhhhh,fw)
 491:28 - 492:12	技不如人了	(导弹,接个,救)
 492:29 - 492:42		()

