全场最高能：57:47	主播打的是低端局的分，自己上着不愧疚吗[哇]

其他高能：
 3:55 - 5:15	@クリーム松饼 饼饼早[比心]	(怎早,💗,孙)
 437:22 - 438:24	主播，看了你的切片，我也想去北京住你的四合院了	(了,四合院,切片)
 438:27 - 440:51	主播几年前还是一个快乐的太鼓小胖子[委屈][委屈][委屈]现在已经是大戾...	(委屈,],[)
 441:02 - 441:17	打大张伟是啥	(委屈,],[)
 442:17 - 443:47	现在主播在走马灯，回忆以前的快乐时光	(现在,大张伟,走马灯)
 446:57 - 447:00		()
 447:14 - 448:53	@クリーム松饼 你知道胖哥和主播已经是十年老友吗[dog]	(dog,@,])
 463:42 - 464:25		()
 469:32 - 471:09	1的时候我看还是玩占地盘那个模式多	(看,地盘,中东)
 473:13 - 474:23	又玩这个不好走灯的游戏，赶紧换，要不然举报你不让我们走马灯	(要不然,走灯,赶紧)
 475:01 - 476:01		(胖哥,要是,不玩)
 477:27 - 478:12		(666)
 482:35 - 484:34	@クリーム松饼 你看我是充能榜榜一孙孙都不嘬嘬[委屈]	(榜,嘬,委屈)
 493:31 - 493:53		()




 499:33 - 501:12	早[比心][比心][花]	(],[,比心)
 502:29 - 503:38		(°,ﾉ,∀)
 512:56 - 517:19	@momo 大师球被封号了[dog]	(大师,],[)
 519:04 - 519:51		(队友,菜,死)
 520:15 - 521:26	不是说这把一看就是全红吗	(全红,一看,帅)
 524:35 - 525:32	金河田银河田不如绿河田青河田	(田,青河,绿河田)
 526:35 - 528:34	Nintendo switch	(三局,晋级,五局)
 528:49 - 529:33		()
 534:56 - 535:45	笑死	(哈哈,笑,死)
 537:40 - 539:19	这么早就开播了吗	(没下,下播,早就)
 539:29 - 541:24	笑死	(馋猫,清晰,思路)
 547:14 - 550:00	@填写名字 你是真把我当ai了[dog]	(switch,@,dog)
 552:07 - 554:56	哎哟，我太有口福了，好好观摩观摩	(观摩,早上,狙)
 555:19 - 555:54		(carry,孤独,1204)
 556:26 - 561:57	5点醒的好像是现在不能再睡了，防止晚上睡不着	(],[,dog)
 563:53 - 563:56		()
 564:02 - 566:12	现在打的是牌位赛吗[dog]	(牌位,是,僵尸)
 575:22 - 577:10	加纳了[花]	(加纳,你们,])

