全场最高能：118:16	主播走马灯了

其他高能：
 7:38 - 8:08	简直悲哀	(悲哀,想不通,JPNMT82YG)
 255:22 - 255:42	终究成为了自己最讨厌的人	(科学,可不,奶牛)
 255:54 - 256:08	蘑菇大王	(高地,双脚,了)
 262:07 - 265:05	我感觉今天孙子的嘴像开了光似的	(了,的,])
 269:22 - 270:33	主播是开挂了吗，怎么蓝龟壳直接飞跑了	(了,ム,リ)
 272:08 - 274:41	@普通のUUJSQ 你这个ID好眼熟啊[呆]是不是今天晚上多人对战那个i...	(@,平等,爆料)
 274:51 - 275:00	...图泡壶茶抽根烟慢慢干	(太久,慢慢,根烟)
 275:52 - 277:13	@普通のUUJSQ 真想玩啊[dog]孙孙没开播我也看胖师傅还有金河田，...	(钱,],[)
 279:16 - 279:20		()




 280:34 - 280:44	默法日墙	(默法,日墙)
 281:01 - 282:08	@普通のUUJSQ 卡带吗我看到手价209	(噔,道具,数字)
 282:41 - 282:57	刚才你不日墙吃蓝龟了	(日,墙,刚才)
 291:20 - 291:32	坏了，还有毛	(毛,坏,还有)
 291:36 - 292:40	坏了	(坏,了,今天)
 293:00 - 293:48	雅阁对本直播间贡献的二创最多了[大哭]	(直播间,雅阁,的)
 303:08 - 305:13	松饼竟然进前三了	(松饼,了,三)
 314:18 - 315:33	[捂脸]是因为你分数太高了吗，为啥那么多机器人	(他,牛哇,了)
 317:49 - 317:54		()
 318:29 - 319:18	笑死我了，主播哪来的信息源	(信息源,哪来,反诉)
 319:45 - 320:56	悬着的心终于似了	(666,悬着,落地)
 321:44 - 323:26	卡比找到了	(你,卡比,了)
 323:45 - 323:50		(za,为啥,又)
 324:56 - 325:44	那za刷闪这么简单以后不是人人有闪	(闪,简单,人人)
 333:56 - 334:57	带上了最爱的噩梦神[dog]	(嘬,噩梦,神)
 335:47 - 335:54		()
 336:08 - 337:14	[龇牙][撇嘴]这个世界上有紫色的噩梦神吗	(地,找,])
 340:09 - 340:46	因为这是卡洛斯地区  怎么有帕迪亚地区的神兽	(地区,齐发,千箭)
 349:24 - 350:05	@下个路口等你 宝可梦za	(宝可梦,za,爆爆牙)
 350:29 - 350:55	大炮管子	(ns1,大炮,恶心)
 355:52 - 356:24	有生之年还能看你用噩梦神[dog]	(有生之年,送分,噩梦)
 356:38 - 357:03	为什么不把达克莱伊名字改成梦醒	(梦醒,太低,抗性)
 357:42 - 357:43		()
 358:02 - 358:11		(展开,对,啊)




 358:55 - 359:09		()
 359:23 - 361:24	也就打打bot了[dog]	(打打,就,])
 365:06 - 366:21	有个高达参加了比赛	(牛哇,参加,高达)
 367:38 - 368:28	这忍蛙残血在那里偷输出	(残血,蛙,这忍)
 369:58 - 371:25	笑死我了	(瘪,开始,被)
 382:46 - 382:55	笑死我了	(笑,死,我)
 383:28 - 384:15	这布里卡隆是不是有点来恶心人的呀	(鹰,加疼,亚军)
 384:21 - 385:14	全被布里卡隆偷完了	(卡隆,布里,突击检查)
 389:22 - 389:23		()
 395:20 - 396:12	不对，不是只能本世代mega吗，为什么有路卡利欧	(对,中门,卡利)
 401:41 - 402:42	我知道mega噩梦神长得像啥了，像抠出来的眼球[dog]	(噩梦,像,眼球)
 408:04 - 408:19	乐	(乐)
 409:04 - 409:34		()
 411:49 - 413:21	我也带的异色收藏家，怎么了[dog]	(汉堡,仙后,收藏家)
 417:16 - 419:25	我的5237炸了[大哭]	(炸,现在,了)
 419:46 - 420:09	那咋了	(咋,那,了)
 421:50 - 423:29	这赛季真草，能带米粒龙不能带鱼[dog]	(带鱼,能带,真草)
 427:44 - 428:46	看起来很忙的样子结果一个都没收到[哇]	(没收,很忙,样子)
 430:53 - 433:34	我烹饪的5237的金河田炸了[大哭]	(],[,炸)
 434:09 - 436:16	菜哦孙孙	(],[,真慘)
 436:44 - 437:05		()
 437:09 - 437:43	压力一直可怜的噩梦神是吧[哇]	(神是,压力,可怜)
 438:25 - 438:45		()
 443:32 - 443:56	大戾士	(大戾,士)
 444:24 - 444:52		()




 452:32 - 454:05	主播的达克莱伊 怎么跟司马鱼似的	(的,怎么,司馬魚)
 458:46 - 460:36	这是pvpvbot	(pvpvbot,玩家,这是)
 461:19 - 461:46		()
 462:07 - 462:18		(波加曼,火力,吸引)
 462:28 - 467:48	说你侵犯他著作权[哇]	(他,🚀,的)
 468:20 - 468:32		()
 473:11 - 473:59	也不知道甜心起诉雅阁怎么样了	(甜心,怎么样,起诉)
 476:19 - 477:42	梦醒了	(打着,能集,一磨暴)
 478:22 - 478:47		()
 484:46 - 485:11	直接秒了	(秒,直接,了)
 487:45 - 487:50		()
 490:22 - 491:01	地龙怎么飞起来了	(地,打退,起来)
 494:42 - 495:57	幻兽帕鲁za	(帕鲁,幻兽,za)
 497:58 - 498:49	大戾士	(回合制,联网,一代)
 503:31 - 504:08	舒服了	(舒服,走马灯,了)
 504:48 - 508:01	这游戏最大的败笔就是不好走马灯，其余没啥太大的毛病	(比心,],[)
 509:30 - 512:13	我敲 这么快就要a了吗	(💗,a,吗)
 513:58 - 514:32	梦醒神	(摩尔,奈文,梦醒)
 515:06 - 517:34	za现在也就刷刷闪了	(送,停赛,也)
 517:43 - 517:53		(不,操控,动作)
 519:23 - 522:09	今天我想给你送束花[比心][比心][比心]要不你去251门口拿	(],[,朱紫)
 523:22 - 524:25	露头就秒	(花,成,饼)
 524:29 - 526:09	@クリーム松饼 所以这个奶油松饼是阿b的弹幕吗	(弹幕,松饼,的)
 531:02 - 532:12	我也想入一版宝可梦，推荐玩哪个版本[比心]	(推荐,一版宝,想入)




 532:35 - 534:17	我来讲一个，从前我分手了，然后就刷直播，然后就刷到了主播，一直到十年后，...	(，,的,然后)
 534:58 - 538:46	我想买二手卡带到时候出了新的就卖掉再入新作	(我,了,体验)
 551:44 - 552:50	人总会问自己怎么来的，却很少问ma怎么没得	(问,人,怎么)
 553:54 - 556:04	让你撸猫就不错了  想啥呢	(你,撸,给)
 562:41 - 563:57	这任务我前期做的，是真恶心[dog]	(的,@,拉斯)
 571:25 - 571:29		()
 575:02 - 575:28	爱播是播了一晚上吗	(爱播,播,晚上)
 577:48 - 580:13	宝宝珍钻底下洞窟那个地鼠集齐了40个有啥用啊	(哈哈哈,走马灯,英语听力)
 580:27 - 585:02	后面俩奶各一个应该是400+600吧	(哈哈哈,汽水,后面)
 585:23 - 585:52	怎么能说主播是🐷呢[dog]	(🐷,说,呢)
 586:03 - 587:36	497那个	(497,笑,死)
 587:49 - 589:15	你真是个小天才	(天才,小,你)
 593:49 - 594:32	密阿雷南站那个毒澡龙训练家支线你有麻	(毒澡,南站,密阿雷)
 596:32 - 598:15	早上好呀，可儿[比心]	(早上好,💗,媛)
 604:49 - 605:33		()

