全场最高能：316:33	5一儿是这样的，555在后面给的压力太大了

其他高能：
 5:27 - 7:30	请自重	(？,?,了)
 139:32 - 139:34		()
 141:04 - 141:56	就这	(苹果,这,就)
 145:42 - 147:18	主播不怕，有这么多开了还不来看的舰长	(，,138,了)
 149:28 - 150:15	他要是做起来就不会这样了，人多了带宽很贵的	(启动,的,了)
 157:38 - 158:51	可以的，我刚刚去b站看了一下，也有这个BOT	(机器人,，,看)
 159:19 - 159:30	赶紧换	(换,就,该换)
 160:20 - 161:37	你要提前把它踩掉	(踩,掉,要)
 176:33 - 176:53	主播被打退了	(赢,幽灵,是)
 178:16 - 179:51	我还以为是你自己弄的呢	(是,自己,？)




 185:45 - 185:59	妙子几胎了	(哈哈哈,哈哈,HOW)
 186:13 - 188:08	上次刷了好几遍要早放，这次放的更晚了，单蘑菇本来也不适合走[dog][dog]	(],[,走)
 188:45 - 190:09	都是主播的老迫粉	(吱吱,爱,？)
 191:48 - 191:56	笑死	(幻想,开始,笑)
 193:32 - 193:35		()
 194:38 - 195:48	主播和胖哥相亲的问题怎么解决	(解决,妙子,豆汁)
 209:30 - 210:21	道具赛分越高，心眼子越多	(大戾,士,LOSE)
 218:18 - 218:21		()
 220:14 - 221:30	技不如人x5	(技不如人,欧卡,盖)
 224:50 - 225:10	莫非等胖哥	(问,田,绿河)
 227:19 - 229:07	自己的金河田给自己寻了	(了,哈哈哈,自己)
 229:16 - 229:28	多个蓄力跳一点就能开过去了[花]	(多个,导弹,蓄力)
 238:04 - 239:52	两个爱不释手	(爱不释手,],[)
 241:10 - 242:32	细说牛牛	(],[,细说)
 247:58 - 249:31	说的话好 没有[哇]	(了,哈哈哈,瀑布)
 250:29 - 250:53	人机局	(人机,局,点力)
 252:53 - 253:09	怎么一念间和555同时来了	(555,来,第一)
 257:25 - 258:26	对了	(？,该,了)
 265:10 - 265:36	怎么往后面打	(打,怎么,往后面)
 267:12 - 269:54	这确实有点霉，被劈，而且单蘑菇都过了[花]	(],[,了)
 273:52 - 274:35	大戾士	(大戾,士,芬芳)
 274:53 - 276:03	16班哦	(比心,红,忘)
 280:37 - 282:04	出不去了吧	(是不是,出不去,出去)
 284:32 - 285:29	真为你感到悲哀	(LOSE,悲哀,了)




 287:23 - 288:20	还倒数么	(哈哈哈,重器,倒数)
 295:08 - 296:32	可是你加速后跳起来走中间了啊	(走,中间,你)
 302:47 - 303:46	胖哥好样的	(胖哥,nb,吸)
 303:52 - 304:20	说tm什么呢	(场合,注意,擦边)
 304:32 - 306:06	主播你别我一走你就灯顶[快哭了][大哭]	(],[,LOSE)
 307:07 - 308:41	胖哥当年也说他莫名其妙就灯顶了	(高兴,也,登顶)
 312:42 - 312:44		()
 315:52 - 318:07	5一儿是这样的，555在后面给的压力太大了	(],[,捂脸)
 326:45 - 328:57	终于登顶	(！,哇,蒙)
 335:53 - 337:38	这第一真好，还把位置让给你了	(55,了,LOSE)
 338:19 - 339:14	这第一是成年555吗	(么,666,牌子)

