全场最高能：229:13	蒙的

其他高能：
 0:16 - 0:40	早上好	(早上好,？)
 296:05 - 296:37		(哈哈哈)
 298:07 - 298:57	不晋级就算了，前面还有一头牛开火箭卡我道具[委屈]	(了,道具,我)
 303:20 - 303:35		()
 307:52 - 309:02	怎么感觉以前都没有突破过这个花坛	(！,灯顶,哇)
 309:39 - 310:41	那不肯定是要么过要么不过吗，有第三种可能	(要么,我,吗)
 316:10 - 316:14	蒙的	(蒙,的)
 316:36 - 316:47	55555小心	(小心,呀,55555)




 326:30 - 327:53	撞大运了	(撞大运,该,大运)
 329:07 - 330:07	胖哥是第一有问题	(胖哥,是,无敌)
 334:41 - 334:46		()
 337:09 - 339:02	流鼻涕的赢了	(！,666,灯顶)
 346:33 - 347:18	别不下	(自重,纳,不下)
 349:11 - 351:41	哇金河田	(！,666,LOSE)
 353:39 - 355:07	蓝龟感觉和我意见一致	(赚,必要,自己)
 356:16 - 359:19	好像有蘑菇的时候就不太容易随机到火箭了	(有,的,蘑菇)
 359:27 - 364:43	我信了倒数第二圈用道具的邪[委屈]	(你,？,了)
 366:06 - 366:29	炸到鱼了[dog]	(鱼,炸到,直播间)
 368:42 - 369:29	我咋感觉以主播技术，没人脉早9000了[dog]	(咋,主播,没人脉)
 371:35 - 371:42	胖哥请爱牛了	(请,爱,牛)
 383:26 - 383:30		()
 386:07 - 388:07	你不也经常这样[哇]	(！,666,蓝龟)
 397:20 - 398:23	有的车会把护栏压塌也是因为重量吗	(的,重量,压塌)
 398:30 - 398:40		(高端,局)
 401:19 - 401:32		()
 403:00 - 403:52	和田金	(看得见,个红龟,()
 408:41 - 410:00	趁人少开始卖电脑是吧	(是,杂技,耍)
 410:47 - 411:47	你同事太喜欢你了 多送了你几个金河田[dog]	(金河田,你,喜欢)
 414:37 - 417:24	打配合那不是无敌了	(的,蒙,！)
 418:33 - 421:28	好电	(？,还,真是)
 421:53 - 422:04		()
 426:06 - 426:13		()
 426:39 - 427:51	主播为什么只玩生存赛	(又,主播,生存)




 428:59 - 430:42	如果用起步快的车 是不是不容易中间被淘汰	(LOSE,两百多,加持)
 430:43 - 431:18	无敌星状态喷蘑菇还能加速吗	(星,喷,状态)
 433:51 - 434:00		()
 436:45 - 437:59	诋毁的代价	(诋毁,哈哈,哈哈哈)
 442:00 - 443:03	怎么这把这么激烈	(激烈,把,金币)
 443:43 - 444:36	说什么呢	(最后,爆炸,一波)
 444:44 - 446:18	羡慕墙[哇]	(墙,哇,闲着)
 448:15 - 450:44	哇蒙的	(！,蒙,哇)
 450:48 - 450:59		()
 455:07 - 458:52	加纳[哇]	(加纳,],[)

