全场最高能：262:49	但是...平凡

其他高能：
 8:50 - 10:59	白白胖胖的	(白胖,白白胖胖,就)
 424:32 - 426:19	这个是真的厉害 没得黑	(厉害,666,简简单单)




 426:32 - 430:56	我说评分点都在开头的反拍了（	(的,炒冷饭,，)
 431:05 - 432:52	饼饼早上好[哇][哇]	(],[,哇)
 433:06 - 433:17	我说能不能把这把存下来打P用（	(把,存,敷衍)
 435:49 - 437:47	我买的巴西服欧区还得等到中午12点[委屈]	(的,阴间,美区)
 437:57 - 438:15		(电磁,单机,蹭)
 442:50 - 443:25	以前特别喜欢这个游戏	(后来,明显,越来越)
 455:05 - 455:23		()
 457:46 - 458:00		()
 461:04 - 462:27	最爱惜惠州布丁的主播	(ོ,布丁,的)
 463:27 - 465:04	怎么现在的节奏天国 动画还不如以前NDS上面的	(的,怎么,杀)
 469:13 - 469:37	美版不知道[dog]	(美版,知道,不)
 471:42 - 473:31	笑死我了	(贴,了,菌)
 475:38 - 476:16	主播想要一直按键的关卡来了	(想要,按键,抽)
 477:11 - 478:18	快玩成背板了	(哈哈哈,～,哈哈哈哈)
 480:00 - 482:01	怎么又跳绳了	(哈哈哈,h,跳绳)
 484:45 - 485:18	啊啊啊啊	(啊啊啊,差,一个)
 487:44 - 488:09	主播不会玩了一晚上吧	(玩,一,晚上)
 488:25 - 488:39	主播还是那么爱贴贴	(贴,爱贴,.)
 493:10 - 493:38		(不好)
 500:02 - 500:32	会不会很难呢	(灯冷灯,💔,很难)
 506:58 - 508:14	又在健脑，做恢复训练了[捂脸]	(],[,在)
 510:47 - 513:10	打起精神继续吧[比心]	(],[,比心)
 514:31 - 516:25	普通应该就是之前作品的平凡了	(普通,评级,饼)
 517:43 - 520:14	@クリーム松饼 我还在想呢 原来是这个饼饼	(饼,挑战,我)




 520:20 - 523:14	欢乐的游戏，在其他平台玩过[捂脸]	(饼,新版,])
 525:36 - 527:49	还得是千本樱，差点意思[dog]	(是,啊,意思)
 529:47 - 531:17	普通结束	(了,],[)
 531:57 - 536:12	多人有pvp吗	(吗,二手,了)
 536:29 - 539:56	我才是真不在乎分，第二关之后就一路“正确”下去了[捂脸]	(],[,鼓掌)
 541:37 - 542:46	混合高水准可以失误很多把	(?,的,蒙)
 545:57 - 548:01	为什么挨p的是主播 但旁边的飞升了	(飞升,多,了)
 548:07 - 548:55	又要开始贴贴了[dog]	(贴,又,要)
 551:44 - 554:45	惠菇的成长由主播守护[哇]	(],[,哇)
 559:59 - 560:09	早上好	(早上好)
 571:08 - 572:00	但是有点普通	(普通,背景图,能源)
 573:53 - 574:11	贴贴没办法	(贴,罐罐,办法)
 580:37 - 581:07	大家，这新出的只能2玩，还是1和2都能运行	(2,能,这新出)
 581:24 - 582:27	这作品于节奏天国和NS差不多命运  感觉都是将死之人	(都,是,的)
 583:35 - 586:16	确实创意少了  歌也没多多少	(。,了,歌)
 586:51 - 587:02		()
 588:28 - 588:37	那我今晚再试试	(试试,今晚,再)
 590:06 - 590:12		()
 593:06 - 593:38	这鸟长得真像螺钉地鼠	(一刀,多挥,这鸟长)
 597:39 - 597:40		()
 608:29 - 609:50	如果比做水准就是高水准[dog]	(音乐,如果,水准)
 611:20 - 612:06	地球：不要了	(地球,？,了)
 612:19 - 612:51	有胖哥顶着，地球的天塌不下来	(更准,添头,天塌)
 614:06 - 615:16	可以重开了	(转,],[)




 615:46 - 616:29	我靠还在播	(柄,肘,崩盘)
 619:33 - 620:24	这个switch1能玩吗，还是switch2专属的	(switch1,玩,把)
 620:49 - 621:01	来买	(perfect,挑战,买)
 622:11 - 625:09	主播还玩呢，我都开始上班了[dog][dog][dog]今天要通关吗	(哈哈哈,],[)
 629:07 - 632:10	但是平凡	(],[,哇)
 636:13 - 638:31	有看了一宿的吗 这作怎么样	(普通,LOSE,但是)
 640:58 - 644:19	黑夜模式是多人的吗	(],[,哇)
 649:52 - 650:38	开肘了	(哈哈哈哈,呃,氿)
 657:56 - 658:08	什么平台	(砸,平台,全)
 658:27 - 658:31		(小朋友,岁,适合)
 659:59 - 660:30	还在播，老公休息身体[傲娇]	(还,蔬菜,身体)
 667:15 - 667:22	出故障了	(比心,],[)
 668:42 - 670:10	昨晚上看到这一关就睡觉了，没想到上班了还在打这关，技不如胖哥一命过	(了,，,还)
 674:42 - 676:30	@下雨了我睡了 这是任天堂Switch的节奏天国 奇迹之星	(睡,的,赞)
 680:23 - 681:11	這麼勤勉的主播哪裡找得到啊[哇]	(666,主播,个)
 682:04 - 682:23	remix以往的有意思多了	(哦,跨服,以往)
 682:52 - 684:06	完美挑战三次都没成 之后就没机会了吗	(按,补拍,断)
 687:30 - 687:33		()
 689:29 - 690:10	顶不住了，松饼加纳[比心][比心][比心]	(比心,],[)
 690:13 - 693:06	笑死我了	(贴,],[)
 694:22 - 698:00	可惜，差一点p	(了,不好,])
 716:03 - 717:00	...让你和我领证也不让你给我买三金[dog]	(我,你,...)




 718:33 - 720:22	加纳[哇]	(加纳,],[)

