全场最高能：65:34	胖哥让你的，你还以为手柄坏了是吧

其他高能：
 4:08 - 7:12	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(啊啊啊,],[)
 305:36 - 307:16	折耳根我闻闻就吐了	(耳根,折,吃)
 308:04 - 308:31	你还吃过bp垢[尬笑]	(尬,垢,bp)
 308:42 - 309:49	孙孙，北京有啥好吃的吗，年前要去一趟	(仓,折扣,金杯)
 313:57 - 315:20	那看来主播是骂了，毕竟主播戾气太重	(骂,员工,的)




 316:33 - 316:37		()
 316:54 - 317:22	这不就是考驾照吗[看]不合场不让你过	(员工,反正,看)
 318:17 - 320:44	这种都是机器人了，你一直骂他他都是那几句话	(了,需要,骂)
 324:20 - 325:37	走走马灯	(],[,？)
 325:57 - 328:15	我那时候都私下联系忠哥 问他怎么样才能被主播骂 他不教我[流泪]	(你,卡,他)
 328:52 - 329:52	那咋了	(了,8000,7800)
 333:09 - 335:21	主播疯了	(？,了,球)
 345:23 - 345:47	胖哥进雅阁了我的天呐	(了,天呐,别忘了)
 349:03 - 349:19	蒙的	(蒙,的,taxi)
 349:38 - 349:57	波动冲波动冲	(波动,冲,恭喜)
 350:10 - 350:28	司马鱼是究极异兽吗	(鱼,改名,地球仪)
 350:53 - 351:26	不是有狩猎球	(究极,不是,？)
 358:28 - 358:53	运气好不刷 到时候运气不好了	(运气,不刷,到时候)
 359:43 - 360:20	主播的寿司郎开业了	(车来,泥头,暴暴霸)
 360:39 - 362:06	点开钻石噩梦神也闪了[看]	(看,闪,司马)
 378:32 - 380:31	反正是给衣服的[捂脸]太久了记不清了	(衣服,了,去)
 380:51 - 381:11	要去送温暖了	(送温暖,带上,战斗)
 403:47 - 404:15	灯冷冷	(冷冷,灯)
 404:24 - 405:03	欺负小朋友	(饭否,力微,最低)
 407:09 - 408:11	只能在z作威作福了[花]	(作威作福,z,在)
 408:21 - 408:30		()
 411:28 - 413:13	吃吼霸吃米立龙的时候会不会被打	(牛哇,第四,新人)
 413:18 - 413:20		()
 413:47 - 413:56	司马玉	(玉,司马)




 414:06 - 418:47	这咋玩  有个数值和裂空座的怪物在排位里杀飞了	(了,这,的)
 422:48 - 424:44	你这行为和胖哥有什么区别	(：,了,嘿嘿)
 424:54 - 425:21		(套路,早有,段)
 426:09 - 428:32	你好主播，这是什么游戏	(小智,一个,什么游戏)
 440:10 - 440:57	都已经这样了还要加强吗	(加强,还要,身份)
 441:26 - 442:18	脑仁和吃吼霸同化了 眼神充满着智慧	(充满,同化,仁和)
 442:36 - 442:38		()
 442:41 - 444:30	司马鱼还能开空间那可太变态了[花]	(司马,针对,空间)
 448:53 - 449:09		(没招,闪耀,魔法)
 455:50 - 456:09		()
 456:28 - 456:40	地龙当物防突破手还是很不错	(二分,赶超,地位)
 461:10 - 463:59	吃吼霸空间对  你就打吧	(],[,就)
 468:59 - 469:40	冲撞换一个更好反正没有完全克你的	(完全,素质,玩法)
 471:26 - 472:39	最没含金量的宝可梦简称轮椅版本之子	(含金量,不,脏分)
 473:53 - 474:04		()
 474:23 - 480:54	含妈量最高的a，吃吼霸什么时候跟虎神一起滚出宝可梦	(啊啊啊,吃,了)
 483:39 - 483:42		()
 484:06 - 487:31	现在该刷脸都不要了[哇]	(打退,了,都)
 488:34 - 489:25	好快的登顶	(有点,打,打一)
 497:10 - 497:43	我們三是第一[哇]	(哦哦哦,第一,没输)
 504:52 - 505:30	地上亮晶晶的东西是啥	(亮晶晶,地上,东西)
 506:04 - 506:15	战绩可查	(渡劫,能否,查)
 506:24 - 506:27		(娜娜,加加,又)
 509:26 - 510:28	最没含金量的a[看]	(含金量,A,加纳)




 512:15 - 512:30	我刷了好久都没有闪光头目巨金怪[委屈]	(巨金怪,好久,我刷)
 515:00 - 515:40	最害怕的一集	(招式,幽灵,3)
 516:35 - 517:50	快龙内脏都被你打成浆糊了	(快龙,打成,了)
 518:12 - 518:15	好可怕	(可怕,好)
 519:08 - 522:19	宝可梦ZA真是太好玩了[哇][哇][哇]	(哇,],[)
 535:41 - 536:48	简直了戾气直接飞升了	(走马灯,在,了)
 538:42 - 538:46		()
 542:21 - 542:25		()
 542:29 - 543:04		(鹰,箭,只烈)
 550:15 - 550:39	今天晚上一直牛车	(草衣机,一直,晚上)
 551:01 - 553:35	五星的给卡片的胖子和富家少爷小姐也会给球	(给,快乐,的)
 554:21 - 555:35	每天上线给小日子姐一下怎么了	(牛车,一下,怎么)
 555:55 - 556:35	大卫戴	(戴,大卫)
 561:47 - 563:57	吃了那顿火锅我肚子难受一晚上了[看]	(了,还,洗洗)
 567:22 - 571:20	去把大葱鸭的支线做了就有了	(大葱,鸭,灯灯)
 578:04 - 578:37		()
 579:30 - 579:44		()
 585:54 - 588:06	是的  宝可梦ZA	(宝可梦,家人,殃及)
 592:06 - 592:15		()
 594:23 - 598:22	主播该休息了	(休息,了,主播)
 603:11 - 603:15		()
 605:20 - 606:41	主播这地图让他做任务太为难他了	(任务,他,白天)
 607:36 - 608:13		()
 610:06 - 610:54	水斗也是幻兽啊  虽然不是三剑客  但是人家是队长	(队长,幻兽,水斗)
 613:01 - 614:42	不过加了莓榴果的话，下限低，很容易歪词条	(3,莓榴果,遭遇)




 615:03 - 616:41	难说[花]	(扁樱,低,+)
 622:04 - 624:11	爱管侍小小的就很可爱，我抓了一对xs的	(化石,抓,岩石)
 625:53 - 626:22	你8莓榴果甜度不够700，出不了闪3+头3的	(3,700,甜度)
 632:23 - 632:44		()
 635:35 - 635:57	头目锁财0	(锁财,0,头目)
 637:12 - 639:09	闪光捕获3倍，但是如果想配合究极球还是可以的	(捕获,3,到)
 639:25 - 640:21	大大大都给了鱼了	(了,恶三用,大都)
 642:08 - 645:52	豪华球[看]	(豪华,保底,刷)
 649:50 - 651:31	和解了[花]	(爱心,],[)
 653:25 - 654:26	卧槽九点了还播呢	(比心,],[)
 656:25 - 656:42		()
 669:22 - 670:45	这是没睡还是醒了[发呆][发呆]	(发呆,睡,没睡)
 671:10 - 672:08	想好一会儿吃啥了吗[看]	(一会儿,啥,想)
 677:25 - 678:33	玩宝可梦也能加戾气了	(加戾,认命,不要命)
 681:03 - 682:47	这是还在抓啥	(横冲直撞,次,400)
 683:34 - 684:04	还在播	(收菜,播,开始)
 684:44 - 687:28	他是这样的	(？,啊,还)
 688:52 - 691:35	@クリーム松饼 错过了，刷了多久闪的啊	(闪,画饼,@)
 692:16 - 692:29		()
 696:16 - 697:18	健美效果还会消失的，打药了是吧	(健美,亢奋,打药)
 697:42 - 697:51		()
 698:10 - 699:53	司马鱼那个上菜好像是能续杯的	(司马,鱼,了)
 700:40 - 703:35	按理说他就在一楼大厅，但你的不知道被什么任务给占了	(什么,一楼,按理说)
 704:21 - 705:00		()




 708:44 - 710:34	我给你看了眼，你15场无限对战打了吗	(你,问,了)
 710:45 - 711:26		()
 711:39 - 712:35	刚醒 大鱼出了吗	(大鱼,出,了)
 713:49 - 714:57	看了眼永恒之花的任务我记得你做了的[看]虽然做的时候我已经厮了	(挖,做,你)
 715:33 - 715:48	这能打吗	(这能,打,吗)
 718:21 - 719:00	这就是你想要的世界第一吗	(挖洞,好大,想要)
 719:40 - 720:12	能直接传，研究院	(传,研究院,直接)
 720:44 - 723:27	加纳了	(？,了,中午)
 723:46 - 724:24		()
 727:58 - 728:07	@🀄伏戴 早[爱心][爱心][爱心]	(爱心,],[)
 730:10 - 731:50	b站老板高兴坏了，怎么有如此辛勤的员工	(高兴,了,是)
 737:47 - 738:01	昨晚上播到现在	(昨晚,播到,现在)
 742:29 - 743:47	早[比心][比心][比心]	(],[,比心)
 746:30 - 746:47	主包早上好	(主包,早上好)
 747:18 - 747:23		()
 749:52 - 750:45	@l c y 7 在[看]	(y,l,很能)
 750:46 - 751:18	[赞]	(厮,赞,])
 756:06 - 757:41	今天有点冷，主播能借我个北京热吗	(很耐困,通关,吗)
 759:52 - 760:49	孙不睡	(打就行,券满,这么久)
 763:21 - 763:53	松饼说话，松饼别看了	(松饼,别看,说话)
 767:07 - 768:20	我去，大哥，我还想今晚听你直播睡觉呢，你晚上不播了	(，,我,战神)
 768:25 - 770:10	还没想好中午要吃什么吗	(怎,在,吃)
 773:30 - 774:57	孙怎在	(对手,势均力敌,爆爆龙)
 775:54 - 776:07	是不是十几个小时了	(十几个,小时,是不是)




 781:28 - 781:38		()
 781:50 - 785:55	主播又熬昼了，今晚还播吗	(饼,大哭,])
 786:18 - 786:53	好	(好)
 789:25 - 791:53	主播快睡吧，晚上没你我睡不着啊[流泪][流泪][流泪][流泪]	(流泪,],[)
 792:03 - 792:40		()
 794:45 - 796:20	得有好多年不看了，还有太鼓节目吗	(有,吗,，)
 796:25 - 796:34		()
 798:24 - 799:27	播30个小时对主播来说还不是轻轻松松，就看想不想播了	(播,轻轻松松,对主播)
 799:34 - 800:02	终于等到松饼睡着的时候了	(等到,河马,睡着)
 804:32 - 804:35		()
 804:48 - 805:33	za害孙啊，不眠不休	(不眠不休,害孙,成就)
 805:38 - 805:55		(经常,播到,12)
 805:58 - 806:10	孙太猛了	(太猛,孙,了)
 815:34 - 819:38	主播不是被打压了吗中午还敢播	(了,同事,在)
 820:13 - 821:04	金河田+白胖+美食 组合	(+,’,刘易斯)
 821:57 - 822:15	走马灯	(走马灯)
 822:31 - 825:39	国服第一[哇]	(！,？,灯灯)

