全场最高能：196:18	技不如人，该说什么

其他高能：
 1:11 - 2:23	饼饼早唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,唉,饼)
 125:28 - 126:11	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(主播,搞,为什么)
 127:00 - 127:37	请到上面来	(技不如人,士,大戾)
 129:11 - 130:46	你明明能用无敌时间进管子 你在干嘛呢	(士,大戾,左)
 132:18 - 133:55	你在干嘛呢	(你,干嘛,呢)
 134:01 - 134:02		(寻找,里,运气)
 134:05 - 135:12	那咋了	(委屈,了,不如)
 139:16 - 140:00	有无敌就会想往前冲[花]	(666,裤子,蒙)
 140:27 - 141:49	我想拿个蓝龟给主播超了	(？,超,无敌)
 143:51 - 144:00	大戾士	(士,大戾)
 154:34 - 155:06	你在干嘛呢，你明明能利用开局时间纪晓岚	(゜,骨气,你)
 160:18 - 160:51	信仰啊	(不如,人,运)
 169:12 - 171:14	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(比心,咋,])
 171:33 - 172:34	好[dog]	(技不如人,好,加纳)
 174:06 - 176:36	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(了,],[)
 179:19 - 181:22	流鼻涕的赢了	(了,，,鼻涕)




 183:39 - 184:38	给你机会不中用啊	(走,不中用,你)
 185:02 - 187:10	喜欢当坏比，该	(？,该,ぞ)
 188:06 - 188:50	白名你打不过，这7000分高手你也打不过，趁早卖电脑	(走马灯,行为,宋哥)
 189:45 - 191:11	都走了	(走,你,都)
 195:32 - 197:29	技不如人，该说什么	(技不如人,顶,])
 208:25 - 208:54	喝汤了	(了,瞎搞,不多见)
 209:26 - 209:31	我们终于遇到两个好人了	(遇到,我们,终于)
 209:39 - 209:49		()
 212:38 - 214:27	还有胜利音乐，不错[dog][捂脸]	(],[,？)
 219:19 - 220:06	流鼻涕的赢了	(的,蒙,？)
 222:33 - 226:32	赞就不谢了	(？,满,钵)
 233:17 - 234:37	之前不有个第三方手柄吗	(手柄,有,吗)
 234:42 - 237:54	西贝怎么你了	(maimai,了,你)
 243:31 - 244:33	不像 就是	(不像,就是,是)
 250:15 - 251:40	你这藤有什么优势	(坚定不移,你,比心)
 251:49 - 252:02	这车肯定会害了你	(会害,肯定,车)
 252:11 - 252:14		()
 255:05 - 256:54	等下把马里奥扔右边去了	(了,哈哈哈哈,哈哈哈)
 260:13 - 261:10	对的 每次看到主播  直播都卡 也不知道谁开的[dog]	(的,开,就是)
 262:06 - 262:10	飞船打工概率挺大的	(挺大,飞船,概率)
 262:19 - 263:06	没抢到就是不好意思	(不好意思,了,抢)
 267:52 - 269:16	奔奔堵路了	(奔,了,为什么)
 271:19 - 274:00	人家等你了	(maimai,你,了)
 276:23 - 278:06	麦麦公平图还挺厉害的，六千分出头确实像小号	(imai,？,你)




 279:29 - 281:59	反复羞辱	(鱿,了,羞辱)
 282:10 - 282:18	不是说要换回去吗	(换回去,要,不是)
 282:35 - 282:42	速度更快，但过弯差点	(弯,好听,速度)
 291:04 - 291:27	坏了	(极限,坏,！)
 302:22 - 303:48	用小鱿鱿就给你金蘑菇了	(你,操作,し)
 308:59 - 309:08	三体来	(化给,安排,巨大)
 310:18 - 310:23		()
 313:34 - 314:02	蓝龟都追不上	(666,蓝龟,的)
 314:08 - 314:27	谁说的第二名可以当爱牛啊[摊手][傲娇]	(],[,当爱牛)
 318:54 - 319:13	这要是小鱿鱿登顶了[哇]	(？,鱿,区)
 323:54 - 326:23	开轮椅的拿第一了	(了,鱿,！)
 332:13 - 333:38	不怕了	(不怕,鱿,了)
 334:09 - 334:14	怀念看不清第三天	(第三天,怀念,看不清)
 336:12 - 336:27	你自己丢的	(丢,比大,該)
 338:36 - 338:56	胖哥还给蘑菇	(防偷,还给,第一名)
 343:46 - 343:55		()
 344:04 - 344:27	名最白的赢了	(了,赢,一半)
 347:45 - 348:01	gg主播没有gg	(gg,没有,主播)
 348:17 - 349:13	刚才第二个金蘑菇的顺位前面几乎不可能有闪电	(闪电,劈晚,离谱)
 349:26 - 349:58	要是先闪电后蓝龟就好了	(了,丹尼,ig)
 350:07 - 350:12		()
 350:24 - 350:35	输不了	(不了,输)
 350:46 - 351:20	自从换了车主播心态好多了	(提,车主,自从)
 351:30 - 352:37	小鱿鱿和妙子一样走了再也回不来了	(鱿,？,小)
 353:55 - 357:26	换回小鱿鱿证明一下是人强，和车无关[dog][dog]	(鱿,羽毛,])




 359:09 - 360:58	你还自责上了	(鱿,小,还)
 364:03 - 365:28	金蘑菇就过了[花]	(鱿,了,蘑菇)
 373:44 - 375:34	地上的海南人	(了,海南,人)
 375:51 - 375:54		(真能,灯顶,吗)
 380:40 - 381:30	掉线了	(了,掉线,？)
 381:42 - 381:46		()
 383:01 - 383:04		()
 384:32 - 386:27	这就是你想上的9000吗	(上,掉线,9000)
 387:24 - 388:05	直线快才是真的快	(快,万,拐弯)
 388:20 - 388:29	太坏了这车	(太坏,这车,了)
 394:45 - 396:47	留金蘑菇到最后用至少晋级了[花][花]	(9893,减速,刷)
 399:03 - 401:19	戾气这不就来了吗	(bot,没有,该)
 401:35 - 402:04	5个真人 你第几	(欺负,9800,第几)
 402:24 - 402:46	大运早开走了	(大运,断层,第三第四)
 404:08 - 405:26	5个真人 你第几大声告诉我	(5,真人,个)
 405:54 - 406:06		()
 406:19 - 406:28	这车只会害了你	(！,登底,只会害)
 408:49 - 409:28	没事，大局观[哇][哇][哇]	(哇,大局观,])
 411:49 - 412:06	笑死	(走水,第十二,汗流浃背)
 412:17 - 414:36	以前的戾气回来了	(了,切割,回来)
 416:11 - 418:27	好 删 全删了	(了,好,删)
 419:00 - 419:18		()
 425:13 - 426:45	登顶56次掉了多少分	(删,],[)
 426:50 - 426:56		(目标,分数,的)
 426:58 - 427:26	和我分数差不多了哈哈	(6,鱿,辆车)
 432:42 - 434:44	主播换车后 怎么分越来越低了	(晚上,了,主播)




 435:18 - 436:37	既然车越好分越低，那为啥主播不试试用最差的车玩，说不定就上分了	(鱿,的,了)
 442:15 - 442:51	三红救一下	(？,起立,全体)

