全场最高能：44:31	老公好厉害[爱]

其他高能：
 4:58 - 6:48	头像是胖哥[dog]	(],[,比心)
 352:38 - 353:19	抛狠话	(捂脸,就,x)
 353:36 - 354:09	手机能玩吗	(缩,锤子,/)
 355:08 - 355:40	我怎么又算错了[委屈]	(真不低,面板,算错)
 360:32 - 363:33	(计xx)：(Kxx)：三国杀的卧龙诸葛神技	(想,),()
 364:10 - 366:45	你在干嘛，为什么不用无敌时间拖时间[哇]	(地龙,了,megaZ)
 366:46 - 368:58	怎么越来越多的人选择给百变怪买dr了，以前没这么多吧	(百变,怪,mega)
 370:53 - 371:25	哈欠守住祈愿的来咯	(的,来,物耐)
 371:26 - 371:31		()
 371:41 - 372:20	你需要一个更靠谱的首发，我推荐猴哥	(猴,伤,搏命)
 372:31 - 372:41	挑衅干劲的猴哥首发相当厉害	(相当,干劲,挑衅)
 372:59 - 373:25	(北xx)：应该难了	(北,惯着,可不)
 373:40 - 373:50	有概率推了	(投了,|,感觉)




 380:52 - 381:05	主播说得对	(哈哈哈哈,说得对,饼)
 381:55 - 382:21	为什么叫他hetian	(吃饭,挠痒,小猫)
 383:00 - 383:17	安全出口	(出口,安全)
 383:45 - 383:54	现在只能带这个b90命中率彗星拳或者80威力铁头	(歪,歪歪,铁头)
 384:12 - 384:17		()
 384:29 - 385:54	大甲[哇]	(了,甲,双刀)
 393:45 - 394:35	很多队都是好几个能mega的	(mega,你,了)
 394:52 - 395:10	多隆有啥用	(多隆,啥,用)
 399:17 - 400:09	没事他多半也是腰带的	(晴天,暴风,怪来)
 403:27 - 405:00	你这多龙要物攻就舒服了	(人机,是,剩饭)
 405:08 - 405:23	暴鲤龙不mega太废了，一辈子过不去壮壮妈	(吉利,壮壮妈,一辈子)
 405:32 - 405:49	人机人机	(人机)
 409:02 - 409:24	水泡还没电反伤害高	(意味,何,伤害)
 409:45 - 410:03	有点熟悉哈哈	(敢,螳螂,熟悉)
 410:26 - 411:45	人机吧	(人机,的,吧)
 421:46 - 421:58	river field	(field,river,雷电)
 427:05 - 427:41	这骨纹加特防了吗	(防,加特,了)
 431:15 - 433:13	他没抓死你的玛丽露力就没得打	(伏特,十万,屠龙)
 438:37 - 438:52		()
 439:09 - 439:30	晴天霹雳太过分了	(可怜,痛,没龙)
 441:50 - 442:15	岩石+格斗	(斗,快龙,雷)
 442:39 - 443:38	我的发型鸟，要不是有个致命一击，还真要被超级皮克西推了	(就,克西,一击)
 444:48 - 445:54	就fayday开这个极光慕	(开,fayday,豆包)
 446:59 - 449:31	笑死了	(了,捂脸,笑)




 449:52 - 450:14	加纳	(加纳,谢谢,人机)

