全场最高能：62:24	主播明天上午不出门是被爱牛堵了么

其他高能：
 1:46 - 1:59	早上好[比心][比心][比心]	(比心,早上好,])
 322:48 - 323:58	气死了	(了,踩,他)
 328:31 - 329:07	甭问，肯定盆满钵满	(钵,盆满,满)
 340:24 - 342:13	那咋了	(了,咋,那)
 342:38 - 343:05	他直接找三头牛演不得了	(不得了,头牛,演)
 347:18 - 347:47	woc，鱼	(？,开盘,不加)
 350:57 - 351:34	别私我手机里	(别私,读,哈气)
 356:38 - 356:51		(哈哈哈,？)
 359:08 - 359:52	别草了别草了	(别草,说,技不如人)
 365:22 - 366:09	你不也没特供吗	(挨打,身,不变)
 367:10 - 369:14	主播被1搞得菊花朝上	(运气,了,？)
 369:24 - 369:35		()
 385:57 - 388:03	一旋击重出江湖	(好,技不如人,毒图)
 388:32 - 388:44		()
 389:08 - 389:17		(使出,对方,挡路)
 389:37 - 389:42		()
 393:21 - 393:26		()
 396:58 - 397:35		()
 398:10 - 399:48	确实结束了	(了,结束,没太晶)
 400:10 - 401:58	刚才是碰上穹渊Destiny的双神速了吗	(外星人,不如,了)




 403:56 - 404:39	萌新吧对面	(拍掉,背心,突击)
 413:18 - 416:56	他自己不也有一只吗	(他,，,也)
 418:10 - 420:26	所以爱牛去哪里了 发动特性：灯顶[dog]	(明白,这么,哈哈哈)
 421:01 - 421:52	主播的运气用完了罢了	(恋万花,一个千,守住)
 429:02 - 429:33	这车会害了你	(越,进化,垃圾)
 431:26 - 431:35		()
 432:28 - 434:18	给你机会了	(你,中,一点)
 438:00 - 439:25	为啥要诅咒啊，这不等着千变万化	(都,啊,不)
 450:54 - 452:24	过半了[妙]再来一次死了	(了,换个,疼不疼)
 453:19 - 455:16	鳞射两次了	(两次,了,啊)
 464:02 - 469:10	我说他是大胆密了顿行不	(加纳,。,他)

