全场最高能：3:57	孙放屁的声音嘛[爱][爱][爱]

其他高能：
 1:52 - 5:07	孙放屁的声音嘛[爱][爱][爱]	(爱,[,])
 360:17 - 360:28		()
 360:42 - 361:18	又嘲讽主播[傲娇]l	(l,嘲讽,傲娇)
 362:08 - 362:58	主播用的麥是金河田牌的嗎	(的,會,怎麼)
 363:51 - 366:57	主播要不要把多龍給換了	(_,悲哀,])
 367:00 - 367:07		(把,多龙,送)
 367:18 - 368:10	對面：謝謝多龍 強控布布	(废物,多隆,手段)
 369:32 - 371:11	你带着三只除了猜硬币有能处理围巾逆鳞的吗	(围巾,了,鳞)
 373:37 - 374:07	没见过的技能	(剑舞,_,技能)
 374:21 - 374:32	岩石炮后一回合不能动	(炮后,岩石,动)




 375:53 - 376:16	哇哦	(哦,哇,走马灯)
 380:51 - 381:09	对面这光头不太行啊	(太行,光头,2)
 381:15 - 382:21	地龙没什么道理不带围巾，我隐形岩地龙都带的围巾	(5,围巾,带)
 383:42 - 384:17	这东西真能带水流喷射吗	(吗,第三只,乌鸦嘴)
 387:07 - 388:19	松饼不在好几个小时了[委屈]	(委屈,松饼,了)
 390:02 - 393:38	悲哀[哇]	(],[,0)

