全场最高能：120:57	还真让他蒙了[哇]

其他高能：
 11:35 - 14:48	有这时间放点走马灯视频啊	(啊啊啊,],[)
 342:36 - 343:46	惠普倒了	(日墙,555,，)
 345:02 - 347:58	爱不释手[哇][哇]	(555,都,马灯)
 355:22 - 358:04	爱牛发力了	(发力,了,瀑布)
 366:01 - 366:55	主播真的太坏了[傲娇]	(傲娇,主播,])
 367:51 - 369:22	保送冠军	(蒙,的,？)
 373:40 - 374:24	其实要有美国身份的话我现在可能已经能找到工作了	(要,碰瓷,身份)
 377:06 - 381:05	ztmex  xemtz	(],[,的)




 383:06 - 383:55	主播是彻底跟老友决裂了吗天天抹黑别人	(的,了,抹黑)
 389:38 - 392:21	又让BuBuLine这孙子蒙赢了	(666,的,蒙)
 393:25 - 394:37	主播[大哭]我手里最近有点紧你能借我八千吗	(借,纸片,能)
 396:22 - 397:32	孙孙 天天欺负isun怪不得人缘那么差 不如胖哥人缘那么好	(”,“,])
 397:48 - 398:08	孙孙还花呗的契机是什么	(契机,还,需要)
 401:22 - 402:33	你干嘛呢，你明明可以不用无敌时间躲闪电	(躲,无敌,你)
 409:57 - 410:42	白胖戾气太重不如主播心态好	(了,LOSE,好)
 411:43 - 412:22	ai局	(局,鱼塘,ai)
 412:43 - 412:48	等一个被闪电劈进臭水沟	(我,第三,劈进)
 413:37 - 415:04	你别说[大哭]我今天还真的帮主播到终点了[大哭]	(],[,播到)
 415:07 - 415:11	喇叭也爱不释手了	(喇叭,爱不释手,也)
 418:09 - 419:32	系统还想看你再打一把、	(系统,再,了)
 426:24 - 426:29		()
 426:45 - 426:51		()
 426:54 - 428:40	好好好	(了,好,你)
 433:58 - 434:18	就非得第一	(史进,非得,第一)
 434:48 - 435:03	30岁喝牛奶怎么了	(岁,30,喝牛奶)
 435:39 - 436:35	技不如人来啦[哇]	(来,哇,了)
 436:38 - 437:21	看看人家第一名[妙]太帅了	(鱿能,同一时间,鱿)
 445:46 - 447:30	下播了	(了,下播,道具)
 452:18 - 455:31	那咋了，你还捏着4蘑菇走到下一个道具点呢	(了,把,咋)
 455:47 - 455:48		(失心,疑似,疯)
 456:54 - 457:39	主播红壳瘾满足了吗[哇]	(电他,愣,币主播)




 461:26 - 464:14	可惜了	(],[,比心)

