全场最高能：168:01	还有谢谢[汤圆]

其他高能：
 1:13 - 2:18	早早早[比心][比心]	(怎早,孙,比心)
 102:10 - 102:33	那还是平局吧，平局不恶心	(平局,哞,那)
 106:31 - 107:28	7400:ztmex	(？,;,题库)
 114:01 - 114:04	这就是路易	(路易,就是,这)
 114:40 - 114:58	7000睡觉	(7000,的,睡觉)
 115:58 - 116:05	蒙的	(爆,蒙,透视)
 120:16 - 122:46	吃独食假仁假义	(假仁假义,;,7400)
 125:06 - 126:19	蒙的	(蒙,？,的)
 130:35 - 134:49	极难国内第一到底是谁啊，到底是胖哥还是美神啊，怎么说什么的都有啊	(第一,是,主播)
 136:35 - 138:02	你就非得给我胖哥是吧	(那,第一,])
 138:50 - 140:50	主播是啥第一	(第一,主播,是)
 141:04 - 141:12	哈哈哈嗝	(哈哈哈,盲猜,嗝)
 154:56 - 155:14	那胖哥8000得加多少次啊	(么,什么,啊)
 159:51 - 160:44	所以有靠真实实力上8000的吗	(实力,真实,胖哥)
 162:01 - 162:57	人胖哥在日本玩的啊 有什么问题	(日本,胖哥,可能)
 167:10 - 170:57	还有谢谢[汤圆]	(胖哥,谁,是)
 173:04 - 173:21	你自己要害人 还想嘲讽	(游泳,自己,技不如人)
 175:41 - 175:52	一看就知道是按开关走右边，为啥要顶	(顶,就,好顶)
 183:28 - 183:47	孙上香是什么意思	(孙上,香,法师)




 190:46 - 191:06	怎么组队的还越来越多了	(组队,的,了)
 191:44 - 191:49	胖哥是谁	(谁,胖哥,是)
 191:51 - 192:03	胖哥首组，再组必究	(牛车,胖哥,必究)
 194:09 - 195:16	这图作者是做了100个一样的图吗	(7400,失误,了)
 196:43 - 197:35	真替你感到悲哀	(7400,悲哀,不愧)
 198:45 - 199:03	那咋了	(总,和田,让)
 215:09 - 218:49	怎么又正好马里奥赢了	(7400,马里奥,不如)
 220:03 - 221:57	主播是日本人何来的抗日	(主播,抗日,日本)
 225:00 - 225:06	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(群,送灯牌,礼物)
 232:30 - 233:20	被白胖幽灵打压了	(;,胖哥,白胖)
 234:10 - 234:43	应景的bgm	(好,教训,应景)
 238:14 - 240:32	雅阁了	(哞,哈哈哈,])
 242:01 - 242:58	你说为什么，因为你在这带节奏	(是,为什么,游戏)
 243:28 - 244:11	不会你一走它们定了吧	(xxs,它们,定)
 245:11 - 246:12	气笑了	(笑,了,死)
 251:20 - 252:50	依旧6969	(哞,6969,了)
 253:56 - 256:05	让谁赢了	(赢,了,？)
 256:14 - 256:17	公平图之夜	(复制,图之夜,昨天)
 256:23 - 258:07	@秀生 你发什么了[dog]	(了,的,来个)
 260:20 - 260:25		(接着,没输,她)
 263:15 - 264:21	卡他	(卡,他,了)
 294:37 - 297:13	买个朱紫双打也是四人对战[花]	(],[,对战)
 300:02 - 300:26	这笔刷这么猛	(这笔,猛,刷)
 300:52 - 301:04	多带一把武器是吧	(多带,武器,一把)




 301:13 - 301:15		()
 310:58 - 311:30	寻了孙孙五把没寻到[委屈]	(寻到,孙孙五,寻)
 311:38 - 311:43		()
 316:30 - 316:41		()
 323:17 - 324:03	为什么他提前出去了	(出去,提前,为什么)
 324:59 - 326:37	我记得你之前不是说狙不能带三角雷吗	(雷,三角,不带)
 327:25 - 328:31	你做梦出声儿是真吓人[花]	(打呼噜,吓人,出声儿)
 329:47 - 330:40	让二追五	(叫声,宙斯,阿尔)
 331:42 - 334:01	@药襄子 晚上好💗💗💗	(💗,孙子,晚上)
 335:30 - 336:11	没有妙子，主播都杀不到人了	(杀,终于,不到)
 336:32 - 338:13	@奶油松饼bot 丶@.@.@@"@"@"@"@"@"@"，@"@"@"...	(",@,...)
 344:34 - 344:55		()
 344:56 - 346:57	主播最喜欢的就是排队了[哇]	(，,靶子,打一)
 347:11 - 347:22		()
 361:44 - 362:26	哦豁	(豁,哦)
 369:58 - 371:21	饼饼，来个两小时的睡眠套餐[花]	(比心,],[)
 371:32 - 372:42		(ELO,制裁,发力)
 373:15 - 373:27		()
 373:29 - 374:15		(康桥,沉默,今晚)
 374:52 - 375:06		()
 375:34 - 377:35	睡了，晚安饼饼晚安主播[比心]	(晚安,比心,])
 377:51 - 378:41		(对面,人,都)
 380:57 - 381:53	终于[dog]	(拖不动,燃尽,大哥)
 399:48 - 400:52	9-2太可怕了	(可怕,9,太)
 401:18 - 402:41	不是当麦当劳	(麦当劳,当,乐)
 406:28 - 407:24	万一呢[dog]	(万一,呢,dog)




 410:12 - 411:00		(哇)
 413:53 - 418:21	主播：原来我才是-0.5	(！,太强,0.5)
 426:28 - 427:43	这大刷子神人，不去前面拍人在车上推车	(推车,车上,拍人)
 429:31 - 429:59		()

