全场最高能：157:56	主播你都给人逼成什么样了

其他高能：
 5:27 - 7:04	你不是全图鉴闪了吗	(怎早,孙,，)
 299:42 - 300:28	得做任务吧	(任务,做,得)
 304:32 - 305:32	我翻译一下：主播你能cos一下晴天娃娃吗	(一下,买,一个)
 307:31 - 310:19	然后去电脑买一个木盘，按照他给的那个方式摆在旁边就行	(。,给,！)
 311:29 - 312:07	去找杰尼龟	(杰尼龟,求雨,找)
 313:14 - 315:02	那咋了[哇]	(了,],[)
 315:08 - 315:17	从牛车追过来了	(追过来,从,牛车)
 319:12 - 319:24	黏黏宝事704	(黏宝事,704,黏)
 319:36 - 319:37		()
 320:45 - 321:13	那咋了	(咋,那,了)
 322:33 - 323:05	萝卜不拔吗	(翻模,不拔,萝卜)
 327:12 - 327:24		()
 327:42 - 327:47	你把别人忘了吗	(忘,别人,把)
 328:36 - 329:07	那是耕地你自己弄的	(流星街,完整,一块)
 331:34 - 331:49	走马灯	(走马灯)
 332:17 - 332:46	这个石头在这个洞里面，你找一下，把能开的路都开了	(开,找,这个)
 334:12 - 335:34	这作人类是灭绝了吗[dog]	(是,在,吗)
 336:18 - 337:24	那个奇怪的石头，就在大岩蛇那个洞里面，你只需要把所有不一样颜色的岩石破坏...	(大笑,...,，)




 339:10 - 339:50	相当于跑路了  那些人就丢那里了	(了,就,搞完)
 342:22 - 343:02	神秘岛还可以上那边岩洞里还有金属你没拿然后记得带寻宝器  岛上果树要把树根砍了	(尿,堵住,只会)
 355:06 - 355:33	你后面有沙包	(沙包,有,绝)
 356:13 - 356:27		()
 356:43 - 356:51		(啥,游戏,这)
 360:17 - 360:57	这游戏Switch出来了吗	(Switch,发售,了)
 366:22 - 366:29		()
 368:13 - 370:17	长按拔起的都是叶子	(拔起,叶子,长)
 371:21 - 371:29		()
 372:29 - 375:44	豆子给打拳的	(豆子,打拳,给)
 386:22 - 387:46	还电信的了	(电信,的,铁通)
 391:47 - 393:47	这作多少个宝可梦啊 每种都要搭几个居住地吧	(的,个,300)
 395:39 - 396:20	@披萨小野 这是任天堂Switch2独占的新作pokopia	(这是,小野,披萨)
 396:57 - 399:14	这个游戏主播到底推荐不推荐啊[dog]	(dog,],[)
 404:07 - 404:39	带寻宝器	(出动,窃贼,器)
 410:04 - 411:53	@筱懷 这是任天堂Switch2独占的新作pokopia	(的,这是,影响力)
 413:02 - 413:19	立本天亮了	(本,立,天亮)
 423:10 - 423:22		()
 423:47 - 423:53		()
 424:11 - 425:38	也就两小时没看 进度这么快吗	(两,小时,没)
 426:56 - 430:03	我也是这个  难不成百变怪玩偶是固定的	(玩偶,的,是)
 433:24 - 433:51	从石头里凿的记得	(石頭,不全是,拿到)
 433:59 - 434:06		(海滩,星星,沙子)




 434:20 - 436:13	にんぎょうは、オブジェクトから溢れ出す光ポイントをいわくだきで採掘するこ...	(で,す,ト)
 436:50 - 437:27	这怎么看着像创世小玩家2	(这,创世,玩家)
 438:27 - 439:11	卧槽水君	(水君,？,敲)
 439:16 - 440:09	啥意思呢	(冰里,三百个,激动)
 442:09 - 444:10	柱子上的火把也给拆了	(了,的,？)
 445:05 - 446:43	这是任天堂Switch2独占的新作pokopia	(有,这,了)
 448:02 - 449:47	主播一拆别人家就笑的跟孙子似的[哇]	(都,的,年)
 449:55 - 451:50	主播想拆就拆，要是bb赖赖的待会主播就变成大理石寻你来了[哇][哇][哇]	(拆,],[)
 454:52 - 455:01	大卫戴	(戴,大卫)
 455:40 - 456:09	水君哪天回家一看直接气死[dog]	(不差,有矿,哪天)
 456:43 - 457:59	不是你说要拆干净给他盖新家吗	(说,过分,你)
 458:06 - 458:12	能放兜里	(能放,兜里)
 460:42 - 460:50	是我们不让你走吗[dog]	(不让,我们,走)
 460:59 - 461:03	Pokémon	(mon,é,Pok)
 462:43 - 463:30	这样砍树 会重新长出来吗	(…,出来,重新)
 465:10 - 467:58	水君：我拿你当朋友，你抄我家是吧	(我,水君,…)
 470:50 - 471:11	主播好玩吗值得买吗	(值得,吗,好玩)
 471:54 - 472:18	和他说话啊	(说话,和,他)
 472:29 - 472:40		()
 477:07 - 477:29	滋润潮湿	(潮湿,滋润,啊)
 478:30 - 478:54	给个泉眼就不错了	(了,不错,泉眼)
 482:45 - 483:15	别的工人不行吗	(ds,凑齐,先选个)




 483:25 - 483:42	是不是能多骗两个苦力	(围起来,能多骗,床上)
 494:23 - 497:01	地鼠擅长	(ン,擅长,ま)
 506:53 - 507:05	来了	(什么游戏,来,这是)
 514:37 - 516:23	那咋了	(哈哈哈,了,或)
 519:28 - 520:02	老汉推龟	(背着,推龟,老汉)
 521:17 - 521:21		()
 521:35 - 523:14	人家是从温泉来的，你不给人家尿湿了人家不好走	(人家,尿湿,给)
 525:23 - 526:43	兔子啊	(兔子,这是,w)
 527:34 - 527:38		()
 529:48 - 530:51	@蔬菜大棚 这是任天堂Switch2独占的新作pokopia	(了,这是,大棚)
 533:59 - 535:00	应该是超梦暴走的结局了	(超梦,结局,凑人)
 535:05 - 535:56	就刚才找温泉的那边	(温泉,围着,铁门)
 536:06 - 536:15	是的	(什么游戏,这是,是)
 536:49 - 536:57	我去 我的一 不能玩啊	(我,一,不能)
 537:14 - 537:28		(好玩,吗)
 537:48 - 537:59	该换了[dog]	(该换,dog,])
 538:12 - 538:21	走马灯	(走马灯)
 538:35 - 539:35	这个手机可以玩吗	(玩,可以,哪一部)
 539:57 - 540:06		()
 548:11 - 548:31		()
 550:41 - 550:53		()
 551:05 - 551:38	让王八滚	(树叶,让,合作)
 553:19 - 557:50	我看着比ZA强多了，但是主播有时候看不见游戏里的提示	(开,游戏,主播)
 558:01 - 558:08		()
 558:34 - 560:28	自己找个主播的录播看看他们怎么过的吧	(的,主播,是)
 562:59 - 563:57	主播你的gg呢	(是,那,着火)




 564:56 - 565:54	请问这是啥游戏啊	(是,啥,游戏)
 567:25 - 569:08	主播是百变怪可以凿其他的宝可梦吗	(？,打碎,吗)
 570:52 - 570:53		()
 571:04 - 574:58	丝丝沙拉吃了没	(升级,了,吃)
 575:18 - 577:59	孙你玩了一天，觉得这个游戏好玩吗	(看看,熔炉,这个)
 578:05 - 578:24	这不是面具男的矿洞吗	(带矿,矿洞,面具)
 580:48 - 582:40	加纳加纳	(加纳,比心,拜拜)

