全场最高能：49:41	进来就看到孙子在ztmex

其他高能：
 4:43 - 5:08	看着比较陌生	(比较,陌生,看着)
 334:21 - 335:19	主播我去北京能带我旅游吗[花]	(啊啊啊,吗,旅游)
 335:30 - 335:53	啊啊啊啊啊啊啊啊	(啊啊啊,啊,土拨鼠)
 336:16 - 341:27	你要入侵主播的飞猪吗	(我,踩死,。)




 354:22 - 354:30		()
 358:38 - 358:45	找个厂打螺丝吧	(命过,平均,螺丝)
 361:36 - 364:27	松饼也被切割了吗	(切割,z,暴牙)
 365:45 - 366:56	豆汁儿日语怎么说	(日语,说,豆汁)
 367:58 - 370:26	主播主播，bili这给你刷皇帝了	(,,皇帝,了)
 370:39 - 370:50		()
 373:43 - 374:14	我压了右边痔者赔丸子	(丸子,赔,我压)
 377:50 - 377:59	蒙的	(孙一,nb,蒙)
 380:06 - 380:45	走馬灯www	(う,读音,精通)
 381:01 - 381:28	主播没想到你竟然是日本人	(！,高松,竟然)
 387:25 - 388:07	一天不听两只老虎浑身不舒服	(两只,老虎,不)
 388:09 - 388:37	粗鄙之言	(_,新码,该换)
 391:07 - 391:52	LQG_MVS_DXG[抓狂][抓狂]两只老虎	(_,DXG,MVS)
 395:50 - 399:31	说真的i wanna起码是人玩的	(大笑,],[)
 405:19 - 406:00	快回国了，想和主播聚餐[比心]	(了,我,聚餐)
 407:08 - 407:18		()
 407:34 - 409:37	主播，这里有个嘬一下送大型礼物的	(嘬,欲望,大型)
 409:43 - 409:50	还真的嘬了，稍等	(俄,抗个,临走)
 412:49 - 413:17	这下我不是劣质粉丝了	(旋有,方块,消掉)
 414:01 - 414:27		(哈哈哈哈)
 416:32 - 416:36		()
 417:02 - 417:28	魔爪这东西其实我没啥好感，到处碰瓷游戏公司	(魔爪,到处,好感)
 418:46 - 419:54	白的喝着有点酸	(白,的,喝)
 422:35 - 423:50	可能是我点的有上限	(！,登顶,灯顶)
 432:11 - 432:45	这粉丝牌升级这么快	(级,刚买,升级)

