全场最高能：103:17	这图几年前就玩过[妙]

其他高能：
 2:47 - 3:03	走马灯	(走马灯)
 238:57 - 239:00	一滴血	(设计,精妙,一滴)
 240:58 - 241:42	男嘉宾遗憾离场	(离场,遗憾,嘉宾)
 242:55 - 243:03		()
 243:20 - 244:47	za对战是之前那个4个人到处乱创的那种吗	(那种,对战,ZA)
 249:35 - 251:11	饼饼饼饼饼饼啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,饼,咋)
 263:23 - 263:58	镜像对决[哇]	(双倍,镜像,对决)
 266:20 - 272:33	送了	(了,对面,送)
 275:55 - 276:28	这不打冰飞	(打冰飞,走马灯,不)
 276:57 - 277:16	主播怎么换阵容了	(阵容,换,怎么)
 279:33 - 281:32	主播1朝上的时候赢了吗	(菜,吗,技不如人)




 282:34 - 284:10	这下真技不如人了	(海鸥,了,主播)
 286:20 - 286:36	胖胖的鱼鱼呀	(杀会,三打,鱼鱼)
 290:25 - 290:56	原来如此[傲娇]我是云玩家[傲娇]	(傲娇,云,])
 292:06 - 293:58	怎么都10000多分了	(了,哈哈哈,怎么)
 295:04 - 296:30	主播我听说单打玩吃吼霸的都是没脑子的是真的吗	(噔,你,地裂)
 301:10 - 301:53	下一把	(把,胜利,光速)
 302:43 - 303:04		()
 315:47 - 315:54		()
 316:02 - 316:34	完全不懂这游戏，但是听主播语气是赢定了	(听主播,欧卡,盖)
 317:08 - 323:56	主播被对面玩弄了	(对面,。,了)
 324:06 - 325:37	他同命复读了吧	(？,吧,主播)
 325:52 - 326:06		(招,制度,低)
 329:04 - 329:40	蒙的	(洗刷,唱歌,地裂)
 329:59 - 330:14		()
 331:58 - 333:45	人家找到你的死结了	(的,白马,灯)
 334:32 - 334:37		()
 337:30 - 339:43	赢了说是	(哈哈哈,是,69)
 340:42 - 340:52	不会烧了吧	(烧,不会,吧)
 341:21 - 342:15	必吃	(杂碎,缸,能抗)
 346:17 - 347:25	你输了不也耗着	(的,也,你)
 347:55 - 348:08	待会换个游戏接着皮卡丘	(皮卡丘,接着,换个)
 348:38 - 349:33	两个百变怪要顶峰相见了	(性别,一个,要)
 349:42 - 350:13	主播为啥不带二级神[鼠]	(主播,依赖,二级)
 350:24 - 353:07	一个CT给主播打结巴了	(哈哈哈,了,ct)
 353:27 - 354:05	三体+蓝龟+闪电，刚好五下，一下ct	(+,交了,刚好)




 355:29 - 356:45	不赢回来睡不着觉了	(了,哈哈哈哈,赢)
 368:41 - 370:07	对面全是这么可爱的哎太残暴了	(喵,委屈,对面)
 370:22 - 372:22	是我最爱的4k环节	(喵,的,喷喷)
 373:28 - 373:41	我现在已经是原神玩家了	(原神,玩家,已经)
 376:27 - 376:47	主包玩喷喷虐女玩家会引来她的请求教学的私聊吗	(ZywOo,哔哩,私聊)
 377:01 - 377:02		()
 382:54 - 384:25	输掉了	(l,。,.)
 390:59 - 391:23	怎么播上这游戏了	(播上,游戏,怎么)
 393:11 - 393:15		()
 393:21 - 394:10	没汁儿了	(！,爽,战斗)
 394:24 - 394:51	你的大招什么用	(大招,用,什么)
 400:15 - 401:31	那咋了[花]	(哭,笑,])
 401:49 - 402:06	皮箱还差不多	(皮箱,差不多,还)
 402:10 - 405:16	主播什么段位	(了,，,主播)
 406:57 - 407:43	金河田到底怎么你了	(？,半藏,金河田)
 407:47 - 408:18	国产剧情了	(了,你,打不中)
 408:40 - 408:49	实在不行请美神教你怎么打狙吧[哇]	(神教,请美,实在)
 408:53 - 410:17	帮我把我的喷三从日本要回来我当你的爱牛[哇]	(我,帮,你)
 411:22 - 413:38	拿回来的时候我机子里面的喷三没了[傲娇]	(的,我,他)
 413:52 - 416:57	我一看她玩上了喷三就知道我的卡带被他拿去送人了[傲娇]	(了,的,主播)
 417:10 - 417:14	黑百合就是这样的	(久违,的,这样)
 420:36 - 422:07	而且我一直玩的是副T	(T,。,t)
 422:28 - 422:33		()
 426:18 - 426:59	那为什么还一起排	(澡盆,],[)




 428:43 - 429:12	哇牛啊，太牛了，都把对手打团灭啦	(打团,，,狗切)
 430:14 - 433:09	主播我花呗还不了了，能借我8000吗	(我,],[)
 433:16 - 433:27		()
 434:52 - 435:04	版本更新了，现在卖梨	(supercell,到期,会员)
 435:20 - 435:38	sc那就是腾讯游戏	(熟,這一塊,對)
 446:08 - 446:56	这游戏听起来糯叽叽的，但是看着颜色太鲜艳了，肯定有毒	(，,游戏,这)
 447:23 - 447:26		()
 447:54 - 448:18	开了就是开了，大方承认[妙]	(文儿,开,哇)
 454:50 - 455:59	原班人马打造	(主播,原班人马,一般)
 456:51 - 457:06	我怎么就心碎了[傲娇]	(心碎,傲娇,怎么)
 466:52 - 467:56	艾什的Bob可以顶车	(艾什,又,可以)
 468:52 - 469:30	主播是不想和胖哥一起打枪吗	(不想,一起,和)
 475:20 - 476:09	主播可以去黄队把直播间搞黄吗	(牛车,主播,黄)
 489:23 - 493:01	一般的模式里是看哪边地刷得多吧	(涂地,主播,了)
 495:55 - 496:52	我试试拉黑了能不能排到	(啊,我,渗透)
 502:37 - 504:55	那咋了	(咋,了,那)

