全场最高能：505:11	雪女一定要母的，用觉醒之石

其他高能：
 3:24 - 3:41	测试	(测试)
 223:13 - 223:21	胖哥的人品和主播差了五个金河田	(胖哥,送妈器,五个)
 226:18 - 227:06	天眼修好了	(？,的,天眼)
 232:16 - 232:46	海南人	(海南,人,狙到)
 233:28 - 234:03	白白玩了胖胖	(白白,胖胖,哈哈)




 234:13 - 234:31	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(zdsm,一关,，)
 238:02 - 239:22	飞了	(了,士,大戾)
 252:57 - 253:42	睡不着了	(技不如人,了,碰)
 254:53 - 255:06	为什么胖哥摸旗是8000	(有马,摸,这边)
 255:54 - 259:07	这个赞是你点的吗	(的,走马灯,你)
 259:12 - 259:24	不好	(孬飞,不好)
 261:15 - 261:25	这能上	(就,想点,想着)
 263:08 - 263:58	车呢 主播怎么还不牛车	(么,难度,级)
 264:30 - 264:49	季小麦来早过了	(季,小麦,早过)
 265:10 - 265:17	一次过次次过	(过,次次,不玩)
 272:22 - 272:43	赛跑输了	(赛跑,士,大戾)
 283:19 - 283:24		()
 283:40 - 284:47	最完美的开光嘴	(美食,完美,知道)
 285:50 - 285:55		()
 286:04 - 287:50	他是你的好朋友超级花美男	(@,两局,ip)
 288:19 - 290:06	孙孙IP查出来了 陕西的	(蓝龟鈿鈿鈿,三体,！)
 290:53 - 292:37	顺序错了，应该先雷后蓝龟的	(？,],[)
 296:23 - 298:29	好好好	(哈哈哈,加油,555)
 301:19 - 301:35	刚来 请问这是95直播间吗	(95,全,⚡)
 306:50 - 308:21	哇，灯顶	(！,了,灯顶)
 319:25 - 319:42	这不对吧	(对,该,吧)
 320:41 - 321:42	三蘑菇直接全部走泥地快很多，上那个藤太慢了	(上,蘑菇,了)
 326:28 - 327:58	爱孙劈劈劈	(哈哈哈,哈哈,稳固)
 330:34 - 332:23	该说不说，这么针对都能擦边进	(タ,カ,牛)
 341:17 - 342:52	蓝龟我来了	(🤣,哈哈哈,蓝龟)




 346:41 - 348:11	这也太惨了[捂脸]	(哈哈,哈哈哈哈,555)
 348:36 - 349:45	金河田官方来了	(啊,大叔,河南)
 352:30 - 354:30	这鱼跳一下都要寻你	(要,挨,这鱼)
 356:12 - 356:58	是发生了什么才改名的嘛	(饼,什么,是)
 358:39 - 358:53		()
 364:33 - 367:24	我也想看  马造	(马造,看,了)
 368:44 - 371:20	放555过去吃蓝龟了	(了,，,吃)
 372:12 - 372:20		()
 374:24 - 376:13	第四的时候确实该用了，第二马灯都没了到第二都到瀑布了	(瀑布,了,到)
 385:13 - 386:20	能的	(哈哈哈,倒楣,轮)
 386:50 - 387:06		()
 395:05 - 397:50	这个图在瀑布这就结束了吗，怎么没见过后面的	(瀑布,庐山,了)
 405:01 - 405:52	没有瀑布孙子就是快	(快电,要开,一闪)
 409:57 - 410:22		()
 415:32 - 418:52	@毛毛虫. 这是任天堂Switch2独占的超级马力欧赛车世界	(555,哈哈哈,第二)
 421:18 - 421:40		()
 422:05 - 422:09	现在挂机都赢了，后面那一团	(挂机,一团,赢)
 424:26 - 427:08	太好了 我在牛車：金河田世界獲得了第13名好成績 你也來試試吧[比心]	(],[,主播)
 429:11 - 430:37	555会预知未来， 他就是有这种威能	(50,-,他)
 430:45 - 431:10		()
 432:36 - 433:15	你没排吧	(再卢,没排,一把)
 442:09 - 444:04	没事儿，踩你的也没进	(哈哈哈,。,哈哈哈哈)
 451:31 - 452:38	[害羞][发怒][酷拽][衰][懵][困][互粉][玫瑰][感谢][戒指...	([,],戒指)
 459:57 - 460:27	啥游戏	(za,宝可梦,游戏)




 464:33 - 465:15		()
 472:30 - 473:39	难道我记错了[看]	(进化,那个,记错)
 476:35 - 477:34	上班去了么么哒	(么,了,稍微)
 480:12 - 481:55	那个说手机上也能玩的宝可梦出了吗	(形态,进化,能)
 484:58 - 487:02	假闪耀3	(紫黑色,蓝黑色,假)
 500:50 - 501:45	孙宝你这是什么属性的甜甜圈进来的	(进来,甜甜,的)
 502:12 - 506:27	雪女一定要母的，用觉醒之石	(的,雪女,觉醒)
 516:13 - 517:02	这是真蒙的	(真蒙,这是,乐)
 517:45 - 518:30		()
 518:42 - 519:11	按下R是干什么	(R,按下,干什么)
 519:18 - 521:16	是啊，这种烂大街和那种稀有宝可梦肯定有区别	(稀有,3,捕获)
 521:30 - 521:49		(环节,对战,么)
 521:52 - 522:10		()
 522:59 - 524:15	那种双属性的宝可梦能错坑用甜甜圈吃保底	(坑用,可梦能,那种)
 527:39 - 532:03	树果2没有多多力可以用吗	(2,可以,留)
 534:23 - 535:35	格斗坑也出暖暖猪，吃火圈进去保底就是	(暖,买值,太耐玩)
 539:25 - 544:31	我买了OLED发现应该换2代[捂脸]	(OLED,代,2)
 545:25 - 545:34		()
 549:50 - 551:18	最少，因为整个游戏流程在下水道只需要五分钟	(下水道,在,昏迷不醒)
 554:58 - 556:44	去了医院，结果在那坐着非常累，接下来回家多睡会[手机]	(在,手机,还)
 567:14 - 567:45		()
 576:12 - 577:55	[互粉][互粉][互粉][互粉]	(互粉,],[)
 585:51 - 586:20		()




 586:57 - 588:31	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(送灯牌,的话,群)
 597:05 - 598:28	主播这是在干啥	(早上好,干,孙宝)
 599:13 - 600:30	全闪图鉴么	(全闪,目标,图鉴)
 601:55 - 603:11	这能刷新吗	(刷新,读,这能)
 607:24 - 609:14	左边那个千卡是干啥的	(千卡,干,加)
 609:39 - 610:39	主播一会吃嘛早点	(早点,一会,嘛)
 611:26 - 614:05	加纳了	(加纳,🇭,🇬)

