全场最高能：122:15	你是路易

其他高能：
 1:46 - 1:58	早[比心][比心][比心]	(比心,[,])
 276:32 - 277:32	虫草花	(我,咋,的)




 285:15 - 285:41	主播可以給我600嗎 之後我再跟陳先生要你的帳戶轉給你300[哇]	(0,弟裂,，)
 299:15 - 300:39	@爱钓鱼的清华 我主线还没通关[dog]	(@,的,ム)
 307:48 - 312:33	刚来就被踹死了[dog]	([,],哇)
 320:26 - 321:35	盖欧卡加油	(欧卡,盖,沉淀)
 329:34 - 330:39	0旋击回来了[哇]	(0,哈哈,零旋击)
 340:34 - 340:48	[dog]松饼没和主播同台竞技吗	(没和主播,同台,竞技)
 341:04 - 341:13	好疼	(0,好,疼)
 341:31 - 341:52		()
 342:37 - 342:57		()
 343:45 - 345:11	你要不让带神兽  宝可梦冠军mega雪妖女你怎么打	(神兽,不让,带)
 346:31 - 348:26	加纳[爱]	(加纳,[,])

