全场最高能：76:25	哈哈哈哈哈哈

其他高能：
 5:21 - 6:06	松饼姐姐早[比心][比心][比心]	(啦,],[)
 645:54 - 647:12	蚊香是什么系 虫吗	(蚊香,纯水,系)
 648:45 - 651:14	之前看到的也是胡地	(您,爱,胡地)
 652:48 - 654:42	我发现繁体字的愛有心，简体的没有，所以为了表达心意，简体的我爱你要变成我爱您	(我,简体,爱)
 655:04 - 655:16	下蛋了	(下蛋,了)
 655:58 - 656:09		()
 657:34 - 657:39		()
 657:46 - 658:27	真超梦啊	(哇,夢醒,真超)
 658:35 - 660:20	下次得在梦岛roll了[dog]	(roll,萨,弗利)
 674:02 - 674:08		()
 675:01 - 679:17	早上好松饼	(退出,],[)
 680:20 - 681:59	乐[dog]	(比心,],[)
 688:21 - 689:01	今天备战12点[哇]	(备战,12,点)
 691:11 - 691:29	枣饼[哇]	(比心,],[)
 691:48 - 694:12	巨鍛匠的效果	(巨,我,做)
 694:20 - 694:24		()
 696:10 - 697:25	你怎么知道那是他自己的[dog]	(藤藤蛇,直接,怎么)
 703:17 - 704:35	@我不是小淑女 这是任天堂Switch2独占的新作pokopia	(我,我怨,淑女)
 704:55 - 706:32	磁吸的和滑动的还能分不出来吗，这也能骗到人	(活动,到,喵)
 706:39 - 708:54	@彦凝 来了[dog]	(💗,补水,dog)
 711:55 - 712:31		()
 712:35 - 713:06	嗷嗷嗷嗷嗷嗷	(嗷嗷,小臭,狗)




 715:19 - 717:20	还能变成喷火大胖龙	(还,快龙,变成)
 718:14 - 720:07	主播不用睡觉的吗[捂脸]	(],[,龇牙)
 721:52 - 724:53	来重庆我给你做汉堡肉吃[哇]	(],[,肉)
 725:00 - 725:11		()
 727:20 - 727:24		()
 727:39 - 728:27	我们小时候哪有这条件玩游戏啊，跟您比我们就是稀巴烂	(我们,稀巴烂,玩游戏)
 728:38 - 729:57	电脑都不用，我拿手机玩的	(电源,的,电脑)
 731:49 - 732:30	草，怎么都快龙了，这么肝	(了,俺,台词)
 733:41 - 736:03	就从桌子上的架子掉下去  砸到ns了  当时屏幕就漏光了	(了,砸,这是)
 737:53 - 738:21	对咯	(。,上市,gen10)
 740:47 - 741:09		()
 750:27 - 750:31	拉电线	(火焰,发电机,造俩)
 757:57 - 759:06	这回真变成偷取时间的孙了	(吓,孙,偷取)
 760:14 - 760:19		()
 766:57 - 767:12		()
 767:24 - 767:37		(老师,孙,怎么)
 768:16 - 768:47		()
 769:48 - 769:50		()
 769:58 - 770:52	[dog]	(守护,小饼,松)
 771:07 - 772:07	不用塞满	(不用,塞满,点火)
 772:44 - 775:43	加纳[亲亲]	(加纳,],[)

