全场最高能：82:55	孩子出生第一句话是走马灯

其他高能：
 4:47 - 5:06	只有我卡吗	(哈哈哈,夜宵,我卡)
 159:21 - 162:20	主播我今天是真的要高考了，不过家里条件不好就放弃了，你能借我点钱我打车去考场吗	(],[,高考)




 163:13 - 163:27	老公在你直播间能找到新老公吗	(老公,蹲成,从林)
 163:41 - 164:06	形成对角线	(对角线,像,真)
 164:22 - 164:33	主播学的文科不考物理	(我,精彩画面,能别)
 165:09 - 166:36	听说主播在日本，哈尔滨，惠州都有老婆，是真的吗	(，,主播,蒙)
 166:51 - 168:42	先踩里面的再踩外面的吧	(踩,纪晓岚,的)
 168:44 - 168:58	主播你先三段上去然后反墙就过了	(先,绿色,戴)
 170:17 - 171:07	我上哪给你找玩摩托又玩马造的人去	(马灯,了,玩)
 175:11 - 176:23	我是白胖粉丝，主播你直播画面上的马灯呢	(白胖,马灯,我)
 180:06 - 180:18	雅阁不算ddj的人，只是单方面喜欢甜心	(人,，,的)
 180:24 - 181:00	首先要声明的是，这一切都发生在日服	(，,是,都)
 183:06 - 183:41	你是出了名的技术菜，心态差	(都,啊,上麦)
 183:47 - 184:30	我第一次读的时候感情可丰富了 就是没开麦	(河田,了,我)
 184:41 - 186:18	林克 看了你一个月了   不给你刷点我都不好意思了	(了,，,电脑)
 186:31 - 187:45	主播能讲讲对角线的故事吗[dog]	(],[,的)
 188:07 - 188:20	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(故事,听,每周)
 188:24 - 188:34	热熔胶更新了硬盘dlc	(硬盘,dlc,更新)
 191:38 - 191:50	我是心甘情愿的，老公[爱][爱]	(老公,爱,心甘情愿)
 210:06 - 212:49	看不清了到底是什么梗，也是胖哥的吗我怎么没听过	(爽快,超,了)
 213:47 - 214:08	主包爱牛圣经怎么背的那么熟	(说,欧耶,熟)
 223:24 - 223:46	但是有人明天要受伤了[dog]	(受伤,啊啊啊,啊)




 224:54 - 225:05	准备到主题了	(主题,准备,mm)
 226:18 - 228:35	所以主播你也是吗	(是,你,也)
 231:31 - 232:17	哈哈哈，万恶之源是你	(？,],[)
 235:19 - 236:28	我也高一[哇]	(？,吐,?)
 237:20 - 239:44	毕竟陈先生是真的让你吃上热热的胶胶了	(],[,耳机)
 241:14 - 242:54	要不给主播买个耳机，送给主播，就能攻略了	(，,了,主播)
 244:46 - 246:01	听下来感觉都是主播的错 如果主播当年从了他	(的,蒙,了)
 249:41 - 250:53	哈哈哈，妙子是你的白月光吗	(],[,白月光)
 251:24 - 251:36	胖哥是主播的白月光 所以天天 念	(白月光,的,夫姓)
 251:55 - 254:55	阳间的主播都不说是谁[dog]	(阳间,的,故事)
 257:02 - 259:11	惠州蘑菇是最新的吗，有切片吗	(惠州,的,蘑菇)
 265:39 - 265:49	@唉 主播c的是胖哥玩偶[哇]	(哇,认对,喝水)
 269:45 - 270:52	那咋了，同行都是恩人	(你,是,同行)
 271:08 - 271:18	我们把你直播间搞黄了，黄可是帝王之征啊	(委屈,黄,])
 271:28 - 272:14	不是我们弹幕害了你，是这个惠菇害了你呀	(了,],[)
 273:03 - 273:31	上面能走吗	(走,3.5,上面)
 273:57 - 274:49	无敌星啊	(无敌,星,啊)
 277:45 - 278:23	技术盲区，这是个特别难的操作，只有胖哥会	(技术,盲区,捂脸)
 283:54 - 284:02	承认不如胖哥很难吗	(不如,总之,胖哥)
 285:18 - 286:02	急了	(呆,],[)
 293:18 - 293:34	看来主播还是个傲娇，刚说不玩	(mer,进前,待遇)
 306:32 - 307:04	祝贺你可以拿着身份证去网吧了	(高考,怀孕,祝贺)




 308:21 - 309:03	主播，我已经替你报好名了，下播后早上九点记得去考	(自由,，,掉)
 317:00 - 317:51	都像主播这么想，那黄仁勋不只能扫大街去了	(黄仁勋,神话,哈哈哈哈)
 317:58 - 320:13	主播这么多年欠的大嘴巴子都没打呢，总计8000个了	(，,了,不是)
 323:18 - 323:32	妈的，笑死我了，一搜惠州蘑菇，出现一个惠州蘑菇乐园	(惠州,蘑菇,乐园)
 325:00 - 325:12	金龟是什么效果	(生化危机,玄鱼,幽尾)
 325:58 - 326:58	来了吗，ztmex	(ztmex,，,蘑菇)
 337:00 - 338:58	真为爱孙感到悲哀	(了,出来,666)
 339:13 - 339:20		(哈哈,哈哈哈)
 340:55 - 341:11	也不要给他买有柄的蓝牙耳机	(高考,学子,无缝)
 344:09 - 344:29	主播为什么不做保护[dog]	(吴涛,传下去,保护)
 344:53 - 345:09	压的是谁 知道了	(压,舒服,了)
 346:25 - 346:41	哪来的雷	(剧院,噫,不玩)
 349:06 - 349:09	胖哥把他踢了吗	(踢,知道,把)
 351:39 - 352:20	胖哥都生过孩子了[dog]	(偷,惠菇,的)
 363:02 - 363:39	只有胖哥能过，其他的都会被卡住	(！,会,卡住)
 363:49 - 365:51	这和你上次教我的不一样啊[dog]	(杆,dog,了)
 385:30 - 385:44	推了吗	(推,打死,没)
 387:32 - 389:00	玩到真的空气之刃了	(了,空气,哈哈哈)
 389:34 - 391:37	悲哀啊	(赢,悲哀,了)
 392:56 - 395:42	悲哀啊[dog]	(],[,哇)
 398:37 - 398:38	1/5	(1,/,5)
 403:56 - 405:58	悲哀啊	(悲哀,],[)
 411:48 - 412:06	这技能组笑死我了[哇]	(死,组笑,丸辣)




 414:09 - 414:28	你前面专业对口，他后面专业对口怎么了[dog]	(专业对口,狗哥,wocao)
 422:13 - 423:13	终于赢了人机局[dog]	(人机,终于,赢)
 425:01 - 427:02	加纳[亲亲][亲亲][亲亲]	(亲亲,],[)

