全场最高能：201:51	只有主播能走马灯

其他高能：
 3:12 - 3:26	好早	(开播,孙怎早,啦)
 291:07 - 292:42	这谁播的过你啊	(哈哈哈,哈哈哈哈,大笑)
 292:56 - 293:09	赢两次[花]	(两次,花,赢)




 293:46 - 298:04	maimai让主播戾气都变轻了，以前不是多人图直接差评，是多人概率差评的	(，,等,了)
 298:55 - 299:37	小蓝这就是死士	(可惜,出来,白白胖胖)
 302:32 - 305:51	妙不可言之后就是快乐的女粉对对碰时期[dog]	(妙不可言,吗,沾)
 307:36 - 308:03	爱牛啥梗啊	(哈哈哈,差点,嘴里)
 311:35 - 312:56	怪没人没纪晓岚	(哈哈哈,抄,了)
 313:03 - 313:17	好家伙 这个直播间的弹幕仿佛回到了海鲜	(早点,海鲜,回到)
 320:03 - 320:33	孙不如	(不如,不过,打)
 325:26 - 325:32	麦麦都留汤 主播你为什么不留汤	(汤,改叫,爹)
 327:15 - 328:01	我是卖手柄也做这样的图，一人做四人玩坏手柄	(？,手柄,做)
 334:32 - 334:42		()
 337:28 - 340:26	知道怎么死的了	(马里奥,坏,了)
 347:57 - 349:44	有没有可能是把我切割了[哇]	(把,他,骂)
 350:00 - 350:25	听到没主播喜欢三年前的你	(三年,没主播,听到)
 352:05 - 352:30	感化了	(感化,这小蓝,嘲讽)
 352:38 - 353:20	大聪明被主播的惊天一举打退役了	(卡桑,他,退役)
 353:28 - 353:32	啥都不需要	(没骗,需要,希望)
 353:51 - 353:53		()
 357:39 - 358:23	imai来了	(imai,？,喷)
 358:37 - 358:39		()
 358:55 - 359:49	没牛车了，主播要办签证去找omaimai	(变,了,牛车)
 361:08 - 361:21	爱麦大失败[dog]	(阿夸,爱麦,没开)
 361:30 - 361:59	那要是看到不男不女的呢	(娃娃,呢,看到)
 363:23 - 363:36	在名片里指手画脚交流的呢	(交流,指手画脚,名片)




 364:49 - 365:00	收藏了	(有无,收藏,通道)
 368:40 - 369:25	技不如人[dog]	(走马灯,牛,严谨)
 371:52 - 372:30	你挂树上忘了吗	(走马灯,马灯,了)
 373:26 - 375:14	DDJ DDJ	(ddj,灵堂,甜心)
 375:42 - 376:05	主播太羞涩了我希望你能主动	(羞涩,主动,你)
 381:46 - 382:09	加跑一圈	(？,本来,赢)
 388:03 - 388:16		()
 394:27 - 395:33	不是在你家洗吗	(陕西,洗,吗)
 397:54 - 398:25	把自己当人物了	(人物,当,下雨)
 398:34 - 399:10	不知道 可以叫孙老师[吃瓜]	(比心,],[)
 399:16 - 399:34	主播才是大聪明	(哈哈哈,songbing,dear)
 407:15 - 408:20	管道里空中的金币是不是没吃完	(是不是,？,了)
 409:05 - 409:43	怎么变舰长了	(舰长,漏,变)
 409:52 - 410:04	拍肚皮	(缺易,三,⚡)
 410:08 - 410:31	麦麦好惨	(吸大分,好惨,麦麦)
 410:56 - 412:43	红名开会，主播终于能吃到分了	(了,第一,1)
 413:41 - 415:01	这有啥的，去年广东连着下了三四个月的雨	(了,着,的)
 415:24 - 417:05	胖哥来杀你了	(胖哥,你,了)
 418:15 - 419:26	你不管另外两个队友了吗	(呢,哈哈哈,牛车)
 419:31 - 420:05	车队还在	(🐶,体育老师,车队)

