全场最高能：62:14	就是你跳起来的时候高了一点提前转到上一层

其他高能：
 5:59 - 6:06	你也躺床上让他给你讲故事，不然你就叫	(你,床上,躺)
 309:30 - 309:40	都不如白白的胖胖呀	(胖胖,白白的,呀)
 311:11 - 312:17	因为已经有了一个通解	(办法,大家,问题)
 313:49 - 313:53		()
 315:56 - 316:38	到时候主播马车联网对战23个人用牛牛来排	(马车,排,牛来)
 317:33 - 318:23	我ns2快到了，到时候我装牛去搞胖	(3,唉呀,内讧)
 320:16 - 320:19		()
 320:52 - 320:59	太暴力主播屁股受不了	(受不了,暴力,太)




 324:17 - 324:20		()
 324:30 - 324:38	主播，请问你的落地判定还在使用吗	(使用,在,还)
 325:12 - 327:04	技术盲区，多去和世界第一马里奥请教下吧	(猫,盲区,])
 333:19 - 333:40	问一下，转金币过了么	(问,么,转)
 334:11 - 334:37		()
 334:49 - 335:04	孙体健康再见	(再见,健康,孙体)
 335:19 - 335:54	孙子这年纪，困是正常的	(失败,双龟,困是)
 338:30 - 339:32	主播还亲口说不可能来找我[傲娇]	(嘬,才,造谣)
 341:01 - 344:37	你是嘴和心都被扎了	(扎,屁股,了)
 344:46 - 346:07	我只知道主播承认自己造谣了[花]	(自己,造谣,了)
 347:02 - 347:28	待会就把自己砸死	(砸死,待会,自己)
 347:40 - 351:26	明天直播能不能鱼	(你,哈哈哈,擦边)
 351:47 - 351:48		()
 352:08 - 352:14		()
 354:09 - 354:19	今天有故事会吗	(蜂巢,补,昨晚)
 360:12 - 361:45	听完主播的故事会，我算知道ddj怎么塌那么快了，主机区的实力	(ddj,一件,主机)

