全场最高能：77:29	妙不可言了

其他高能：
 4:41 - 6:12	大家早[比心][比心][比心]我今天没时间挨个早了	(啊啊啊,比心,])
 184:33 - 184:42	主播二选一，看完视频还是放出动画	(视频,很妙,放出)
 185:13 - 185:46	主播把松饼做的动画独享了	(独享,仁义,汤)
 189:34 - 190:35	反墙啊 看剪头	(反墙,吧,新)
 195:18 - 195:25		(。,哈哈哈哈)
 195:47 - 197:42	我去西天请如来佛胖来了 孙孙好好学好好看	(蒙,的,了)
 198:23 - 199:44	他不能接受偷了的自己	(?,重开,准备)
 201:51 - 202:10	好图	(好图)
 202:16 - 202:25		()
 206:46 - 206:53	技术不够，偷鸡来凑	(凑,偷鸡来,不够)
 207:00 - 207:42	好饼饼👼坏饼饼😈好饼饼👼坏饼饼😈好饼饼👼坏饼饼😈好饼饼👼坏饼饼😈	(饼,😈,坏饼)
 212:50 - 214:15	偷了	(偷,偷鸡,？)
 214:52 - 214:57	你急什么	(急,什么,你)
 216:11 - 217:31	别反墙，用第三次飞吃，这作者不用出管子反墙的技巧	(的,，,这)
 218:02 - 218:08		()
 218:10 - 219:11	听说一命过	(2,过,1)
 219:35 - 221:12	6我才发现奶油松饼是转弹幕的，我说怎么发消息这么快	(？,竞速,吃一堑)




 227:26 - 228:45	看见我胖哥就走不动道	(热熔胶,底下,胖哥)
 230:57 - 235:57	热熔胶了	(了,道歉,热熔胶)
 236:01 - 236:27	《这肯定有诈》	(肯定,道歉,《)
 237:46 - 238:22	顶开关路就变了吧	(跑,开关,顶)
 250:12 - 252:00	狗熊行为	(藏,B,喜欢)
 255:35 - 259:15	打工bot能说是你同事吗[花]	(bot,],[)
 259:17 - 261:34	大家好，诚邀大家参加12月4日21点30分的kazelink十周年未成年退款会喵	(￴,的,@)
 264:20 - 264:38	直接在问号上面冲过去	(冲过去,11,问号)
 269:31 - 270:34	主播主播，我想问下马2现在一共有多少个图啊，有没有哪一天全玩完了	(主播,，,和)
 278:51 - 280:39	礼貌借楼，求求哪位孙子可以借我80块买果盘，在卓拉ktv被寻了，公主出来后还上	(，,借,后)
 281:41 - 283:47	这个就靠带pow三段都足够劝退很多人了	(的,是,了)
 283:56 - 283:58	不过显然主播不在通关的人里面	(显然,通关,不过)
 284:12 - 285:34	礼貌借楼，求求哪位孙子可以借我200w买莆田鞋，在本地被金河田寻了，下辈子还上	(吧,盲区,问问)
 288:31 - 288:39		(一包,很大,看着)
 289:16 - 289:29	胖哥来庆祝了吗	(多好,删除,功能)
 293:21 - 296:19	要不做一个试一下吧，这确定是这么过的吗	(的,],[)
 297:19 - 297:58	没消失只是没读过来[看]	(捂脸,],[)
 302:33 - 302:36	挺好的，双倍快乐	(双倍,快乐,挺)
 306:02 - 306:52	哦，在上面	(过,是,我)
 314:20 - 316:10	蒙的	(],[,老板)
 317:59 - 319:27	主要问的兄弟真是海南人[看]	(海南,人,])




 319:38 - 319:50	喜欢吃	(喜欢,吃,雅阁)
 320:13 - 321:16	那咋了	(咋,那,？)
 330:58 - 331:28	孙队好	(孙队,入队,ts)
 331:37 - 331:43		()
 337:55 - 338:29	练习时长不足两年半	(雅阁,早进,库里)
 343:30 - 343:34	5 秒就过了，不对劲	(不对劲,5,秒)
 345:55 - 347:31	谁说是成语了	(了,虾仁,成语)
 347:39 - 351:20	@クリーム松饼 暴露年龄了[看]	(饼,看,，)
 351:52 - 355:56	主播，每次一进来就看到你在打游戏，什么时候看会书啊	(灯冷灯,冷,，)
 357:34 - 359:41	《刷了》	(刷,了,技不如人)
 364:20 - 365:46	哦~带芯片的，超能陆战队里的白胖吗	(啊啊啊,白胖,？)
 367:14 - 368:50	你找杰哥帮你优化一下就能边开灯边带芯片了	(芯片,你,的)
 370:17 - 371:07	昨晚小区会车，对面车里一女的冲到我车前，委屈地说:你一个大男人不动让我动	(！,，,比心)
 379:27 - 381:24	50包邮卖我，我帮主播卡住分最高的对手	(没,卖出去,50)
 383:54 - 385:57	KFC都50，给你51卖我NS不能再多了	(卖,了,价格)
 387:03 - 387:22	落一点再跳不行吗	(落,吗,一点)
 387:39 - 388:41	这二段跳从中间的花蹭封也太夸张了	(中间,钻洞,二段跳)
 391:27 - 391:44	这么重要的日子胖哥竟然没来	(重要,日子,卖鞋)
 394:10 - 394:44	加纳吗	(么,咯,加纳)

