全场最高能：15:33	主播这走马灯的手柄对角线是多长

其他高能：
 8:35 - 11:03	主播终于播打鼓了	(来,了,主播)
 313:04 - 314:47	松饼永封[傲娇]	(松饼,智者,了)
 321:05 - 323:44	为了绿爹再走两波DLC	(表情,其他,哔哩)
 329:07 - 332:56	刚才是蒙的	(蒙,的,打次)
 336:24 - 338:49	要不做个图吧 连登8层 每层摆个金币图案 1000 2000	(。,不,了)
 340:17 - 340:22	不爱财	(爱财,不)
 341:14 - 341:23		()
 343:51 - 344:30	连登8层我给你送个灯[dog]	(送个,取关,神秘)
 344:58 - 345:10		()
 346:51 - 347:43	就凭孙子这波五连，我那图做的就值了[滑稽][滑稽]	(技术,的,滑稽)
 348:26 - 348:51	现在可以喊登[dog]	(登,喊,💡)
 350:12 - 350:15	哈哈哈哈哈手柄坏了	(跑马灯,哈哈,坏)




 354:35 - 355:26	主播节奏感不行，多打maimai练练吧	(蒙,好久不见,不算)
 355:35 - 356:31	没事 我小人物，不发言的	(ID,的,你)
 357:33 - 358:59	主播过了以后收到根辣条才会破防	(破防,赌,滑稽)
 361:11 - 361:19	哇	(！,哇,牛牛)
 361:36 - 361:43	[滑稽]	(滑稽,],[)
 375:09 - 375:17		()
 375:22 - 375:33	好图	(说,腰,好图)
 377:12 - 377:42	试图拖死大脸[dog]	(试图,拖死,大脸)
 391:29 - 393:22	哇 登顶	(！,登顶,哇)
 395:21 - 397:00	卖电脑肯定比你大学同学赚的多	(电脑,卖,爱)
 397:25 - 398:28	我觉得主播卖电脑肯定能大赚特赚	(赚,电脑,是)
 399:24 - 399:38		()
 401:04 - 402:59	哇，登顶	(！,登顶,是)
 407:04 - 407:11		()
 416:26 - 417:07		()
 417:46 - 420:07	技不如人了	(了,你,技不如人)
 423:02 - 423:45	不好意思打开游戏当aisun，太菜（	(太菜,aisun,不好意思)
 428:11 - 430:41	再来一局我的拼好饭也到位了[dog]	(拼好,饭,])
 431:57 - 432:50	主播要5分钟打把了吗	(了,先点,真白)
 440:20 - 440:50	哇灯顶	(哇灯,顶)
 442:28 - 443:55	主播主播你也登顶了嘛隔着挂这么长时间	(加纳,身体健康,猪脚)

