全场最高能：193:10	主播那你就中马灯的计了 这都是马灯的水军

其他高能：
 3:36 - 5:59	第一局就蜂窝煤	(孙怎早,早,这么)
 384:42 - 386:05	完了，主播亲自带头搞黄直播间了[滑稽]	(黄,搞,了)
 389:44 - 392:10	主播众筹可以打多人吗	(打,打多人,你)
 392:18 - 392:20		(导致,热度,太重)
 395:39 - 396:06	幽灵白白胖胖的，给主播魅惑了	(幽灵,主播,备注)
 400:10 - 403:38	那咋了	(了,，,你)
 406:30 - 406:39	主播没有摔过自己的手柄吗	(-,牛柳,摔过)
 406:58 - 407:04		()
 410:59 - 413:36	你说鲁迅不就可以了	(了,鲁迅,没)
 414:29 - 414:46	鲁迅算是那个时期最不敏感的之一了	(鲁迅,之一,时期)
 415:20 - 416:11	很多书现在看来都是禁书	(书,鲁迅,现在)
 419:39 - 420:00	今天没图吗	(无奈,出版社,阴比)
 421:14 - 422:00	银魂粉丝还说银桑，养神乐是为了大了操他	(这样,说,停不看)
 422:49 - 423:51	林克在北京抱着马灯的头，身子放陕西雅阁	(啾,的,头)
 425:06 - 425:19	UP主回头觉得很赞	(白胖,仙术,算飙)
 425:25 - 425:41	佐助	(佐助,怎么办,到)
 428:44 - 428:59	温水煮青蛙	(哈哈哈哈,哈哈哈,王国)
 431:25 - 431:49	话说他到底能不能用脚丫子过这种图	(哈哈哈哈,他,化)
 445:45 - 448:30	[吃瓜]所以他是怎么成为灯哥粉的	(？,甜心,两把)

