全场最高能：98:54	你就是技不如人

其他高能：
 5:53 - 6:29	早上好[花]	(],[,比心)
 174:23 - 176:26	确实和你没关系，都是KazeLink给你的流量	(你,主播,为什么)
 178:05 - 179:21	主播还得管直播间粉丝的生活吗	(众人,的,])
 181:09 - 183:20	什么是扔头	(头,扔,么)
 183:30 - 183:50	你开个什么不就知道了[花]	(士,大戾,自重)
 184:15 - 186:58	落后好啊	(加油,吧,吗)
 188:40 - 189:46	主播ztmex会被识别吗	(加油,吧,请)
 191:13 - 192:01	胖哥來就能把日本人打退了	(冲刺,能,识别)
 193:19 - 194:21	全面技不如人	(加油,吧,了)




 205:28 - 208:48	終究還是技不如人	(了,主播,胖哥)
 217:34 - 217:57	是中国人吗	(比心,灯顶,])
 220:39 - 222:26	主播什么时候能赢一局公平图啊	(自重,主播,，)
 222:44 - 226:55	你别似在我手机里了	(了,哈哈哈,士)
 230:31 - 230:41	你有❗取消证吗就想要没❗	(❗,取消,证)
 232:49 - 233:01		()
 235:40 - 237:00	你自己吃了5个大金币	(50,有,了)
 239:00 - 239:05	补水套被胖哥观众嘲笑了	(麻烦,嘲笑,女人)
 240:49 - 242:03	isun发力了	(了,，,嘴里)
 244:56 - 245:35	主播的bili还在使用吗	(大哭,],[)
 248:24 - 248:45	马里奥拒绝喝汤	(马里奥,喝汤,么)
 249:58 - 250:17	qq不是还有个厕所群吗[花]	(厕所,群,严父)
 250:29 - 251:00	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(同意,进群,])
 268:17 - 268:27	全是遐思	(早死,遐思,直觉)
 268:37 - 269:26	等下把自己玩死了	(卡,他,玩死)
 270:46 - 271:11	他妈是教父吗	(货,教父,他妈)
 271:39 - 273:25	你后天飞个无人机不就实况直播了	(],[,妙)
 274:24 - 275:01	i孙	(汤达人,走马灯,果实)
 276:01 - 277:40	主播要养爱牛了吗	(吗,你,主播)
 277:46 - 279:28	都送汤了那还说啥，肉给你了	(，,了,走马灯)
 284:28 - 289:06	倒闭了	(了,大学生,牛车)
 289:31 - 291:22	因为其实杰哥帮华为做手机芯片被美国发现，派出小孩把他存档捣毁了	(热熔胶,杰哥,了)
 302:54 - 304:34	雅阁了	(雅阁,了,？)
 308:42 - 311:21	倒闭了	(了,，,牛车)




 313:51 - 313:54		()
 316:26 - 321:09	imai tv	(。,？,了)
 325:03 - 325:52	byd家乡话没绷住	(臭水沟,,,家乡话)
 330:35 - 331:45	瞄了	(哈哈哈,了,瞄)
 340:58 - 342:03	全tm完了	(？,哈哈哈,金)
 349:17 - 350:45	喜欢抽自己	(抽,樱,羽毛)
 351:37 - 354:08	但后面的栏杆和终点前也失误了[花]	(抽,肚皮,])
 363:00 - 365:30	你那个无敌星开的太浪费了，不然稳进的	(？,了,小粉)
 366:52 - 367:07	痘印那边怎么这么坏	(盗播,说胡话,印)
 372:01 - 373:02	他一走了这把肯定第一了	(字,第一个,士)
 377:29 - 378:15	怎么变成爱牛了	(么,走马灯,快偷)
 382:13 - 384:10	最有含金量的登顶	(666,比心,])
 393:18 - 395:17	老板大气[比心][比心][比心]	(666,比心,])
 405:12 - 408:08	晚安全责啊，到底谁说了晚安的	(领先,遥遥领先,9000)
 413:14 - 413:40	这么狠	(可怕,狠,很)
 415:52 - 417:16	我就想刷闪电 那咋了	(刷,好,我)
 424:18 - 424:41	不给你你要 给你了你又不高兴	(你,给,不)
 425:01 - 425:06		()
 425:14 - 426:47	能，放屁股后面能挡一次龟壳 跟其他的一样	(屁股,能,挡)
 431:56 - 432:55	这边也卖	(狗运,这边,卖)
 434:33 - 435:04	还可以，第二	(第二,第一类,孙老三)
 435:33 - 437:30	就七个活人，全是8k多的	(垃圾,游戏,能)
 439:57 - 440:59	你玩这游戏不是为了吃金币吗	(这,快来,假装)
 443:01 - 443:38	一个胖子 一晚上	(追不上,胖子,说不定)




 444:49 - 446:40	第四－6 好起来了	(6,-,好)
 454:58 - 455:53	牛不是自己人，砸他	(好电,祝你们,有爱牛)
 456:10 - 458:21	无敌星都这会给你了	(你,都,加纳)
 462:16 - 463:14	刚刚那个白白胖胖，这个白白瘦瘦	(刚刚,那个,走马灯)
 463:29 - 464:29	主播主业是什么，卖钩子吗	(主业,什么,吗)
 467:25 - 470:30	闪电加金蘑菇，太肮脏了	(蘑菇,肮脏,4)
 473:49 - 474:46	天气预报要下岗了	(了,闪电,好)
 477:55 - 479:35	打得好有惩罚，打的菜也没有奖励	(⚡,嗨,也)
 479:52 - 480:53	急眼了还	(急眼,华莱士,了)
 483:21 - 483:32	会掉下来证明是狗运上的9000	(运上,证明,掉下来)
 487:45 - 488:34	你要的闪电来了，怎么不高兴啊	(⚡,闪电,咋)
 489:13 - 489:49	9400分高手	(9900,9400,有个)
 495:10 - 495:12		()
 497:16 - 497:32		()
 497:37 - 500:30	开啊	(开,了,啊)
 502:02 - 502:55	你连版本都跟不上	(版本,跟不上,卖)
 503:04 - 506:50	主播主播，前几天我劝阻了有人在小杰切片里卖电脑把你带上，我做的对吗	(电脑,卖,主播)
 508:32 - 510:58	好消息是，你加的分比他多	(9000,的,鱿)
 511:54 - 512:04	电影明星适合领跑	(领跑,适合,中庸)
 513:04 - 514:28	主播是非常喜欢这只奶牛吗	(库巴,要么,不用)
 515:04 - 515:26	世界上有8吨重的牛吗	(吨重,世界,8)
 515:30 - 515:44		()
 516:27 - 516:53	没事啊我现在拿闪电可以劈你们	(没事,劈,你们)
 517:58 - 519:49	爱牛tv	(换个,爱牛,技不如人)




 520:02 - 520:28	主播离不开白胖的牛牛	(牛,离不开,迷情)
 523:08 - 523:37	又是你胖哥赢	(输赢,打压,一样)

