全场最高能：49:03	讀大局力真的不行 剛剛都看小藍死了還敢走開關

其他高能：
 0:56 - 1:27	孙怎早	(走马灯,么,还)
 325:48 - 327:59	十周年主播随机挑选一个舰长帮他还双十一的花呗	(],[,士)
 328:07 - 328:43	也就赢赢公平图了	(赢,沒牛車,應該)
 328:53 - 328:57		()
 329:07 - 329:18	今天主播戾人化开了	(磕,人化开,不让)




 329:45 - 330:43	也就赢赢公平图了，你玩一个选路图试试呢	(图,公平,气)
 331:39 - 332:01	没打工	(蒙,险胜,🏻)
 332:22 - 334:21	宝宝要蒙上6800了，好厉害[哇]	(],[,了)
 334:36 - 334:43		()
 338:38 - 338:47	十周年企划过了可以未成年退款吗[哇]	(留卡,查查,哇)
 338:52 - 340:05	倒闭了	(哇,],[)
 342:37 - 342:40		()
 342:57 - 343:17	宝宝居然吃宝可梦[大哭]	(跳,树根,虚拟)
 343:24 - 343:28	技术主播进错模式了	(播进,错模式,主)
 344:06 - 344:52	登顶率90吗[哇]	(也,加速度,即)
 348:22 - 348:41	你刚才也这样踩的别人啊	(刚才,打压,踩)
 352:15 - 354:39	操作流口水	(好,流口水,55555)
 365:17 - 366:21	流鼻涕的赢了[哇]	(？,！,666)
 366:35 - 366:59	捡一猛漏，这都没护菊	(没护菊,一猛,捡)
 368:04 - 368:42	就你蓄力跳跳不上去，然后羽毛要尽量晚点放[花]	(80,晚点,尽量)
 368:55 - 369:55	臭水沟已经操作变形好几局了	(臭水沟,],[)
 374:19 - 374:50	喜欢主播可以走马灯卖电脑未成年退款支持主播哦[哇]直播间搞黄可以进胖哥群[比心]	(LOSE,好,可以)
 381:34 - 381:54	变形加障碍	(清除,召唤,障碍)
 383:49 - 385:01	前面加速版用几个蓄力加速就有机会了[花]	(LOSE,乌龟,加速)
 388:26 - 389:01	主播在于还花呗	(还花,在于,gg)
 391:47 - 393:02	好好好	(自重,时候,雅阁)
 394:00 - 397:15	555捏着蓝龟还是吃蓝龟了	(蓝龟,了,555)




 397:49 - 399:06	来都来了，为啥不把热熔胶和妙子一并讲了[爱]	(火箭,讲,了)
 399:12 - 399:15		()
 400:52 - 401:14	没排到吗[花]	(没排,到,花)
 401:20 - 402:22	555加油呀，拿个第一我们好发技不如人	(在,妙,，)
 404:22 - 405:50	可惜了	(！,666,可惜)
 407:12 - 407:26	ZA里的宝可梦：没人追着打的感觉真好	(没人,雇人,追)
 407:55 - 409:34	一看就是在海南上的椰子树下被台风吹掉的椰子砸过	(，,的,海南)
 412:13 - 413:12	没了吧	([,了,菜)
 422:50 - 423:32	最有含金量的一集	(！,666,实至名归)
 431:03 - 433:39	哇灯顶	(],[,哇)
 433:57 - 435:19	越卡越公平	(谦虚,前几次,闪现)
 435:34 - 435:59	不是更爱金河田吗	(金妙子,吗,更爱)
 440:48 - 443:02	这雷劈早了啊，还有道具点	(道具,劈,偷笑)
 445:42 - 446:24	不过分	(牛马,打击,行渐)
 447:04 - 447:13		()
 448:30 - 449:04	AAA蘑菇批发🍄贾总	(味道,贾总,🍄)
 449:51 - 450:06		()
 455:00 - 460:51	主播真是死了都要i啊[哇]	(了,],[)
 462:09 - 462:45	宝宝你的头发怎么尖尖的	(的,尖尖,头发)
 464:53 - 467:33	你说这是盯着劈的我信了[花]	(牛,你,少女)
 468:01 - 468:20	乐	(大笑,乐,])
 468:55 - 469:19		()
 471:25 - 471:34	原来是#疯四是非日了[哇]	(是非,疯四,日)
 472:01 - 472:32	盆满钵满箱	(金,！,盆满)
 474:54 - 474:59	奶奶道具	(奶奶,道具,？)
 475:02 - 475:06		(聚,一块,所有人)




 482:23 - 482:51	love牛这么厉害的	(大哭,love,爱孙)
 484:39 - 484:47		()
 485:47 - 486:03	那咋了	(咋,那,了)
 490:08 - 491:03	55555赢了吗[哇]	(],[,哦)
 498:11 - 498:22	蘑菇大王[傲娇]	(傲娇,大王,蘑菇)
 498:35 - 498:45	我去	(聪明,真是,真)
 500:33 - 501:31	居然用了无敌时间躲闪电	(？,电,躲闪)
 502:12 - 502:23	孙还在	(孙,在,还)
 502:30 - 503:48	主播你要是觉得被针对了可以拉黑，要我教你怎么用黑名单吗	(了,黑爱牛,牛来)
 504:10 - 504:47	bot局[哇]	(延迟,bot,开)
 508:28 - 508:38		()
 509:26 - 509:32		()
 510:05 - 512:58	能被电线拦一下吗	(吗,电线,落后)
 529:26 - 534:03	这loveniu是鲁迅吗	(走马灯,鲁迅,？)
 537:08 - 538:05	一顿后空翻	(嘘,],[)
 547:00 - 549:37	加纳[哇]	(不好,！,士)
 550:36 - 552:08	因为卡洛斯地区有精灵球工厂[dog]	(咋,dog,那)
 553:55 - 554:11		()
 554:17 - 554:43	想要孙孙自用宝可梦	(自用,孙孙,85)
 557:43 - 558:24	又开始来这公园了[花]	(开始,遛弯儿,公园)
 560:21 - 561:22	ok醒了	(清醒,瞬间,woc)
 564:26 - 567:39	又要播这破b游戏播到下午吗	(搜,的,走马灯)
 568:03 - 569:07	还行 才9个小时	(他,一串,只是)
 569:15 - 571:36	[耶][爱][耶]	(],[,耶)
 582:18 - 583:15	孙老师，ZA的女装店铺商品全扫完了吗	(，,遛弯,大爷)




 585:32 - 586:32	孙孙，技能后面的C+是什么意思	(有,的,C)
 588:43 - 588:53		()
 592:22 - 595:12	倒数都能加分[doge2]	(一,倒数,倒)
 596:25 - 597:12	瞄歪了好像	(歪,瞄,好像)
 597:39 - 597:45		()
 598:01 - 598:33	又还在	(在,战里,巅峰)
 598:48 - 599:39	被秒了...	(被,偷烂,屁股)
 600:58 - 606:57	宝宝0分也最厉害了[比心]	(比心,],[)
 610:16 - 610:25		()
 611:07 - 612:28	gts的音乐重新运用到这了吗	(你,这,啊)
 612:55 - 612:57		()
 618:36 - 618:56		()
 619:35 - 623:29	大菊花被你一直虐待蹂躏到现在，你要切割了吗	(吗,你,？)
 624:25 - 625:28	应该有的	(11,有,对比)
 626:07 - 627:38	噗滋	(那,刷,咋)
 628:15 - 628:56	你不停传送应该就好了	(传送,不停,应该)
 633:27 - 633:49	你不是讲了故事吗	(你,做到,讲)
 640:04 - 640:35	孙体健康	(美夢,祝,健康)
 641:23 - 642:51	孙孙刷闪光为什么不用宏	(比心,为什么,])
 643:42 - 643:50		()
 644:04 - 645:48	又不是现在去，我也熬穿了的	(了,哪里,找)
 648:41 - 650:26	孙八嘎现在是一次播24小时然后休息一天吗	(直播,播,吗)
 652:03 - 652:47	这游戏里最大的宠物有多大	(多,大,有)

