全场最高能：58:30	好图

其他高能：
 1:41 - 2:23	孙怎早	(一天,比心,])
 154:13 - 155:25	大局观发力了	(！,大局观,])
 159:20 - 159:25		()




 160:24 - 160:28	又pua小鱿鱿	(鱿,pua,小)
 166:03 - 166:16	该，喜欢往后扔	(哇,],[)
 166:30 - 166:36	人不行别怪路不平，后面忘了	(不平,别怪,路)
 169:49 - 170:58	主播拉黑555了吗	(该,555,了)
 171:20 - 171:24		()
 171:33 - 171:57	都看到红龟了你还抄近路	(抄近路,箱,红龟)
 172:41 - 173:00	666	(666)
 175:48 - 176:00	龟来	(开望,前方,雷来)
 176:34 - 178:52	你干嘛呢，你明明可以用马车的8000分去马造2登顶	(！,主播,了)
 182:10 - 183:28	你直播有延迟，爱孙听见晚了	(打雷,延迟,了)
 185:12 - 185:22	舒服了	(好,哈哈哈哈,爆料)
 187:33 - 189:18	胖哥只能保你到第二，因为胖哥自己得第一	(自己,胖哥,的)
 205:55 - 208:09	可惜了	(可惜,蓝龟,])
 210:30 - 212:28	那安定医院不得堵的跟孙子一样	(！,医院,安定)
 215:20 - 216:54	六体问题有解，俩都淘汰了就行	(],[,两个)
 220:06 - 222:59	因为你在这带节奏，为什么	(因为,这,连麦)
 225:32 - 225:42		()
 226:11 - 226:19	没事，这也是大局观[哇]	(没事,大局观,LOSE)
 226:30 - 227:41	主播不喜欢问号箱子的话早就拉黑了[哇]	(删,问号,箱子)
 235:09 - 236:43	蒙的	(666,的,蒙)
 236:44 - 237:11	蒙的	(黑暗,分高,UU)
 245:04 - 247:50	笑死我了	(蕉,香蕉,热熔)
 248:00 - 248:03		()
 248:37 - 248:40		()
 250:42 - 251:15	因为不是帧同步游戏	(该,数值,同步)




 253:37 - 254:55	吃美了	(小连招,丝滑,第一)
 256:28 - 259:27	你这是不是技不如人	(],[,好)
 260:01 - 260:31	主播不是可以买特供版玩	(主播,读懂,小日子)
 261:32 - 263:54	腾讯自己都要做掌机了[dog]还管你任天堂的[dog]	(腾讯,你,kaizo)
 264:48 - 265:00	走马灯	(走马灯)
 268:24 - 269:21	遥遥领先灯顶	(噔,666,灯顶)
 270:41 - 271:44	现在我搜好像都是3300左右，感觉比首发还贵啊	(有,搜,现在)
 275:40 - 277:18	还是当等等党吧，现在这个尝鲜版ns2掌机模式续航太批爆了	(，,模式,现在)
 285:38 - 285:58	回旋镖寻你来了	(镖,回旋,寻)
 286:07 - 286:14	好	(好,LOSE)
 287:28 - 287:45	有理想风范	(风范,理想,有)
 296:37 - 298:16	灯顶[花]	(666,的,了)
 300:09 - 300:20	50说是	(50,说,是)
 304:18 - 304:36		()
 305:16 - 305:55		()
 307:50 - 309:41	天不生孙子，日墙界万古如长夜	(LOSE,哐,比心)
 316:24 - 322:00	我是不是雅阁了，怎么看弹幕只有自己的	(？,666,越)
 324:53 - 325:53	我一般压抑的时候打（）	(被害,妄想症,士)
 328:59 - 329:00		()
 329:17 - 331:53	胖哥：结束了	(了,结束,胖哥)
 332:16 - 332:25		()
 333:16 - 334:15	我在dy上刚花了三毛，一键三连呢	(三连,一键,三毛)
 334:35 - 334:40	为啥三思	(三思,为啥)
 336:55 - 339:17	国外锐减也比国内给我开的高多了	(也,多,是)
 340:46 - 342:34	我都不知道哪来的联系方式[花]	(我,都,饼)




 342:40 - 343:24	我多想姓史密斯啊	(我,占,嘴脸)
 343:38 - 345:23	我初中被班主任搞了没上成高中上的职高[花]	(了,],[)
 347:26 - 350:00	还真是[花]如果考上东工大我真就去做游戏了	(游戏,做,了)
 352:23 - 354:13	赢了	(赢,差一点,了)
 354:16 - 355:58	游戏现在更像艺术，考验的不再是怎么做而是做什么了	(艺术,像,，)
 356:48 - 358:57	我其实是设计专业的，平面设计，不过艺术史上了好久	(了,的,，)
 359:05 - 361:36	然后他一听到我声音开始事情就不对了[花]	(他,我,猩猩)
 361:59 - 362:15	你还是老师	(合计,一万多,东西)
 362:25 - 362:35	深夜八卦直播间	(八卦,深夜,直播间)
 363:34 - 363:59	开着车带我去北京知名景点逛了逛	(逛,加分,远远)
 364:01 - 364:21	前面的都比你分高不是没有原因的	(四哥,原因,分高)
 364:30 - 365:19	哦原来还是法拉利的故事	(说,他,花)
 365:26 - 366:29	那就是他带我去他们公司楼下的停车场停车说午睡一下	(。,又,?)
 366:47 - 366:55	朋友问我黄色法拉利里面长啥样	(我,第一次,诡异)
 367:06 - 367:09		()
 371:00 - 371:07		(损失,实质性,事件)
 374:54 - 375:10	打压	(打压,看看)
 386:15 - 387:45	山中无老猩猩 孙子称大王	(！,救,一下)

