全场最高能：69:06	讨厌主播的可以走马灯和找同事搞黄一下哦，舰长可以进粉丝群体验马造灯友会喵[比心]

其他高能：
 3:07 - 4:15	什么狗运	(啊啊啊,的,蒙)
 71:35 - 72:42	讨厌主播的可以走马灯和找同事搞黄一下哦，舰长可以进粉丝群体验马造灯友会喵[比心]	(主播,阴兵,梦醒)
 73:14 - 73:34	该[哇]	(加油,吧,人家)
 75:16 - 76:23	讨厌主播的可以走马灯和找同事搞黄一下哦，舰长可以进粉丝群体验马造灯友会喵[比心]	(？,哈哈哈,HOW)
 76:50 - 77:41	该马车了	(大笑,],[)
 77:54 - 78:02	这就是【俄罗斯方块】啊，了解了	(啊,舰长,了解)
 80:47 - 81:11	哈哈哈哈哈好	(哈哈哈,哈哈,赢)
 86:22 - 87:00	选对了就不骂fayday选了	(士,大戾,的)
 90:28 - 91:09	bili的弹幕怎么给个巴掌给个甜枣，非得给主播看急眼了[傲娇]	(~,给,个)
 91:20 - 92:28	那咋了	(加油,吧,咋)
 94:48 - 95:53	这就是我的第一吗，我真的泪目了	(狗熊,，,的)
 96:28 - 96:31	要不咱们不耻上问一下白胖怎么上分吧	(不耻,咱们,上分)
 96:54 - 97:50	我胖哥8000分老有含金量了	(加油,吧,🚀)
 98:40 - 99:27	这狗熊开了吧	(狗熊,在,他)
 107:52 - 108:23	马里奥技不如人	(同事,技,技不如人)
 112:11 - 113:08	开了都打不过 真是技不如人[哇]	(狗熊,开,的)




 118:15 - 118:49	专杀第一你都说了啊	(哈哈哈,哈哈哈哈,士)
 123:15 - 124:07	又到了欺负三个白名环节	(哈哈哈,欺负,？)
 127:17 - 128:56	你认错雅阁了	(雅阁,金河田,他)
 131:54 - 132:46	恶意组排	(666,哈哈哈,老师)
 133:25 - 134:35	主播负责走马灯	(？,势力,负责)
 137:40 - 137:56	等会雅阁来上舰长了	(欣賞,下載,網盤)
 144:43 - 145:26	你也捏一个	(捏,一个,也)
 147:26 - 148:30	你开的	(？,开,你)
 148:55 - 148:59	爱孙是吧	(爱孙,纪晓岚,吧)
 149:12 - 150:13	谁叫你自己点错的	(自己,感情,znmbex)
 161:21 - 162:15	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(爱,哪个,不是)
 164:16 - 165:40	真tm吓人	(哈哈哈哈,哈哈哈,666)
 171:15 - 171:17	黑恶势力打压	(黑恶势力,打压)
 171:58 - 174:02	主播能不能别幻想了[撇嘴]破逼直播间没几个人看...	(马里奥,直播间,人)
 174:17 - 179:24	假仁假义 ×73	(哈哈哈,了,咋)
 181:47 - 184:39	主播流鼻涕了	(喜欢,哈哈哈,捂脸)
 188:15 - 188:47	换胖哥来早开天眼过了	(过,舰长,一遍)
 191:03 - 191:53	讨厌主播的话走马灯和对角线搞黄一下哦，刷火箭可以进粉丝群体验第一时间爆料喵[比心]	(主播,胖,可以)
 193:29 - 194:03	那咋了	(咋,那,了)
 194:19 - 195:23	发送那咋了和主播对角线	(了,认错,主播)
 196:55 - 198:03	是我 那咋了	(了,咋,那)
 202:19 - 202:33	啊	(蒙,的,6)




 206:14 - 206:43	因为bili要手续费，所以以后不开了[妙]	(手续费,咋,了)
 210:55 - 212:22	你认错主播了，主播辛辛苦苦播一晚上分币没赚，还被认错，多伤心啊	(，,了,])
 216:12 - 217:00	流鼻涕的赢了	(流鼻涕,赢,了)
 217:13 - 217:19	比例什么时候倒闭	(赶人,变相,操性)
 222:11 - 222:54	讨厌主播的话走马灯和对角线搞黄一下哦，刷火箭可以进粉丝群体验第一时间爆料喵[比心]	(什么,他们,走马灯)
 231:35 - 232:47	为了点什么都证明不了的分这样玩	(走马灯,为了,牛车)
 233:11 - 233:24		()
 243:00 - 243:11		()
 245:52 - 246:25	跟一帮人机斗智斗勇	(人机,跟,就)
 252:17 - 253:15	留到最后劈可以保底晋个级的了[花]	(花,晋个级,龟壳)
 262:23 - 263:37	技不如joker	(！,技不如人,LOSE)
 264:30 - 266:18	好想亲亲宝宝	(亲亲,],[)
 273:36 - 277:44	这个图主播只要到了决赛圈基本都是登顶	(666,],[)
 278:32 - 279:17	留着也是被闪电劈，不如用了[妙]	(了,留着,真言)
 283:19 - 286:09	打压[傲娇]	(蜡笔小新,_,])
 289:53 - 291:18	当然是价格发展[妙]	(价格,发展,这)
 292:44 - 292:59	孩子玩上瘾了	(上瘾,孩子,玩)
 302:16 - 302:58	这倒是提醒我了[哇]	(],[,我)
 303:32 - 307:02	这图黑哨好几次了，是孙老师主场	(了,，,的)
 309:12 - 309:16		()
 309:27 - 309:38	你占位子不搞第一，人家要搞你得让	(搞,位子,占)
 311:14 - 312:05	技不如人[哇]	(是,LOSE,技不如人)




 315:37 - 317:15	松饼和学姐四饼松鼠小布妙子都是同一个人	(松饼,学姐,四饼)
 320:08 - 320:45	来一个电救一下呀[哇]	(LOSE,哇,电救)
 325:27 - 325:56	说tm什么呢	(ぞ,う,ど)
 329:03 - 329:33	想啥呢 有就不错了[哇]	(不错,],[)
 330:01 - 331:10	少刷道具，多待第三名，你会发现第三名经常摸三蘑菇[dog]	(第三名,dog,])
 340:54 - 341:07		()
 346:16 - 346:41	这扯不扯	(扯,这扯,不)
 346:47 - 346:52		()
 347:05 - 347:06		(他,分高,你)
 347:20 - 349:36	给爱牛垫了	(鱿,牛,LOSE)
 353:09 - 355:49	送了一堆金河田	(大笑,了,])
 359:39 - 360:38	第七不能拿闪电，只有第八有	(第七,冲线,误解)
 362:34 - 363:33	是不是有蓝音黑粉群组队搞你啊	(第七,池,名)
 367:56 - 368:30	[大笑][大笑][大笑]	(大笑,],[)
 371:09 - 373:00	没了	(？,！,666)
 374:28 - 375:13	bot局	(全明星,群贤毕至,bot)
 376:49 - 379:22	那咋了[哇]	(],[,能)
 379:29 - 379:43	鱼的记忆	(前门,记忆,鱼)
 379:58 - 382:16	我一条就秒了，运气不如小鱿鱿	(鱿,小,蜇)
 382:38 - 383:01	难道说	(紧随其后,jbrr,难道说)
 384:02 - 384:41	被你无敌星寻了	(星寻,打退,对手)
 384:49 - 384:57	第二圈最后寻了个🐮	(眼看,🐮,喝水)
 394:04 - 395:20	该来致命蓝龟了	(！,LOSE,连登断)
 399:53 - 400:30	爱不释手	(爱不释手)
 401:35 - 401:56		(寂寞,宝宝,哇)




 402:01 - 402:57	真打了你又骂街	(士,大戾,打)
 403:21 - 403:31		()
 407:46 - 408:35	超級大奔奔[比心]	(奔,超級,大奔)
 412:59 - 415:17	太次太次，世界第四	(！,太次,第四)

