全场最高能：12:39	雅阁了

其他高能：
 3:27 - 5:58	主播能帮我代打吗我给你开会员	(],[,比心)
 387:39 - 388:39	maimai嘲讽你呢	(maimai,分到,敌人)
 389:01 - 389:18	楼某	(楼,某,HOW)
 395:30 - 395:35	蒙的[花]	(蒙,花,])
 396:22 - 396:52	优质垫子	(垫子,优质,666)
 397:05 - 398:34	卖电脑走马灯	(走马灯,？,哈哈哈)
 411:02 - 411:48	好图[哇]	(小栗旬,地图,好图)
 412:01 - 414:57	其实我挺佩服孙桑这体质的	(抑郁,熬夜,了)
 416:42 - 416:46		()
 420:03 - 420:49	今天肯定没有牛车了吧[花]	(原来如此,肯定,今天)
 424:08 - 424:27	我还以为要400s极限了，没想到是爱牛	(没想到,400s,是)




 424:41 - 425:26		(嘴脸,一副,你)
 426:17 - 427:21	哇这个守门哇牛啊	(走马灯,哇,！)
 431:30 - 434:27	都说是你自己号拉黑太多了	(自己,全放,怀念)
 437:13 - 437:27	马里奥来接风你的	(比拉,接风,大霉)
 437:32 - 437:43		()
 440:00 - 440:32	感觉不送就能大圆满了	(大圆满,不送,感觉)
 445:04 - 445:58	嘲讽能不能换个形象和名字	(不能,嘲讽,能)
 450:50 - 451:22	我怎么记得你也感化不少抢肉的	(不少,抢肉,感化)
 451:47 - 455:07	主播你用你自己号也是不好[dog]	(你,不好,就)
 458:32 - 459:27	大聪明喜欢运气图	(打,不先,多余)
 459:56 - 461:06	这个号你倒着来得了，藏选坑全给赞，觉得不好的全赞[花]	(全赞,藏选坑,来得)
 461:16 - 461:25	煮波是爱霉	(诱惑,美色,爱霉)
 464:56 - 468:09	这不点个不好	(小蓝,了,你)

