全场最高能：39:24	哇 灯顶

其他高能：
 1:39 - 2:58	主播最近怎么不挂马造小手柄了	(又,！,这么晚)
 89:53 - 90:42	我想看牛车还看不到[哇]	(玩,哇,吗)
 90:46 - 91:05	你za出来了不是还在玩朱紫	(买,8000,还)
 97:51 - 98:34	主播你知道ddr的paranoia经典采样是什么吗	(主播,-,什么)
 99:55 - 102:53	主播能帮我还花呗吗	(主播,我,])
 107:35 - 108:10	主播是蓝胖	(算,过,你)
 108:49 - 109:10	当然是主播了[哇]有两个小杰那么重了[哇]	(士,大戾,哇)
 109:48 - 110:07	两个忠	(忠,两个,主播)
 111:40 - 112:53	飞吧	(雅阁,捂脸,])
 119:13 - 120:49	@一位不知名的宇宙超级无敌大美女🐖 身为房管错过主播的周年，罚你去看粉忠的回放	(的,蒙,像素)
 122:14 - 125:23	明年我正式开始给主播剪视频了[看]	(的,],[)
 126:10 - 127:37	要倒着写了	(道歉,这图,])
 128:37 - 130:11	胖哥来一命就过了	(胖哥,了,过)
 132:31 - 133:04	@クリーム松饼 啥叫没送出去	(∠,啥,犟嘴)
 140:37 - 140:53	让魔法师把石头都打了	(？,都,心愿)
 149:01 - 149:38	爱牛垫一下就过了	(委屈,了,])
 150:13 - 153:18	没事你下回接个amd的我们就刷英伟达了	(yes,amd,了)
 155:09 - 156:04	蒙的	(的,蒙,没顶)
 156:47 - 156:59	不喜欢可以拉黑	(拉黑,一命,狗熊)
 172:30 - 173:25	马灯，开走	(开走,可以,！)




 178:27 - 178:46	换白胖来早过了	(胖来,换白,卡个)
 178:56 - 181:42	胖哥来一把就过了，顺便还告诉你还能再极限一点	(了,来,哞)
 182:02 - 182:27	555马上9000了 主播都不配排到了	(？,555,主播)
 190:52 - 191:23	那咋了	(该,了,咋)
 191:24 - 194:10	我熟悉的主播回来了	(士,大戾,了)
 201:21 - 203:06	为什么不会漂移他该吃	(自己,555,打)
 203:30 - 204:54	@クリーム松饼 饼宝，该点香喷喷的外卖了[看]	(],[,早)
 207:56 - 209:10	该x3	(了,第一,哈哈哈)
 209:31 - 210:30	不登顶才是常态，大家不要误会主播	(za,是,主播)
 212:29 - 213:37	喜欢留	(留,喜欢,诶)
 216:04 - 218:10	好刹车	(好,了,刹车)
 223:20 - 223:59	这个游戏花钱玩吗	(哞,游戏,要花)
 234:08 - 234:48	@懒鬼 bili提现要收6%手续费	(@,Lik242,bots)
 238:56 - 239:32	劈了啊，那咋了	(了,咋,那)
 239:35 - 241:31	既然无敌星的音乐那么像那个，主播又是老北京，不如以后就管无敌星叫“北京热”好了	(],[,555)
 249:29 - 250:59	灯顶[哇]	(！,三,666)
 251:47 - 254:28	玩个牛车，三分之一是爱孙，这就是你想上的9000吗	(是,],[)
 255:18 - 256:42	555多好啊，免费给你提供节目效果和为你无聊简单的直播增加难度，我哭死[流泪]	(是,yoshi,形象)
 259:46 - 261:50	《555是最该打的》	(鸳鸯,苦命,该)
 264:20 - 264:54	好劈	(大笑,该,哈哈哈)
 274:21 - 276:58	人家555本来都登顶了，你一个蓝龟	(555,！,了)




 284:51 - 285:55	哇 灯顶	(！,666,哇)
 286:31 - 287:06	根本排不到[大哭]	(炮是,根本,排)
 287:13 - 287:42	先劈再蓝龟的话，所以可能就要直接za了	(👋,@,高朋满座)
 293:04 - 295:26	555被劈淘汰了吧	(了,555,是)
 301:59 - 302:39	坏了	(小狗,吐舌,])
 303:13 - 307:02	坏了	(！,了,坏)
 313:17 - 313:38	就没见过用X超的	(X,过用,没见)
 322:52 - 324:01	这吊环境刚和冰龙一大堆 就得学1火系1冰的偷人头	(狗,冰,头)
 329:19 - 329:22		()
 333:27 - 334:19	被人家超梦杀完了	(超梦杀,陷阱,版本)
 338:20 - 338:25	不算的话他为什么要用“再”	(不算,”,“)
 339:09 - 339:33		()
 341:40 - 342:00	拿冠军说是	(冠军,拿,说)
 349:09 - 350:45	乐[看]	(主播,吗,新粉)
 351:17 - 352:08	这把能冠军吗	(冠军,不错,最后)
 352:19 - 353:06	怎么评价主播	(垃圾,评价,真的)
 357:18 - 358:18	太惨了[看]	(看,这宝,不忍心)
 358:29 - 358:47		(段位,最高,什么)
 361:34 - 362:49	哇哦 要登顶了	(比心,晚上,登顶)
 364:12 - 367:20	只会炸了[看]	(笑,炸,灯过)
 369:29 - 369:45	11111	(11111,？,玩过)
 370:55 - 371:35	差点第四	(五十步笑百步,力度,第四)
 374:22 - 375:09	这么慢收益不高啊	(没飞,快龙,不高)
 375:18 - 375:22		()
 375:49 - 376:09	有点想吃	(冰糖葫芦,有点,想)
 376:39 - 376:48	不过本来就是个上buff的	(buff,不过,本来)




 378:30 - 379:00	跟拍蚊子一样拍死了	(拍死,蚊子,拍)
 379:10 - 379:45	好强的超级巨金怪	(巨金怪,看看,好强)
 380:05 - 380:32	巨金和田怪	(怪,巨金,巨)
 387:12 - 393:01	哇登顶	(],[,！)
 398:24 - 398:31		()
 412:36 - 414:34	主包现在已经是金河田人柱力了	(⁄,金河田,•)
 414:50 - 414:55		()
 416:31 - 418:15	不是欺负小朋友就是欺负老头	(欺负,老头,z)
 423:59 - 424:39	那不下不就行了	(不下,就行了,那)
 425:07 - 425:19		()
 425:29 - 426:44	那我睡了[杀马特][杀马特][杀马特]加纳	(杀马特,],[)
 428:01 - 428:23		()
 432:18 - 434:02	我还是喜欢你拿着菊花被追着打的样子[看]	(拿,看,着)
 437:01 - 437:36	在另一头	(另一头,应该,不是)
 439:38 - 440:30	主播最爱玩的za[舔屏]	(屏,电梯,舔)
 442:34 - 443:08		()
 447:53 - 449:37	倒是用大地之力啊[看]	(-,。,个头)
 449:56 - 450:20	好路边	(路边,好)
 452:23 - 453:49	饼饼早上好[比心][比心]	(比心,],[)
 456:30 - 456:35		()
 457:14 - 459:49	同样的宝可梦是越大越厉害吗	(0,忍娃,突破)
 460:46 - 461:40	洗漱上班去了[捂脸]	(加油,饼,洗漱)
 461:48 - 462:26	0克	(克,0)
 468:49 - 468:59		()
 473:12 - 475:07	9成都是我的弹幕[花]	(花,早八,持久)
 477:27 - 478:44	没事你换回来就又有了[哇]	(谴之人,制裁,天)
 479:21 - 479:56		(克,0)




 481:15 - 482:53	不然耿鬼不走留在这等你打吗[看]	(],[,吗)
 488:01 - 489:40	你的宝可梦想用大爆炸吗	(难不成,用大,梦想)
 492:19 - 493:47	大地之力终于发挥作用了[看]	(发挥作用,超魔,伏特)
 494:18 - 496:11	起床了还在	(],[,还)
 499:33 - 499:38		()
 499:50 - 501:04	听到风声都跑了	(都,风声,听到)
 501:10 - 501:49	白炸	(皇上,耍,白炸)
 503:18 - 503:35		()
 503:46 - 504:42	那怪谁[看]	(大笑,],[)
 507:09 - 508:24	只能欺负欺负挂机的了	(欺负,挂机,尾巴)
 509:52 - 511:04	我都忘了不是闪的巨金兽什么颜色了[看]	(我,了,都)
 513:15 - 514:23	主包已经za的不知天地为何物了	(za,了,何物)
 521:26 - 523:10	双双把头送	(🔥,呜,斯)
 526:20 - 527:38	这是登顶了	(并列第一,终于,看看)
 529:33 - 532:55	我跟主播亲嘴儿你也看啊	(亲亲,嘬,])
 537:07 - 538:23	什么情况	(满血,努力,炸死)
 538:38 - 541:58	主播还在	(主播,…,])
 544:20 - 544:25		()
 544:41 - 549:37	然后看视频则是把后半段跳了	(，,了,生气)
 549:46 - 551:14	于是我把图要来想让主播被这图寻	(大哭,视频,被)
 551:46 - 555:09	孙体健康，加纳	(比心,],[)
 555:26 - 555:35	dlc新增雅乐bgm	(新增,dlc,雅乐)

