全场最高能：144:59	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]

其他高能：
 1:42 - 2:03	全世界都在欺负我的男孩[委屈]	(很,真的,全世界)
 257:43 - 257:57	这倒是提醒我了	(上头,平衡,提醒)
 258:04 - 258:15	555加油啊 宁可不夺冠也要把主播干下来啊	(啊,夺冠,宁可)
 262:19 - 262:29		()
 263:36 - 264:07	惠普准备好	(—,好,满足)
 268:29 - 271:16	这下-100了	(了,],[)
 273:52 - 273:57		()
 277:56 - 278:47	第二名跟你隔了6秒的距离	(举报,],[)
 279:25 - 280:30	哇，灯顶	(！,666,了)
 280:37 - 280:42	晚安了是吧	(委屈,怕,晚安)
 281:16 - 282:57	[傲娇][傲娇]那咋了 教育局都是我的人	(了,的,地图)
 287:38 - 287:48	精准躲i牛	(线,早用,精准)
 287:57 - 288:18	怪惠普	(落后,惠普,就)
 295:01 - 296:16	好好好	(周末,爱,士)




 296:36 - 296:46	有[哇]	(ztmex,咋,有)
 297:19 - 297:25		()
 298:39 - 299:11	那咋了	(卖,电脑,了)
 314:14 - 314:53	主播吃牙血馒头盆满钵满[哇]	(牙,],[)
 315:33 - 315:52	这么多蘑菇车	(雷来,车,多)
 316:09 - 316:32	来个雷然后来个龟啊	(来个,雷,啊)
 316:37 - 316:47		(啧,ex,™)
 316:53 - 316:58		(太衰,觉得,暴牙)
 317:24 - 319:15	来吧[哇]	(666,],[)
 322:19 - 322:27		()
 326:40 - 327:53	大戾士	(士,大戾,快感)
 328:34 - 328:40		()
 329:04 - 331:00	今天嘬过暴牙了	(！,],[)
 334:05 - 338:02	那是防止你戾气太重了  不然现在估计在戾气呢	(了,对,你)
 340:04 - 340:46	瞎说什么呢我不是人脉[dog]	(！,LOSE,赢麻)
 347:42 - 348:08	大家都看到了 是主播自己打的自己	(炸,自己,了)
 350:28 - 353:15	都第二了	(！,了,])

