全场最高能：117:29	这下真的悲哀了

其他高能：
 5:28 - 5:41	孙子哥哥	(妈妈,哥哥,孙子)



 183:20 - 184:32	你都等汤了就不能让他赢吗	(吧,抗日,])
 185:38 - 189:19	您今晚不准备输了是吗	(了,],[)
 191:56 - 193:00	蒙的	(！,的,卡)
 193:39 - 193:55	走马灯	(走马灯)
 194:10 - 194:35	悲哀阿	(10,-,合影)
 195:48 - 198:40	真是4000的赢了[哇]	(哈哈哈,;,])
 202:37 - 202:52		()
 207:46 - 209:21	悲哀啊	(;,把握,悲哀)
 225:07 - 228:20	为什么全是这个牛和车啊有大佬说一下吗	(牛,],[)
 235:00 - 236:38	悲哀啊松饼，差一点	(了,],[)
 236:54 - 237:18	我什么道具都没有你们全都是蘑菇[dog]	(？,全都,太惨)
 245:59 - 246:37	钻小缝	(吃,哈哈哈,不爱)
 247:55 - 248:42	编辑器王者	(第四,],[)
 255:22 - 257:29	然后有次孙子带着两个单蘑菇跑到了第一，结果同时被蓝龟壳和胖哥袭击导致用不出道具	(！,，,LOSE)
 262:22 - 262:32	边际递增的金币	(递增,边际,金币)
 266:22 - 267:42	虽然第四局没第四，但是第五局第五了，好事啊	(],[,哇)
 272:40 - 273:37	一进来就是日强，太幸运了	(！,捂脸,])
 276:12 - 276:52	不是吧盖欧卡3灯了	(3,LOSE,名落)
 277:59 - 278:48	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(比心,这,])
 282:46 - 282:51	判你赢得了	(判,赢得,你)
 286:31 - 287:42	@クリーム松饼 孙孙生病的时候你怎么不替他播两天[酷拽]你看看现在人气暴跌了	(],[,哇)
 288:00 - 288:36	哇 燈頂	(燈頂,盖,欧卡)




 296:07 - 298:10	打雷的也淘汰了，就单道具给了雷[dog]	(555,雷,])
 307:08 - 307:47	松饼bot又挂了	(落九天,疑是,挂)
 312:47 - 313:58	现在非常好，等会就大不好特不好了	(会,不好,等)
 316:04 - 318:43	昌平有没有走马灯[爱]	(走马灯,],[)
 320:06 - 320:32	是不是你把主播气到昌平的	(不换,气到,昌平)
 320:53 - 321:59	猪一般没资格穿批带	(？,666,没)
 323:56 - 324:07	我总觉得你队伍挂个快龙督战胜率能高不少	(不少,胜率,快龙)
 329:50 - 331:45	被自己带的波导弹打死了	(导弹,波,必中)
 335:52 - 335:59	666	(gg,666)
 336:03 - 336:39	主播多少分了	(倍毒,飞火,伤害)
 340:33 - 340:54	扫墓	(扫墓,！)
 340:58 - 341:40	带了两个道具是吧	(1,慈来,点血)
 352:10 - 354:59	花花加油啊	(z,招,有)
 355:04 - 355:52	小可爱[委屈]	(小可爱,委屈,LOSE)
 356:01 - 356:06	妙子都不在了还要妨碍你	(妨碍,妙子,还要)
 356:38 - 359:48	雷布抓谁啊	(啊,~,抓)
 359:51 - 359:59		()
 360:28 - 362:49	伊布最高一项就130	(130,你,比)
 364:36 - 364:50	防换人啊，拍落时最稳的打法	(最稳,拍落,打法)
 365:21 - 366:21	这能让你ct了啊	(ct,],[)
 366:29 - 370:00	你觉得卢卡弱是因为被主播百变怪克死了[dog]	(扫墓,],[)
 371:45 - 373:11	人畜无害的外表下有一颗大戾士的心	(节奏,小可爱,带)
 374:13 - 377:04	我现在知道为什么主播吃了巨大化狠狠打压你了[吃瓜]	(了,是,我)




 381:06 - 381:26	吧主	(马来,主,了)
 381:58 - 382:06	月布确实恶心	(月布,恶心,确实)
 382:12 - 382:35	主播最爱的和马	(最爱,马,恶心)
 382:48 - 383:52	mega后就能	(秒,哇,了)
 387:11 - 387:31	冰旋死了	(冰旋,死,了)
 387:52 - 390:30	输了啦	(投降,像,了)
 394:15 - 396:00	不氪金就没有宝可梦可以用吗	(氪,金,不)
 396:15 - 396:18	悲哀啊[哇][哇][哇]	(哇,],[)
 397:11 - 398:15	这是孙孙的多龙吗	(？,的,蒙)
 400:07 - 400:13	没有最高只有胖哥	(最高,只有,没有)
 413:24 - 415:08	好的茎爷	(了,没,])
 418:04 - 422:39	压力一直可怜的地龙[哇]	(],[,压力)
 432:33 - 432:59	赢了	(了,经典,没事)
 433:24 - 433:45	赌畏缩+CT 有感觉了吗	(一口,再嗦,畏缩)
 434:47 - 435:45	胖哥要是来个天恩特性就有点故人之姿了	(LOSE,exit,safe)
 437:08 - 437:15	盲猜第一个蜘蛛	(盲猜,蜘蛛,第一个)
 437:41 - 437:45		()
 440:00 - 442:39	真为对面感到悲哀	(主播,巩固,对面)

