全场最高能：82:35	有isun，稳了

其他高能：
 4:36 - 7:35	胖哥允许了吗，你就玩多人	(孙怎来,],[)
 272:05 - 273:12	你想想人家胖哥能8000分你就卡死7000了，你不行啊	(人家,了,胖哥)
 274:09 - 274:56	技不如人啊	(技不如人,],[)




 281:33 - 282:52	吓尿了[dog]	(😭,了,;)
 283:17 - 283:27	难怪叫0克	(克,难怪,0)
 283:34 - 284:46	我说历代林克不都有个老婆吗	(老婆,林克,的)
 286:26 - 287:44	主播之前玩时之笛找公主，有个人说公主在ktv里，叫果盘就出来了	(哞,了,公主)
 292:56 - 294:33	那咋了，牛车不也是越慢越快	(下,了,])
 294:45 - 295:45	倒闭了	(倒闭,牛车,烤鸭)
 297:05 - 297:21	宝宝现在没有纸杯鸭汤了，现在是老北京鸭汤烫饭配咸菜卖38[dog]	(鸭汤,现在,饭配)
 301:01 - 301:16	那咋了	(咋,那,？)
 305:06 - 305:53	三体蓝龟胖哥鈿	(？,胖哥鈿,三体)
 306:07 - 306:16	主播减多少斤了	(斤,减,多少)
 307:59 - 309:25	不对劲了	(！,了,-)
 316:16 - 318:12	我眼睁睁看着你把无敌用了再劈的[dog]	(哈哈哈,哈哈哈哈,士)
 336:26 - 337:20	可惜了	(5000,技,了)
 338:35 - 338:53	明明就是送肉当爱孙了，还在解释	(当爱孙,送肉,解释)
 340:16 - 340:51	为什么不是95%	(射,奇妙,零射)
 341:37 - 341:54	松饼加油	(加油,松饼)
 355:31 - 357:07	该[dog]	(],[,委屈)
 363:07 - 363:15	其他isun都去哪了	(吹口哨,其他,好久没)
 363:19 - 363:24		()
 363:34 - 363:42		()
 365:47 - 365:50		()
 366:42 - 367:34	把把压线到第三很不错了	(呀,把,哎呀呀)
 367:50 - 367:55	输给这个第一两次了吧	(输给,两次,这个)
 369:22 - 369:31		(dimension,没用,那个)




 369:49 - 371:23	有的人早就死了，只不过现在才埋	(才,为什么,集火)
 373:58 - 374:23	这把好几个牛啊	(。,啊,好几个)
 376:50 - 377:11	记住这个好	(要来,红红的,教科书)
 377:22 - 379:49	一看是嘉琪拉舍不得骂了[花]	(了,胜利,牛哇)
 380:06 - 383:12	一堆牛盯着主播打，那主播得多伤心啊	(牛,一头,主播)
 386:12 - 387:52	主播的龟壳都是往牛牛头上丢的	(哈哈哈,LOSE,的)
 388:41 - 390:16	但是我们知道极巨化压一下的含金量[dog]	(把,],[)
 396:53 - 397:27	撞自己老乡了	(牛,自己,牛创)
 397:44 - 400:27	舒服了	(？,了,])
 406:00 - 407:33	好[牛]	(好,松饼,了)
 407:49 - 408:47	没有555也上不了9000[dog]	(ノ,ε,=)
 410:08 - 410:35	笑死	(委屈,饼,])
 414:14 - 417:00	主播因为555抛弃了松饼[dog]	(],[,555)
 417:59 - 418:07		()
 418:17 - 420:17	我是4-2[dog]	(],[,dog)
 420:26 - 420:34	笑死我了[dog]	(💗,好不好,孙孙去)
 421:05 - 421:51	更新噩梦神mega后不像破壳鸡蛋了	(主播,了,边玩)
 427:43 - 428:59	先做这个再做这个[dog]	(认可,珍惜,抽)
 434:29 - 435:18	太难了 刷一礼拜甜甜圈用两天 再刷一礼拜甜甜圈再用两天	(甜甜,礼拜,两天)
 442:02 - 442:15	小朋友不要看	(一集,害怕,小朋友)
 447:04 - 447:35	[花]给小学生玩的	(记录,小学生,泡蛙)
 459:47 - 460:52	有个给3D龙的支线 给他装升级数据过去后就变成了3D龙2了 我给了他只闪的3D龙	(龙,3D,给)




 463:49 - 464:30	笑死我了	(（,干什么,在)
 465:46 - 465:54	主播最喜欢的下水道	(下水道,最,喜欢)
 467:30 - 467:54		()
 470:49 - 473:23	又要给你一套锈蚀组的衣服了	(更新,要,了)
 474:11 - 474:55	去把羊交了啊	(羊交,去,把)
 476:08 - 476:39		()
 477:32 - 478:13	白胖对战美神	(战美神,像不像,白胖)
 478:17 - 479:52	人说是[dog]	(是,],[)
 479:55 - 480:25		(白叫,可不是,非属)
 481:28 - 481:36		()
 482:20 - 483:13	为什么不送藤藤蛇[哇]	(大杯,中杯,藤藤蛇)
 483:29 - 483:55	这个南瓜要在晚上抓xl	(抓,xl,南瓜)
 483:59 - 484:45	那咋了	(哇,可梦脸,讨宝)
 486:03 - 486:21	他要换莫鲁贝克	(贝克,莫鲁,换)
 486:23 - 487:50	错误的，神兽男有达克莱伊	(神兽,这么,男有)

