全场最高能：43:50	你看到了吧  这就是这个车的劣势  吃电后重启动太慢了

其他高能：
 2:45 - 2:53	有嘉宾	(色,],[)
 266:37 - 267:16	吃了闪电说家琪拉 吃了红的是慧慧普  吃了绿的是盖欧卡 极具化是yoshi	(吃,是,红)
 268:41 - 269:02	现在主播在抖那叫什么	(kazelinl,图有,四种)
 269:51 - 270:11	为什么抖那边名字改回去了，这边不改名	(改回去,改名,抖)
 270:33 - 272:21	虽然我当年留考也是通宵了直接起床去考的	(的,，,了)
 277:32 - 278:11	"哪里有天才，我只是把别人喝咖啡的工夫用在了工作上罢了	(代播,工夫,")
 278:22 - 278:24	天天来回这几句纯ai直播间	(几句,来回,纯)
 284:05 - 287:48	吃西贝可真不是好事，我只吃过一次，吃完被账单背刺之后就再也没去吃过了[委屈]	(西贝,过,吃)
 287:55 - 290:30	何止丸子，北京有嘛能吃的	(吃,，,丸子)
 305:01 - 305:30	笑死	(看群里,小吃店,逃出)




 309:23 - 311:42	我每年回北京都专门去喝豆汁[看]	(喝,北京,藿香)
 316:57 - 319:38	我同学贼亢奋的拖着我去喝的	(我,臭,的)
 321:24 - 321:33		()
 322:00 - 322:41	蘑菇不挺好的	(解渴,点杯,索性)
 323:07 - 323:47	主播的新梦想	(梦想,利润,0.5)
 327:51 - 328:58	[捂脸]这玩意儿地图熟悉了之后都不知道干啥	(主播,],[)
 332:29 - 332:38	洛托姆出了吗	(童工,压榨,出)
 333:53 - 334:01		()
 334:41 - 335:49	冷知识  ba最小11   这孩子才6岁	(捂脸,],[)
 336:38 - 339:22	破几把za你都玩的下去，450怎么了	(不买,游戏,了)
 345:08 - 346:05	主播一直不来是不是也是因为没有迎party	(主播,虔诚,party)
 350:47 - 351:49	那肯定是亲的	(亲,生活,的)
 357:51 - 357:59	什么飞行属性	(遛,娃,日子)
 358:40 - 358:54	还真是	(真是,还)
 366:41 - 369:00	你又没说呼谁大嘴巴子，我自然而然认为你要家暴这逻辑没问题吧[哇]	(她,这,的)
 369:54 - 370:36	这是 z-a	(a,帕鲁,幻兽)
 376:52 - 377:30	洗衣机藏好咯	(金玉满堂,咯,藏)
 377:39 - 380:59	那你抓美神了吗	(美神,],[)
 381:16 - 381:22		(凸,头盔,带)
 382:02 - 385:01	那不奇怪  你都能在胡帕的异次元洞里走了  全息投影拿东西很正常	(你,送,的)
 385:20 - 385:52	这么说也不对     但是胡帕的异次元洞确实不仅能传送还能时空控制	(时空,能传送,控制)
 389:16 - 390:03	多是一个美神	(特工,一件,是)




 396:39 - 398:22	对着自己的ns磕200个头试试🙇🏻‍♀️🙇🏻‍♀️🙇🏻‍♀️	(♀,‍,🙇)
 405:29 - 405:49	昨晚睡前喝了杯霸王茶姬直接没睡	(茶姬,霸王,睡前)
 411:56 - 413:10	超级梦醒直接给你刷20w叫你别打了[委屈]	(你,],[)
 416:17 - 417:20	主播是怎么办到一直玩这么一个垃圾游戏，但不腻的	(我家,豆豆,不腻)
 419:40 - 419:48	说明你要开始幻想了[看]	(幻想,说明,开始)
 421:04 - 422:30	非常好玩 每次主播打底播10个小时	(正常人,打底,续作)
 425:26 - 426:01		()
 426:15 - 426:48	头顶大球没打[dog]	(大球,头顶,有个)
 428:03 - 428:06		()
 431:58 - 432:26		(？)
 432:43 - 432:48	主播有吃不完的果，花不完的钱，用不完的球	(的,用不完,花不完)
 432:53 - 433:31		(嘉宾,完,走马灯)
 433:54 - 435:12	这游戏也不出个怪猎那样的隐身衣装	(人化,隐身衣,怪猎)
 435:47 - 435:58	哪里来的超梦	(哪里,超梦,来)
 436:57 - 437:54	报主播名字可以打折吗	(可以,出现,打折)
 439:35 - 441:51	我记得开播的时候，主播说今天一定要抓到哪个宝可梦来着	(耍,低,在)
 443:08 - 443:34	真肝呐	(点图,呐,真肝)
 446:45 - 451:25	主播无视金河田不就没有发金河田的了吗	(金河田,了,的)
 452:16 - 452:59	会不会主播后来发现胖哥才是最阳间的[dog]	(后来,阳间,发现)
 453:16 - 454:03	阳间在哪	(確實,阴间,阳间)
 454:08 - 454:14		()
 454:18 - 454:33		(阳间,早上,天)
 457:50 - 458:01	今天刷出來了嗎	(没,ui,出來)




 458:13 - 458:43	买精灵球到处扔让捡球的存起来	(存,捡球,啐)
 459:53 - 461:28	那个穿校服打鼓的是你吗	(忘,了,林)
 469:08 - 470:32	居然在直播[黄脸祈祷]主播好勤快~	(勤快,那个,一百万)
 470:42 - 470:48		(拉满,药品,糖果)
 471:31 - 471:53	买薄荷也得一个一个买[哇]	(买,一个,薄荷)
 472:20 - 473:02	奴役宝可梦还是来钱快[看]	(奴役,钱,快)
 473:07 - 473:13	购物模拟器	(花蓓蓓,模拟器,购物)
 473:24 - 474:44	金河田是什么[看]	(看,暖,名)
 474:48 - 477:07	我听你说了后才开始的[哇]	(说,的,了)
 477:32 - 480:23	你这辈子就被萝裙害了	(了,穿,主播)
 480:58 - 481:27	不文明河田，600天	(600,文明,河田)
 485:55 - 486:50	为什么不能直接全部一次性购入吗	(不能,吗,这)
 492:31 - 492:45	笑死	(死,笑)
 492:52 - 495:28	你的洛托姆刷出来了吗就加纳	(也,主播,特性)
 495:52 - 497:42	主播的衣服是花呗买的吗	(主播,出殡,衣服)
 503:52 - 505:40	这紧身的裤子不好看  主要是这角色也不够成熟  紧身看起太太突兀了	(审美,了,紧身)
 506:33 - 506:58	也不理你的灯[委屈]	(你点,不理,颜色)
 511:30 - 511:34	格子毛衣是语文老师[捂脸]	(毛衣,语文,格子)
 511:59 - 512:22	这是菱形	(不活,菱形,小蜜蜂)
 517:07 - 518:05	早[比心][比心][比心]	(比心,],[)
 519:51 - 520:21	乐[花]	(直,黑长,妙不可言)
 524:04 - 524:31	哇，我吃个早饭的功夫还在啊	(粑,个,啊)
 526:22 - 530:45	看把主播激动的，声音都大了	(了,球,])




 532:13 - 533:35	更新了[dog]	(了,修复,更新)
 537:19 - 537:55	齐了	(上来,齐,？)
 545:14 - 545:57	已经到晚上开播了吗	(晚上,起,事)
 549:13 - 551:43	不厉害 太脆了PVP上去就容易被秒[捂脸]	(形态,极具,一种)
 551:59 - 552:05	洛托姆除非有新形态	(新形态,除非,洛)
 553:03 - 554:31	但是被人家双神+猩猩+虎哥打飞你别叫就完事了	(你,那,+)
 556:03 - 556:16	哦😯	(😯,哦,！)
 556:25 - 556:51	这个形态太多了   5个呢	(前进,大踏步,向着)
 556:55 - 558:04	要全形态头目闪吗	(形态,5,头目)
 558:34 - 559:14	爱机tv	(爱机,tv,下次)
 559:21 - 559:27	今天最后一舞了	(一舞,卡,最后)
 560:39 - 561:26	你刷完能不能早点下播，身体健康	(dr,你,呢)
 561:35 - 562:11	这么快和同事切割	(同事,都,豪力)
 562:15 - 565:24	金河田形态高低的是妖精系	(马桶,自动,毒)
 566:03 - 568:57	有一说一   如果有个电+一般系得洛托姆 给个好点属性分配 感觉不错	(托姆,一般,在)
 569:08 - 569:45	那我是学生之前的会员可以退款吗	(退款,可以,上学)
 577:27 - 578:40	你怎么给他触碰到电器	(碰到,吗,会)
 582:28 - 582:51	该提金河田	(提,该,金河田)
 586:01 - 586:27	支持卖电脑的	(支持,买碗,算了)
 589:42 - 590:38	主播家里有个别邻居小孩吗  不都是老头老太太	(献祭,看,])
 591:25 - 591:44		()
 598:09 - 598:38	@六块腹肌 ⁥ ⁥ 我眯了一会儿的[看]	(⁥,眯,腹肌)
 602:47 - 602:55		()
 603:43 - 604:09		()




 607:57 - 610:28	@クリーム松饼 冰清玉洁吗	(送给,提醒,冰清玉洁)
 610:59 - 611:23	菜	(菜)
 622:34 - 623:24	早[比心][比心][比心]	(比心,],[)
 625:26 - 626:44	还有登顶世界第一含金量是永远的	(永远,的,世界)
 628:07 - 628:22		()
 629:05 - 629:10		()
 629:26 - 630:49	配音改成灯冷行不行	(灯冷,配音,发到)
 632:46 - 633:12	抓五个得了	(五个,抓,得)
 637:43 - 641:12	@欲 七点的时候眯了一会儿的[看]	(],[,妈妈)
 641:14 - 642:57	我新年第二节课都上完了，主播怎么还在这	(。,？,主播)
 643:12 - 646:36	转转下次那个女的换成主播好了	(主播,的,了)
 646:53 - 647:56	咨询大师，主播什么时候能抓美神	(时候,什么,择日)
 648:20 - 648:39	还在播	(，,留下,从此)
 655:30 - 658:12	那主播你能和卖电脑的和解吗	(主播,电脑,吗)
 659:35 - 660:50	播这个没怎么看，但是就记得你在这跑了好些天了	(了,，,选)
 663:03 - 663:16	你说的没错，薄荷还是只能一个一个买[爱]	(还是,一个,没错)
 667:01 - 669:20	主播的意思是卖电脑一周年也要过节么[哇]	(电脑,卖,了)
 669:53 - 670:05	联动预定[花]	(溜,很河,Mygo)
 670:44 - 675:00	主播主播，为什么洛托姆有电视形态没有电脑形态啊，是被你打压了	(形态,电脑,托姆)
 675:44 - 677:46	我知道了，我刚刚花十万买的冰箱是不是你进的货[看]	(的,卖,？)
 687:30 - 688:03	松饼 中午吃了吗	(0.5%,×,（)
 690:33 - 692:00	松饼发的，那咋了	(了,],[)




 693:55 - 694:04	乐[花]	(松饼,关系,同事)
 703:56 - 704:24	都说了 同事是技术宅，黑进任天堂让你不出闪不是简简单单，中午还开播活该被打压[比心]	(活该,简简单单,黑进)
 704:33 - 704:56	现在实时闪率已经被打压到1/8000了	(闪率,实时,加多少)
 707:12 - 707:32	刷俩[花]	(俩,刷,花)
 708:13 - 708:46	让松饼Bot刷，反正是Bot	(Bot,反正,让)
 711:21 - 711:39	洛托姆有鈿脑型的吗	(脑型,有鈿,洛)
 713:58 - 714:40	加纳了吗	(加纳,饼,了)
 715:06 - 715:15	现在在刷第五只	(第五,只,现在)
 716:18 - 716:50	@六块腹肌 ⁥ ⁥ 那他得杀了我[看]	(⁥,制冷,暴风雪)
 718:54 - 721:39	我去看小杰了	(了,同事,，)
 721:57 - 722:22	胖哥登顶了会在左上角提示吗	(登顶,胖哥,正在)
 723:37 - 725:56	[dog]=[柴犬],[花]=[二哈],[送花][妙]=[看],[暗中观察]	(],[,在)
 726:07 - 726:13		()
 737:31 - 739:17	圆满了	(],[,,)
 750:23 - 750:24		()
 750:43 - 751:39	请问主播还要命吗	(还要,吗,托姆)
 752:39 - 753:23	坏了，居然是6个	(kaizo,原始,基础)
 754:07 - 758:15	也是天台   你要有个100级的卢卡利欧	(刷,？,了)
 758:45 - 758:58	没有门后大龟，只有前门大闺女	(大闺女,前门,门后)
 762:00 - 762:06		()
 766:42 - 768:32	卢卡利欧Z  165特攻啊  你被看穿降低防御  肯定一招就没了呀	(秒,了,守住)
 769:01 - 770:49	他mega一招你吃不住	(mega,一节,你)




 771:08 - 771:37	带个气势皮带至少还能出手[dog]	(技,不如,出手)
 772:38 - 772:49	没有吗	(减,防御,孙)
 773:22 - 775:22	加纳了	(了,可以,吗)
 778:47 - 780:03	主播好菜，我去看卖电脑的了	(技不如人,去,了)
 780:39 - 780:41	疯了吧，还不下播，我在东单公园等你一天了	(公园,东单,，)
 790:44 - 791:06	他把你buff偷了 暗影偷盗啊	(偷,了,偷盗)
 794:36 - 794:57	这不保底四强吗，还不够好	(四强,软柿子,捏)
 795:07 - 795:25	你这么说确实也没问题  玛夏多暗偷后雷电拳  司马鱼直接去世了	(司马,偷后,玛夏多暗)
 797:28 - 797:45	6个人头5个是皮克西了	(克西,皮,个人)
 797:53 - 798:48	主播你的米立龙是不是没带装备	(没带,加纳,88)

