全场最高能：232:36	预定登顶

其他高能：
 1:49 - 3:12	主播我看你打鼓很流畅，为什么我的ns掉帧和延迟很严重	(比心,很,])
 319:16 - 320:24	不进们直接跳石头上不就好了	(士,大戾,假)
 324:31 - 326:09	雅阁了	(雅阁,？,了)
 326:12 - 327:05	让卖电脑的给你推荐一个	(一个,电脑,士)
 327:32 - 327:38		()
 328:04 - 328:13		()
 331:36 - 336:20	主播你能私信胖哥把我从黑名单里放出来吗，我要抛弃你了[傲娇]	(你,了,胖哥)
 338:20 - 342:49	主播要是中南大学的肯定就过了	(],[,了)
 345:37 - 346:00	主播想吃松饼[哇]	(松饼,想,吃)
 346:09 - 346:17	在家做白白的牛肉	(汤,碗,在家)
 352:22 - 353:15	主播飞图是什么根据[dog]这都不飞，还是力气太小了	(噔,楞,奔)
 353:39 - 354:13	j8f n77 3nf[大哭]	(抓狂,蒙,])
 355:46 - 358:39	你不都说了灯冷掉人气吗	(噔,楞,，)
 360:28 - 361:37	我们bili虽然没钱，但是人都不走的	(都,人,开车)
 379:15 - 380:06	电脑该换配置了，天眼废了	(？,了,×)
 387:00 - 387:12	已经在北京了	(北京,已经,在)
 392:56 - 395:58	10满极限图[dog]	(小学生,？,-)
 397:24 - 400:20	林克瑞平超级小杰：同事里的罕见	(罕见,？,的)
 401:03 - 402:14	主播是日本多人排行榜7500分最后一名我查过	(小布,主播,过)
 404:21 - 405:18	你认错主播了	(认错,了,你)
 405:32 - 407:05	你认错主播了，那位主播已经三顾雅阁了	(了,大笑,哈哈哈)




 409:13 - 410:09	卖电脑的说可以用键盘	(可以,的,用)
 410:13 - 411:05	右边十字能反墙	(🏻,✍,的)
 413:13 - 414:10	说的我们不会去抖一样	(呜呜,去,，)
 414:28 - 414:36		()
 419:17 - 420:01	都不走灯了吗 怎么又卖电脑了	(],[,哇)
 425:53 - 428:03	有创意，又折磨，绝世好图[花]	(好图,pow,，)
 428:15 - 428:59	继续笑	(哈哈哈,继续,笑)
 430:20 - 430:59	请问主播和斗斗哪个更重	(他会,狡猾,斗斗)
 445:56 - 445:59		()
 455:27 - 455:44	旺了旺了[妙]	(旺,妙,了)
 459:46 - 460:15	这下能睡着觉了[dog]	(睡着觉,帅,这下)

