全场最高能：41:01	马里奥：就非得让第二的赢了是吗

其他高能：
 6:54 - 11:07	[dog]什么叫我也买游戏了	(],[,;)
 188:02 - 188:16	舒服了	(哈哈,哈哈哈哈,使用)
 191:01 - 191:16	🐮六🖐🏻开	(🖐,🏻,六)
 202:45 - 203:17	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(成功,极限,比心)
 207:55 - 209:34	风寻8000	(7100,技不如人,8000)
 214:44 - 218:25	技不如人，甘拜下风	(了,;,6900)
 220:43 - 223:35	赢了+1输了-10	(1,+,8000)
 224:44 - 226:14	666玩个马里奥也开桂是吧	(;,6900,])
 228:16 - 230:18	公平图用不上我胖哥出马，maimai就够了[dog]	(哞,牛车,])
 230:57 - 231:28	松饼是打雷让主播先走的	(怕,是,他)
 239:08 - 239:24	人机局	(人机,饼,太行)
 245:35 - 245:58	主播你为什么不用羽毛躲蓝龟	(羽毛,躲,蓝龟)
 247:37 - 250:39	松饼好厉害	(松饼,],[)
 255:11 - 256:38	虽然是为了宝可梦风浪和冠军买的但也可以这么说[花]	(用,快,火箭)
 265:15 - 265:26	让我挤挤	(奶牛,牛,挤奶)
 265:47 - 266:50	为什么牛在水里会站起来	(诶,毒蛇,捂脸)




 271:54 - 272:05		()
 273:12 - 273:37	满意了	(满意,了,哈哈哈哈)
 273:45 - 275:10	刚不是第一吗，怎么一转眼淘汰了[dog]	(dog,淘汰,])
 282:19 - 282:47	那咋了	(那,咋,了)
 288:23 - 288:26		()
 288:39 - 288:45		(小心眼,子)
 293:27 - 295:26	哇灯了	(！,委屈,])
 302:42 - 302:51	555没起床	(咋,那,抓狂)
 303:20 - 305:33	被大运别车了[捂脸]	(大运,哈哈哈,蓝龟鈿鈿鈿)
 311:50 - 314:09	我算是看明白了，这是跟饼甜蜜双排局呢	(蓝龟鈿鈿鈿,三体,！)
 317:20 - 318:12	蒙的	(士,大戾,漂亮)
 323:36 - 325:36	不是，你怎么就中道崩殂了	(蓝龟鈿鈿鈿,三体,！)
 326:42 - 327:37	笑死我了	(馋猫,小,了)
 333:23 - 333:41	555快把这个通知关了	(555,通知,了)
 333:55 - 333:57		()
 337:02 - 337:07		()
 339:15 - 339:31	群贤毕至[滑稽]	(群贤毕至,滑稽,])
 347:15 - 350:18	好耶	(！,灯灯,灯)
 353:47 - 356:21	主播不会高级球都上不去吧[dog]	(了,白冰,逃逸)
 362:22 - 363:39	月中了，该开始准备冠军的宝可梦了[dog]	(手机,宝可梦,大师)
 369:34 - 369:54	技如人	(技如人)
 370:49 - 371:28		()
 373:56 - 374:53	赢了叫人家小甜甜，输了就威胁要放生	(旋,放生,威胁)
 377:09 - 377:25	这古剑豹闪的颜色怎么和💩似的	(似的,闪,这古剑豹)
 378:07 - 378:45		()
 379:11 - 379:19	玩老班这辈子有了	(玩老班,这辈子,有)




 381:13 - 383:28	直接萎缩了	(格斗,？,萎缩)
 384:15 - 386:13	被一个萎缩单刷了	(单刷,龙,地)
 386:17 - 387:48	不许诋毁我竹兰小姐的王牌宝可梦	(的,没,夸张)
 388:12 - 388:27	孙子被看透了	(看透,孙子,被)
 390:39 - 392:07	笑了	(哈哈哈,头盔,击中)
 392:09 - 392:13	HOW	(HOW,笑,死)
 393:35 - 398:18	悲哀说是	(噔,了,对面)
 400:36 - 401:29	[dog]装起来了	(装,球,起来)
 403:02 - 403:05	这回登8下	(登,这回,8)
 404:15 - 407:02	是的，猫确实是关系户，规则A带到现在	(猫,了,关系户)
 407:24 - 408:56	你整个宝可梦都是遗憾的	(虎哥,认识,的)
 411:45 - 413:00	搁我我投了 说的对	(我,投,搁)
 426:01 - 426:30	钛晶一般警告[dog]	(披带,警告,一般)
 428:02 - 428:32	大师球之后是什么	(之后,球,大师)
 432:09 - 432:15	开了[哇]	(哇,开,啊)
 434:24 - 434:49	真学交错闪电吗	(交错,真学,高兴)
 444:13 - 444:21		(蓝条,黑,又)
 446:43 - 446:46		()
 450:05 - 451:44	对面这阵容该猴哥发挥了	(？,阵容,月)
 452:34 - 452:45		(走马灯)
 452:56 - 454:12	猴是拿来镇场的[花]	(猴是,沙暴,的)
 456:09 - 457:16	开锁血了是吧[dog]	(吧,tv,地鼠)
 461:33 - 463:11	他刚才阵容是什么	(？,接棒,个)
 464:11 - 465:28	你睡他也没区别啊	(你,也,啊)
 466:15 - 468:12	这对面白色香草是什么鬼啊	(对面,了,？)
 476:40 - 480:48	你最爱的蝎子来了	(最后,],[)




 481:34 - 482:33	猴哥上次出现  不知道多少年前了	(猴哥,不,尤其)
 485:56 - 486:06	对面有必要卖掉苍响吗	(苍响,卖掉,必要)
 486:10 - 486:19		(哈哈哈)
 486:55 - 487:19	6连才中 你没看到	(连才,看到,中)
 493:05 - 494:10	那咋了[dog]	(fw,猴,带)
 496:13 - 497:05	这就是主播献祭猴哥得到的运气吗	(猴哥,666,铁)

