全场最高能：25:26	灯顶x27

其他高能：
 2:38 - 3:37	饼饼早啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,饼,早)
 287:18 - 288:56	我家里的小米空调2个月扇叶就有灰了,自己拆开清的	(空调,我,])
 290:33 - 291:24	唐塔也跳下去了	(跳下去,！,炮)
 294:38 - 295:29	没事孙孙，本来开局对抗就已经输了，多玩了两分钟就当回本了	(哈哈哈,了,技不如人)
 301:25 - 302:59	主播能把我放出来吗，我的名字是海南人	(无敌,1,吗)
 309:11 - 309:33	大戾士	(大戾,士,委屈)
 321:35 - 322:26	没事，这都是主播的大局观发力了	(LOSE,孙武,雷)
 324:47 - 326:07	偷偷练了是吧	(练,了,花)
 329:04 - 332:44	这组合最强啊就最后一名了	(了,哈哈哈,大戾)
 337:10 - 337:31	我觉得蓝龟要吃了	(觉得,蓝龟,吃)
 339:19 - 342:47	流鼻涕的赢了	(了,666,])

