全场最高能：107:53	极限[dog]

其他高能：
 1:40 - 2:52	好了	(了,你,来)
 177:17 - 177:35	[花]是因为不知道码，看历史弹幕说有竖着的两下就发了个sc，就成导火索了	(就,金龟,看田河)
 181:08 - 181:59	那是IV么，那不是2+3嘛	(3,IV,5237)
 182:44 - 184:18	大龟过的	(龟壳,大龟门,后)
 184:26 - 184:33	净惦记大龟了	(大龟,惦记,净)
 186:43 - 187:42	我都不知道你换哪里了，还是大前天想起来你搜了你一下，前天平台才给我推的你直播	(你,我,了)
 191:05 - 193:15	跟胖哥道歉	(🐄,🐮,🚗)
 193:58 - 195:48	可以车后蓝龟了[看]	(！,🐮,哞)
 196:12 - 197:52	主播我在心里给你开了	(你,主播,我)
 201:44 - 202:26	555来了	(来,了,蓝龟鈿鈿鈿)
 205:46 - 206:05	真实水平[看]	(可爱,捏,水平)
 206:31 - 207:15	666这个入开了	(了,？,的)
 208:18 - 209:15	555来了	(了,开,来)
 216:55 - 217:36	好的没了	(好,笑,死)
 218:11 - 220:15	555有红龟都不扔你 泪目了	(555,了,你)
 235:17 - 237:04	劈的好	(大戾,士,好)
 244:58 - 246:25	可惜了	(三体,蓝龟鈿鈿鈿,！)
 248:20 - 248:29	少了一个马灯TV	(少长贤集,选牛,群贤毕至)
 255:59 - 258:40	了	(了,带,HOW)
 264:21 - 264:35	主播只会呵呵一笑并说一句好似	(一笑,呵呵,好似)
 267:03 - 268:19	哪个孙子打的雷，晚三秒会死啊	(！,666,的)
 279:49 - 280:04	LOSE	(LOSE)




 280:17 - 280:44	说话算话果然没抢第一	(LOSE,詹姆斯,一儿)
 282:22 - 282:44	车队队长的话	(望,重点,队长)
 282:54 - 283:02	为什么不扔，恶意组队	(扔,为什么,不)
 285:35 - 285:43		()
 288:06 - 289:36	最后一下爱不释手扔了呀，近在咫尺[dog]	(扔,爱不释手,了)
 292:32 - 294:58	我也以为世界变好了 知道我今天掉了200多分	(我,了,掉)
 296:08 - 297:18	你等着 主播赛车这么玩下去 迟早有被走灯的一天	(哈哈哈,LOSE,过境)
 299:10 - 299:25	5%来了	(最孙,5%,幻想)
 299:47 - 300:01	95的，强图的，最真实实力的，盯着你打的，555丧的，ztmex的	(，,的,登底)
 303:32 - 304:12	两个都在空中，当然是第一	(?,。,空中)
 306:35 - 309:03	高情商：主播成全了555：低情商：555 sound	(555,哈哈哈,：)
 317:47 - 319:28	哇登顶	(！,登顶,555)
 319:41 - 320:10	车后za	(za,加纳,车后)
 330:28 - 330:48	那咋了 還管起粉絲私生活了[傲娇]	(歧视,私生活,粉絲)
 330:53 - 331:24	弗雷尔卓德	(尔卓德,弗雷,梦醒)
 332:23 - 332:31		()
 334:23 - 335:29	所以我阿尔宙斯练了一个[看]	(@,了,我)
 340:04 - 340:08	多坚毅啊[花]	(坚毅,多,花)
 340:27 - 340:34		()
 340:53 - 341:16		(佐佐木,子,真)
 342:09 - 345:27	不搞了，闪光的我自己抓	(了,抓,诅咒)
 346:32 - 347:33	我好想要闪光头目地龙[流泪]好难刷	(流泪,],[)




 349:17 - 350:15	主播我好想要一只闪光头目司马鱼啊 初训家是布布的[流泪][流泪][流泪]	(流泪,],[)
 352:48 - 353:30	@momo 主播亲手抓的宝可梦会有初训家布布[看]	(训家布布,初,可梦会)
 362:07 - 362:11		()
 362:58 - 364:43	主播 我送個白白胖胖的閃光頭目冰雪巨龍給你吧[哇][哇]	(3,头,的)
 366:39 - 369:09	正因为地龙强  快龙也不差肯定要针对的	(赛季,第,冰冻)
 369:17 - 370:11	鹿是神  何德何能啊  bigsix核心输出	(bigsix,打击面,万用)
 373:51 - 374:24	地龙你又不能带冰系针对他	(带冰系,地龙,针对)
 379:27 - 379:48	孙孙吃啥呢	(啥,孙孙,吃)
 392:13 - 393:24	说实话  要打司马鱼  确实上葱油饼打就行  一个冲一个叶刀直接飞了	(一个,叶刀,打就行)
 393:28 - 398:32	额   闪光的   阿尔宙斯我记得也能阿尔宙斯刷吧	(宙斯,阿尔,刷)
 399:25 - 400:11	那确实  很垃圾  但是别忘了买宝可梦冠军和第十代	(第十代,买宝,别忘了)
 401:06 - 402:34	但这不是现在的我该想的[花]ns2还没买呢	(各种,这,买)
 404:15 - 405:40	卧槽 我刚看了俩小时b站走马灯介绍	(了,刷,我)
 406:32 - 406:43		()
 423:55 - 424:22		()
 424:31 - 425:33	我羡慕[流泪]还能怎么着	(咯,洛,托姆)
 427:23 - 427:52		(。,真是,还)
 430:19 - 432:54	不取关孙孙的好处就是你也不知道哪一天会想过来看一眼	(看,一眼,就是)
 437:04 - 439:18	布里卡隆	(什么,说,买球)
 439:42 - 440:26		()
 444:31 - 445:04	对啊为什么[看]	(why,maimai,对)




 445:44 - 450:19	有个npc还会给你搭配每日穿搭	(穿,搭,对)
 452:36 - 454:07	我那个语校很讨厌的同学就爱这么穿[看]	(，,蓝鞋,粉袜)
 454:17 - 454:47		(宋丹丹)
 456:05 - 457:57	没点的都是单色的	(暖,改暖,一个个)
 458:23 - 459:07	笑死	(笑,死)
 460:01 - 461:31	不然精灵球从裤裆里掏出来吗	(缝,有条,裤子)
 472:25 - 473:42	梦醒了（还想睡	(饿,（,梦醒)
 482:21 - 482:44		()
 483:30 - 490:26	藏好了	(球,0,了)
 490:44 - 490:47		()
 491:30 - 496:39	这个很垃圾了	(垃圾,地面,地图)
 498:15 - 499:57	龙头mega完165的地面攻击手  还是很爆炸的	(mega,的,5)
 500:11 - 500:13		()
 501:21 - 502:09	乐[花]	(有毒,球,热熔胶)
 506:06 - 507:00	让他找到了[看]	(？,了,演都)
 509:45 - 512:26	按照你这样天天睡大街  你卡洛斯的房子早就被法国流浪汉侵占了	(的,法国,猴子)
 518:04 - 518:14		()
 518:59 - 519:14		()
 519:20 - 521:39	遇到罗托姆  za就算完成了  等宝可梦30周年再看看买什么	(罗,遇到,托姆)
 523:34 - 524:19	这满图的感叹号真的是头皮发麻 地狱绘图	(绘图,头皮发麻,这满图)
 525:36 - 526:07	训练师是不是无敌的，能不能帮自己的宝可梦卡位	(卡位,师,训练)
 537:56 - 539:45	5星的打完给1万点 打完出来了2万4	(常回家,完,看看)
 545:00 - 548:03	没冲突，宝物是地上的发光点，树果是球	(冲突,宝物,高)
 548:43 - 549:59	全部进化成大岩蛇了[看]	(岩石,大岩,藏)




 550:12 - 550:18	孙不睡	(孙不睡)
 552:16 - 553:43	[鼻子]去睡觉了加纳铁子们	(手机,],[)
 554:27 - 554:39		()
 556:38 - 557:00		()
 557:23 - 557:29	这个不能SL的吗	(吗,SL,加纳)
 560:33 - 561:09	像海南人一样，钻地起手	(起手,钻地,海南)
 573:15 - 573:51	有保底的吗	(保底,嘛,来)
 574:30 - 574:48		()
 579:10 - 579:44	还有肥大[dog]	(肥大,还有,dog)
 580:19 - 580:53		()
 583:01 - 583:29		()
 585:39 - 588:41	宝可梦不回合对战感觉太图一乐了 没特性  没速度优势	(特性,宝可梦,没)
 589:27 - 590:44	抓灭绝了你也不会用  恨的话就不想要了	(不,想要,抓)
 591:41 - 594:53	宝可梦世界里的宝可梦是有社会属性这一说法	(宝可梦,里,洛)
 599:02 - 599:15		()
 623:01 - 624:28	人人都有	(牛,人人,家电)
 626:48 - 628:05	这pjb游戏玩到现在还这么有劲吗	(有劲,pjb,到)
 628:10 - 630:23	超级派大星	(，,播放,三轮车)
 631:21 - 632:55	JJ龙就决定是你了	(如来,异,帝王)
 641:33 - 644:20	刷这玩意累吗主播	(硬币,！,身体健康)
 644:42 - 644:49		()
 646:04 - 648:44	宝可梦这么上头么	(],[,比心)
 649:51 - 650:39		()
 651:12 - 651:15		()
 652:36 - 655:55	主播是走的太多了，所以换了条短裤吗[看]	(控制,比心,])
 657:30 - 658:59	@奶油松饼bot 你以为是我胖哥呢	(魅惑,？,是)
 660:54 - 661:24		()




 662:08 - 662:10		()
 663:13 - 664:02	这感叹号是育碧塞的	(育碧,塞,感叹号)
 664:50 - 665:33	马上大结局才知道	(大结局,早上好,马上)
 668:16 - 670:40	主播不做也不影响  单纯看着多有点强迫症	(北京烤鸭,看着,不)
 672:22 - 677:59	oh我的新球拍到了，出门穿线，孙孙能再播一小时吗，我想边等边看	(],[,饼)
 680:53 - 682:31	我是提醒主播休息小助手	(涂涂,榜,你们)
 683:16 - 683:32		()
 683:53 - 685:29	主播对不是仇人的桀哥都天天带节奏，对胖哥怎么样我都不敢想了	(玩,到时候,桀哥)
 685:39 - 687:55	但是500块钱花手游里连个响都听不到[看]	(看,嘬,])
 688:33 - 690:33	不懂就问这是在刷啥，每天都通宵熬穿	(就,通宵,不)
 692:29 - 692:46		()
 697:32 - 699:51	再刷不到我感觉我就先拿到闪符闪洛托姆了[看]	(],[,美国)
 706:58 - 707:40	膨胀了果子都看不上了	(瘾,最近,合体)
 708:17 - 708:31		()
 712:39 - 714:32	哎呀我在主播把超梦拿出来的时候发的弹幕	(爱心,在,的)
 714:37 - 717:15	主播你再不睡就要見你的屍了	(大笑,],[)
 718:57 - 719:29	HOW	(人老珠黄,熬,HOW)
 720:21 - 722:09	黄松饼了	(了,黄,松饼)
 727:33 - 729:39	确实不是啊[哇]	(哇,],[)
 736:57 - 737:10	主播在刷什么	(刷,什么,在)
 739:38 - 741:58	刚刚吃米村拌饭 感觉大米像死了十年	(米,吃,是)
 743:45 - 743:58		()
 749:52 - 750:39	孙子哥哥	(像是,三十年,建模)




 750:49 - 752:39	我睡的时候在播，我醒了还在播，我都下班了还在播，彻底疯狂了	(厉害,播,，)
 755:46 - 757:23	为什么无限循环，是我卡住了吗	(头目,？,])
 758:15 - 759:11	看不上还做任务浪费刷闪时间[dog][dog]	(看不上,dog,])
 761:37 - 762:13	刷题小王子	(刷题,发呆,小王子)
 762:57 - 763:01		()
 767:14 - 767:37		()
 768:27 - 771:21	你现在都不睡[捂脸]我今晚看啥	(了,看,压着)
 777:38 - 778:19	准备打压总代了	(拌,米村,准备)
 785:43 - 786:40	中午好[比心][比心][比心]	(比心,],[)
 795:13 - 798:23	@クリーム松饼 闪了哪只头目	(@,ム,ー)
 802:26 - 802:37		()
 803:32 - 803:46		()
 804:25 - 804:42		()
 806:09 - 807:49	他现在应该已经困了[看]	(？,主播,现在)
 810:52 - 812:20	主播再不下播就要爆肛了	(在,波,爆肛)
 812:50 - 813:55	睡醒就开播，别过少爷生活	(龟,无言,补下播)
 814:57 - 817:50	主播快去休息吧	(加纳,],[)
 818:00 - 822:41	求求你去睡吧，别死我手机里了	(],[,比心)
 830:16 - 833:30	老公睡之前给我个嘬嘬[色][色][色][色][色]	(色,],[)

