全场最高能：39:09	恭喜你答对了，这是胖哥的通关证明

其他高能：
 3:37 - 3:46	钻小缝	(钻小缝)
 344:00 - 344:29		()
 344:38 - 344:42	乐[dog]	(乐,dog,？)
 346:39 - 348:37	哇登顶	(爱,],[)
 348:44 - 349:48	走进一点草地直接对着那杆子也是直接上去[dog]	(傲娇,],[)
 355:02 - 356:12	就是攒好道具然后用技巧超一点再用道具再超最后拿第一[呆]	(道具,第一,再超)
 357:45 - 360:46	555王朝了[哇]	(555,第一,])
 367:49 - 370:24	悲哀啊[傲娇]打你又恨我，帮你又不谢谢我[傲娇]	(爱,],[)
 370:47 - 372:28	这游戏开车队第一第二轮流吸尾流是不是就无敌了	(打,互相攻击,吸)
 373:06 - 373:15		()
 377:06 - 377:21		()




 378:21 - 380:39	豆鱼我是葫芦娃2333 还是呢的房管 记得我吗	(],[,报应)
 391:00 - 393:02	劈④了孙孙是最赚的[dog]	(],[,我)
 394:18 - 395:21	这把就没几个牛吧	(这,把,36)
 396:45 - 399:00	主播主播，松饼都开始催你玩喷射战士了，今天玩吗[哇]	(],[,哇)
 409:22 - 410:42	乐[哇]	(],[,大哭)
 412:08 - 412:23	笑死	(笑,死)
 414:34 - 414:43		()
 415:14 - 415:32	一般m水箭龟单打是不带水系技能的	(水箭龟,m,技能)
 417:29 - 417:34		()
 418:01 - 418:21	还真是	(脑,一穿,抽)
 418:29 - 418:45		(提醒,对面,了)
 419:15 - 421:15	我猜这个地龙也是受向分配的	(围巾,猜,])
 421:53 - 422:10		()
 427:19 - 428:51	太天真了	(悲哀,蝶舞,对面)
 433:47 - 433:58		(配置,没见,笑)
 435:09 - 435:29	心领了[委屈]	(心领,委屈,])
 438:32 - 441:00	真悲哀	(海狮,悲哀,])
 443:18 - 443:35	还真是	(扛不住,真是,还)
 444:10 - 446:06	锁招的三头龙，不然刚换下去没意义	(锁招,没,三头)
 446:43 - 447:44	不跑  留下来  大地之力	(跑,？,那死)
 448:04 - 448:20	乐[dog]	(正装,贡丹斯,多拉)
 448:29 - 448:37		()
 449:38 - 449:51	狂妄起来了[傲娇]	(狗来,狂妄,起来)
 453:34 - 455:39	很正常啊，他队伍没有能打y喷的肯定带补盲了	(miss,了,踹)
 455:51 - 456:19	咸鱼挣扎了[哇]	(],[,哇)
 457:26 - 458:23	松饼给孙孙买早餐去了	(松饼,了,])




 469:27 - 470:38	他的2个选择都是要死一个	(],[,比心)
 471:45 - 472:18	藏B	(z75,音速,拳)
 485:00 - 485:08	那咋了	(咋,那,了)
 485:15 - 487:51	空气之刃1/20的miss概率啊，知道什么是1/20吗	(空气,],[)
 494:30 - 497:24	为什么要大子火	(对面,了,为什么)
 502:32 - 503:01	虐猫区	(涛,千重,虐猫区)
 505:15 - 505:27		()
 509:48 - 510:26	加满了和喷火龙比哪个快	(喷火龙,比,加满)
 511:13 - 515:00	悲哀啊[哇]	(],[,哇)
 515:17 - 515:23		()
 515:53 - 516:52	人机局[dog]	(人机,还,腰)
 519:16 - 520:54	宝冠军有体型区别吗	(],[,哇)
 521:57 - 522:11	居然不剑舞	(剑舞,居然,悲哀)
 522:47 - 526:05	对面一家鼠数数儿你不就废了[dog]	(],[,哇)
 526:19 - 526:37	冷知识，煤炭龟也会破壳	(龟,煤炭,破壳)
 528:32 - 528:42	[哇][哇][哇]	(哇,],[)
 529:01 - 529:11		()
 530:13 - 530:57	不打气象球和阳光烈焰了	(而,算错,烈焰)
 535:43 - 536:24	百变怪上场会复制对手的强化吗	(会,猫猫,强化)
 536:34 - 538:30	折返出海鸥	(了,跑,5)
 539:46 - 541:19	拿个被子给他捂死，他已经播晕了	(*,了,猫)
 542:25 - 542:38	可惜[dog]	(比心,],[)
 547:15 - 549:03	人机[哇]	(亲亲,加纳,])

