全场最高能：192:29	又走马灯

其他高能：
 6:47 - 7:48	没事 我现在玩的是暗广的号 他雅阁我这个号我不心疼[dog]	(],[,会员)
 236:40 - 237:38	饼饼，孙孙一淘汰你怕是就成他们的新目标了[金钱豹][金钱豹]	(一个月,],[)
 238:30 - 240:17	有喇叭还说战略性落后呢[哇]	(？,喇叭,蓝龟)
 241:52 - 242:34	没了	(好雷,对,好)
 242:44 - 242:46		(赖,打雷,也)
 244:01 - 244:28	全是熟人	(嘎,SO,前耻)
 253:21 - 257:10	那咋了，让你说河田工厂	(了,金河田,，)
 257:59 - 258:16	自重	(自重)
 265:05 - 268:23	还以为松饼又开演了，原来是掉线了	(牛,了,掉线)
 272:33 - 272:57	那咋了	(咋,那,大运)
 282:29 - 283:12	哦对的对的	(对,？,的)
 283:45 - 284:39	主播好胖，我去看菜哥了	(…,看,主播)
 294:24 - 295:15	@クリーム松饼 饼饼，我感觉这里面近道难度标的不对[dog]	(盖,饼,@)




 295:20 - 296:02	谢谢你倒数第二图的蘑菇	(比心,],[)
 299:13 - 301:12	isun让了，人还有蘑菇呢[dog]	(isun,了,蘑菇)
 305:37 - 307:31	这能救起来啊	(666,],[)
 309:04 - 312:17	甜的时候不玩吗	(],[,喷喷)
 316:44 - 316:54		()
 318:41 - 319:28	多龙有什么魅力，不是挨骂位吗	(魅力,把,甜头)
 321:35 - 322:06	魅力时刻[花]	(时刻,魅力,锁血)
 326:00 - 326:39	没日照一下应该是了	(一下,连胜,投)
 326:48 - 327:06	他大嘴鸥还不带桥龙这雨天也没人吃	(一把,再,把)
 327:18 - 327:54	最后亿局	(最后,健康,孙体)
 328:46 - 329:42	有没有长得像胖哥的宝可梦	(宝可梦,耿鬼,士)
 331:01 - 331:58	为什么不上闪光的胖哥，最起码也得上个蘑菇啊	(大笑,],[)
 332:05 - 332:25	乐[dog]	(乐,丢人,加纳)
 334:08 - 334:35	孙孙什么时候上昌平	(昌平,孙孙,时候)

