全场最高能：195:27	莫大的悲哀

其他高能：
 11:20 - 12:59	主播直播多少年了	(士,大戾,直播)
 153:03 - 157:03	给胖哥刷个火箭过了然后去水印	(了,过,吧)
 159:54 - 160:00		()
 160:30 - 161:32	3d版开局蹲一下是为了开局最快加速[哇]	(蹲,，,3d)
 161:47 - 161:50		(比炮头,跑步,因为)




 164:20 - 164:28	上一次是只差半个身位	(身位,半个,只)
 165:35 - 166:08	没准下一块的差距一晚上就过去了[哇]	(了,差距,没准)
 166:28 - 166:42	走马灯	(走马灯)
 171:14 - 171:54	这一块，就是你和胖哥之间的距离	(距离,的,一块)
 174:51 - 175:12	在第4块刺的右边卖炮头应该就够了吧	(在,第,刺)
 180:53 - 181:31	取消加速前摇	(一说,前摇,取消)
 190:45 - 190:49	现在是轮播	(轮播,可惜,现在)
 191:17 - 191:21		()
 194:51 - 197:01	莫大的悲哀	(！,了,过)
 201:34 - 204:11	都说了顶头过不了，你还漂亮	(！,的,了)
 204:17 - 204:30		()
 205:43 - 206:06	好折磨	(进步,算是,经常)
 209:31 - 211:20	还有一个过了的是谁	(666,HOW,了)
 224:44 - 226:18	我看了 四十分钟猫 就最后没看到啊	(的,看到,没)
 227:39 - 229:13	故事模式好像不用[dog]	(！,模式,故事)
 229:40 - 231:07	很多毒图会被下架，官方是通过什么来评判的呀	(撇嘴,举报,？)
 231:52 - 232:11	是灯顶快还是成为极难第一人快	(人快,成为,顶)
 234:32 - 234:35		()
 234:40 - 235:02	问问题的全责	(值得,损失,害)
 237:31 - 239:14	悲哀  现在前20都进不去了	(悲哀,LOSE,了)
 240:46 - 241:25	这么多BOT还怕过不了线	(8,过,售后)
 241:35 - 241:38		(单,游商,米哈)
 248:30 - 248:49	正在寻找555	(寻找,正在,555)
 258:19 - 260:52	一般隔天弹幕我就忘了	(！,666,了)
 264:46 - 265:00	臭水沟战神	(，,而,胖哥会)




 270:29 - 272:51	米哈游的游戏也一作比一作好	(8,走马灯,，)
 272:55 - 277:50	现在去日本拿回你失去的一切	(！,还,，)
 277:56 - 278:29	日本的可口可乐涨价了啊	(日服,可口可乐,爽)
 280:18 - 281:20	现在5090涨价了 要1万2	(！,5090,涨价)
 281:25 - 281:45	来个雷	(雷,来个)
 282:05 - 282:12		()
 282:46 - 283:00	以后一台手机上万了	(！,感叹号,上万)
 284:18 - 284:38	幸好我去年就搞了全套，真是坐着升值	(升值,坐,全套)
 285:10 - 289:40	我刚买的电脑都涨了小一千	(！,了,电脑)
 290:01 - 293:00	黑兽[哇]	(！,，,？)
 293:23 - 293:30	同事都是恩人	(小媳妇,娘念,恩人)
 294:42 - 296:08	还敢诋毁胖哥吗	(胖哥,诋毁,你)
 296:20 - 296:22		()
 306:06 - 306:37	他费劲巴拉开剪辑软件会员就为了做灵堂吗	(创作,软件,剪辑)
 307:22 - 308:16	金币也要 胖哥真饿了	(什么样,粉丝,也)
 317:02 - 317:20	喜欢北京林克爱大牛么	(轻松,林克爱大牛,万分)
 318:23 - 318:38	特意去搜了一下 没绷住	(绷住,特意,搜)
 333:06 - 335:00	主播我跟你講 剛剛不是有咚咚擋路嗎 卡車撞不過咚咚	(排名,已,确定)
 335:16 - 336:43	狙到了，大脸是爱牛	(大脸,了,机会)
 342:26 - 344:07	悲哀啊	(玩,卡,了)
 352:44 - 353:55	我一直都是牛牛民啊	(领先,马灯,3)
 366:27 - 366:38		()
 367:54 - 370:18	大蘑菇和火箭可以免受伤害	(人家,道具,可以)
 370:37 - 371:55	主播一局捡这么多金币是为了攒给白胖的彩礼吗	(白胖,彩礼,攒)




 372:11 - 373:13	睡前看职业挨揍主播[妙]	(挨揍,职业,睡前)
 375:08 - 378:41	借8000还320吗	(卡,他,8000)
 379:12 - 379:53	那咋了	(咋,那,了)
 379:59 - 380:30	对面有胖哥	(有,队,想不出)
 384:42 - 387:36	依旧射了也等于0射[哇]	(射,非得,0)
 389:54 - 390:56	带命玉用逆鳞吧	(广角镜,能带,好歹)
 394:42 - 396:06	他鳞射只打两下，但是畏缩能两次	(畏缩,恶波,风狗)
 396:19 - 396:26		()
 396:36 - 401:52	哦  那我知道他要打什么了	(的,融化,他)
 405:01 - 406:32	两次鳞射都只打两次的运气，还在想着1/8概率的CT	(概率,的,有)
 420:04 - 420:44	确实没办法了	(确实,办法,了)
 425:18 - 427:10	你加了速度他mega就不可能比你快	(你,],[)
 427:40 - 429:03	你看对面的蛤蟆，绿绿胖胖的[哇]	(哇,],[)
 429:11 - 429:22		()
 429:33 - 431:11	你要变化环境  要加道具和新的宝可梦进来	(要加,环境,对冲)
 431:30 - 432:00		(笑,死,哇)
 443:18 - 443:30		()
 443:47 - 445:46	miss了	(￣,〜,miss)
 454:24 - 455:36	美好的一天清晨从ztmex开始	(蓝精灵,打不动盾,清晨)
 455:42 - 457:16	增火龙怎么你了	(喷火龙,怎么,了)
 463:49 - 465:38	对面舞那么久一次火舞都不打	(对面,打,我)
 470:40 - 471:23		()
 472:05 - 472:52		(炸死,伤心,多)
 475:53 - 477:37	对面吓哭了	(妙,],[)




 479:55 - 483:33	刚刚主播不是说同样的技能，不同的宝可梦带着额外特效也会不太一样	(技能,一样,的)
 483:56 - 486:24	那合着宝可梦和技能的适配还得自己额外记啊	(着,连,中)
 492:38 - 492:58	把盔甲鸟玩成了钢铠鸦[捂脸]	(铠鸦,钢,鸟玩成)
 502:55 - 503:39	牛逼	(打死,逼,直接)
 508:34 - 512:46	这场空了几个流星群啊	(？,放生,啊)
 513:05 - 514:28	太夸张了	(概率,游戏,这)
 514:55 - 515:46		(蟹黄,泡,阳澄湖)
 516:35 - 517:32	草，大闸蟹	(不来,说好,爆)
 520:37 - 522:32	他多拖一会儿理论上你能把自己毒死（bushi）	(走马灯,多,拳)
 523:10 - 525:07	因为没凤王	(剧本,打手,高贵)
 525:39 - 525:47		()
 528:05 - 530:09	笑死我了	(啊,了,。)
 530:49 - 534:47	这游戏的概率打完不生气是没办法的	(的,想,你)
 535:50 - 536:32	两个厚脂肪	(猪猪,脂肪,厚)
 537:51 - 539:08	已经卑微到一定要中啊	(啊,输出,用意)
 544:21 - 544:23		()
 554:22 - 556:06	刚刚还说一把就完事	(LOSE,解决办法,老串)
 557:56 - 558:46	那咋了	(攻击,的,出去)
 558:56 - 559:19		()
 560:57 - 561:34		(哎哟,顶,被)
 564:09 - 565:50	怎么莫名其妙就6ren了	(！,加纳,666)
 570:01 - 572:42	那游戏我还真有 绿色的	(],[,的)
 573:24 - 573:42		()
 573:46 - 574:19	胖哥就不会被围攻	(围攻,教学相长,怎)
 575:51 - 576:11	那Ko数有啥意义	(人头,数有,Ko)




 579:37 - 580:32	游戏声音有点大，听不清你说话[委屈]	(单买,兑换券,听不清)
 580:41 - 580:49		(趴,马)
 582:22 - 583:21	好像还有怪叫	(加纳,886,试试看)

