全场最高能：75:41	这不点个孬

其他高能：
 5:44 - 6:18	主播还在惠州吗，我明天早上能去寻你吗[dog]	(],[,比心)
 164:51 - 165:45	这不飞	(，,哈哈哈,状态)
 167:40 - 168:55	什么坠机	(坠机,],[)
 169:10 - 170:28	你的运气好过吗	(么,运气,准)
 171:43 - 172:32	急啥	(急,走马灯,运气)




 173:36 - 175:59	胖哥是谁啊	(胖哥,流水,主播)
 176:08 - 176:31	白胖还真没看过	(0.5,看过,-)
 176:54 - 177:04	这玩马里奥的主播我知道的就3个，林克，白胖，小杰，居然互相都有矛盾，你们...	(，,互相,这玩)
 178:27 - 182:11	胖哥现在这么惨都是你害得[捂脸]主播还恬不知耻在直播	(了,，,那)
 190:52 - 191:06	阎王爷的阴兵都是向胖哥借的	(走马灯,服务,一条龙)
 191:13 - 191:17		()
 191:37 - 194:59	那咋了	(那,咋,了)
 197:50 - 199:42	我是胖哥，那咋了	(了,已经,大使)
 201:03 - 202:10	最后那一句是人能说出来的呀	(一句,666,的)
 203:38 - 204:19	还好我被拉黑了看不到	(海南,你,了)
 204:24 - 204:39	Fayday让观众看	(没品,Fayday,主播)
 205:16 - 205:29	那你可以给我竖大拇哥了[哇]	(懒得,大拇哥,竖)
 205:35 - 205:44	盖了帽了	(帽,搜,刚)
 206:13 - 208:58	我只看完了最没含金量的6月	(的,了,])
 210:18 - 211:26	没看专栏看的视频呗	(看,专栏,，)
 214:15 - 214:27	哪里看	(高手,”,“)
 216:19 - 218:42	白胖是世界第一，为什么你不是	(第一,白胖,世界)
 218:56 - 219:01	主播就是爱牛	(爱牛,就是,主播)
 222:12 - 223:57	好图	(],[,好)
 227:19 - 228:10	作为up主，做好自己，分享乐趣和热爱给需要的人就好了	(主,],[)
 235:29 - 236:48	那他为什么不扔你[dog]	(你,],[)
 236:55 - 238:24	白胖也不可能是黑莲花啊	(怎么,小杰,也)
 238:39 - 239:16	os:好想被胖哥举	(被,好,息)




 258:17 - 260:38	有没有想你娶了她然后抱着走的	(你,的,旧)
 266:22 - 267:11	dd吧	(dd,双写,英语)
 267:14 - 267:24	你也是英语老师	(道德感,一丁点,hentan)
 269:29 - 269:48	胖哥来就一次过了	(就,胖哥,大嘴巴)
 270:52 - 270:55		()
 271:21 - 272:37	杰哥遇到打不过去的 还出去团外打呢	(飞图,孙子,-)
 272:45 - 273:03	这代公主把马里奥赶出城堡了	(城堡,公主,差不多)
 273:24 - 274:15	今天飞图的播报一直不出，然后重写了下	(出,bug,不)
 274:24 - 274:29	孙子滑失败[哇]	(听到,此阵,汝可识)
 278:19 - 279:39	蒙的	(么,蒙,的)
 287:31 - 288:51	悲哀啊	(悲哀,],[)
 295:00 - 295:21	群牛争霸	(互殴,争霸,群牛)
 297:43 - 299:47	哇登顶	(],[,爱)
 301:18 - 302:52	那咋了[哇]	(哇,],[)
 303:08 - 303:11		()
 315:28 - 316:09	主播今天登顶了吗	(?,666666666666666,馨)
 317:14 - 317:47	来搞我[爱]	(快,敲碎,弯道)
 318:57 - 320:30	哪个模式啊，为啥我感觉玩的不是一个游戏	(哇,],[)
 323:18 - 325:07	这是表演的一部分吗	(淘汰,表演,哇)
 329:44 - 330:18	是为了	(滋滋,taxi,裤)
 331:16 - 331:36	可以点了孙孙	(孙孙,准,点)
 331:49 - 332:27	显灵了	(了,显灵,皮卡丘)
 333:08 - 334:21	难道说樱花🌸妹环节了	(？,牛哇,难道说)
 341:16 - 341:38	𡿨打头的是谁啊	(啊,打头,𡿨)
 341:51 - 342:30	没事，下一局他会打回来的[dog]	(未,🌉,大桥)




 343:07 - 343:11		()
 357:15 - 358:36	笑死	(害人害己,盯,搞)
 359:18 - 359:47		()
 360:53 - 363:23	他加速跑你前面要震你没震到还吃了你的绿壳[哇]	(哇,],[)
 363:43 - 365:13	555睡醒了	(555,5,])
 365:21 - 365:53	神庙的第一个近路是不是不满速上不去啊	(速上,不满,第一个)
 366:00 - 366:18		(群里,当时,发)
 373:05 - 374:13	本来白胖+喇叭稳第一了	(松饼,张角,血亏)
 376:32 - 379:31	老板糊涂[委屈]	(],[,了)
 379:49 - 381:25	第一只应该是大剑鬼一确or妙蛙花赖着不死	(地龙,大剑,鬼)
 394:19 - 394:34		()
 400:34 - 400:55	先舞后me	(me,先舞,后)
 402:19 - 403:09	没冰牙地龙站着打完了呀	(没冰牙,地龙,站)
 403:37 - 404:07		()
 404:10 - 404:24		(推队,百变,肯定)
 404:27 - 406:33	大部分都是小振翼发打法  吉利蛋还不如上皮克西	(？,是,吉利)
 406:39 - 408:06	可能是结实的	(结实,吧,推)
 409:33 - 412:53	你一个气象球也打不死他 他应该是结实的	(气象,球,了)
 415:03 - 417:33	主播一赢就说人人机 人机[傲娇]	(人机,对面,了)
 417:49 - 421:35	对面可能真是围巾的了	(了,爆,自己)
 422:29 - 424:17	多龙  单打吗  多个mega手  可以换个强力mega的输出手	(蛤蟆,妙子,的)
 427:55 - 428:17	刮痧师傅	(刮痧,CT,打个)
 428:22 - 429:10	他P斧螳螂早点上呗	(螳螂,上,早点)
 429:49 - 430:37	你又在内涵我多龙巴鲁托	(又,在,压力)

