全场最高能：203:40	然后他进了你的门

其他高能：
 8:17 - 9:49	最喜欢看孙孙玩多人图了	(？,晚上,好)
 120:22 - 120:30	乐[dog]	(全损,贪,秀)
 121:36 - 122:08	豆包说林克和妙子结婚了	(豆包,评价,7100)
 130:16 - 131:16	乐[dog]	([,],，)
 133:37 - 133:53	技不如麦	(偷,了,不如)
 142:38 - 143:36	这个精彩	([,],7000)
 146:37 - 146:41	蒙的[dog]	(金梅,无汤,日)
 146:49 - 147:34	7000睡觉	(国际,7000,睡觉)
 149:33 - 149:39	啥情况，被撞飞了	(情况,飞,撞)
 151:09 - 152:34	技不如人[dog]	(;,技不如人,死)




 154:22 - 155:38	这反应没谁了	(？,;,了)
 156:48 - 157:07	被顶死哈哈	(一段,基本功,另外)
 157:31 - 158:19	笑死我了	(了,过来,笑)
 158:33 - 158:36	只是因为松饼表白太频繁、太直白，加上林克不爱多解释，外人容易误以为是小号...	(太,误以为,外人)
 160:14 - 161:04	Fayday = 林克直播间的「周五专属梗」，谐音 Friday周五+ ...	(;,送,周五)
 163:54 - 164:53	@第二十五夜 括弧里的也是豆包说的吗[dog]	([,],捂脸)
 167:07 - 168:24	路易dlc打爽了	(了,等,小蓝)
 171:21 - 171:45	嘲讽逼	(他,这边,！)
 173:38 - 174:13	那咋了	(了,士,大戾)
 175:24 - 176:10	好图	(？,主播,可以)
 183:54 - 184:26	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(了,做好,作为)
 186:08 - 187:31	确实硬气	(嗟来之食,骨气,硬气)
 188:26 - 189:00	自己菜	(哞,菜,[)
 189:08 - 191:32	说的没毛病啊，确实	(主播,吗,的)
 200:59 - 201:55	请大家多给主播一些宽荣，不要做比较，毕竟白胖8000分，主播只是娱乐主播	(？,走马灯,士)
 203:04 - 205:20	然后他进了你的门	(?,？,;)
 215:18 - 215:26	蒙的	(蒙,的)
 220:33 - 222:05	@クリーム松饼 饼宝，这点了，咳咳咳，你懂的[dog]	(，,主播,人)
 224:40 - 226:50	海南人是另外一个主播吗	(是,的,主播)
 228:24 - 231:01	主播我被胖哥拉黑了，你可以让他把我放出来吗，我可以帮你上分[dog]	(你,哈哈哈,发力)
 239:15 - 239:32	坏了	(了,坏,来)




 240:32 - 244:45	好胖哥	(！,？,;)
 253:45 - 254:44	哇，登顶	(！,登顶,雷)
 254:54 - 254:58		()
 266:30 - 267:49	这下好了	(！,了,好)
 282:20 - 283:09	什么叫抄袭[dog]	(抄袭,咋,那)
 286:30 - 290:15	@我又不是超人 任天堂Switch2独占的超级马力欧赛车世界	(！,了,555)
 290:40 - 291:08	用电脑可以玩吗	(新作,会播,吗)
 291:40 - 291:45	[dog]二代没破	(二代,破,没)
 295:33 - 296:57	胖哥快来	(！,了,今天)
 297:52 - 299:03	我在近道用火箭被拉了个远路[傲娇]	([,],了)
 300:19 - 300:57	是啊，我也不认识，胖哥是谁	(是,我,胖哥)
 305:48 - 305:58	马里奥赛车任天堂游戏，电脑不能玩要买switch2	(玩要,switch2,任天堂)
 308:25 - 310:30	@🍔⁷³²⁵❤️普惠惠 笑死我了[dog]	([,],了)
 315:51 - 316:31	哇双雷	(？,雷,哇)
 320:24 - 323:21	好标	(？,加纳,[)

