全场最高能：188:13	切割了

其他高能：
 8:09 - 9:22	偷鸡	(;,弹簧,蒙)
 367:16 - 372:37	宝宝得先去一趟不同的玩偶解锁了之后百变怪玩偶才能随机好像[dog]	(dog,[,])
 372:40 - 372:47		()
 373:19 - 375:17	搜嘎[dog]要云游戏通关了	(游戏,羽毛,换)




 376:29 - 378:43	不对，不是召唤三个宝可梦，是能召唤凤凰[dog]	(⁄,dog,•)
 380:25 - 380:44	怎么有点像我的世界了[捂脸]	(有点像,世界,捂脸)
 380:59 - 382:46	@🐟Manta🐟 这是任天堂Switch2独占的新作pokopia	(🐟,是,的)
 387:13 - 392:14	@クリーム松饼 搜到了[dog]还真有，19年玩的，我当时还在读初中呢[...	(玩,dog,[)
 392:34 - 392:45		()
 392:55 - 395:50	@クリーム松饼 你一天不睡觉的时间全在直播间了，还能忙啥	(小时,睡觉,dog)
 396:00 - 396:43	白天不会犯困吗	(不会,累,除非)
 408:47 - 408:57	我怎么没搜到说必须会有台座[花]	(搜到,台座,必须)
 410:45 - 411:43	把整个岛挖空就不愁矿了	(其刚,咚,矿)
 412:30 - 414:29	翻了五个攻略网站都没有这个说法，真的有吗[dog]	(号线,吗,是)
 414:43 - 416:10	我大概知道了，你已经拿到保底了应该是，每个岛随机会有cd或者人类的信息	(拿到,岛,了)
 416:26 - 416:39	快进到挖到海水淹死	(淹死,海水,进到)
 416:52 - 416:58		()
 421:47 - 423:38	你是真要挖完啊[dog]	(→,挖,了)
 430:26 - 431:44	你有别的能吹的啊	(慢慢,别的,的)
 442:34 - 442:46		()
 443:04 - 443:22	@小发发都给你 这是任天堂Switch2独占的新作pokopia	(小发发,新作,Switch2)
 445:47 - 445:55		()
 449:24 - 450:15	这个游戏叫什么名字啊	(这个,主人公,原来)
 458:41 - 461:46	@小徐Ya 这是任天堂Switch2独占的新作pokopia	(@,松饼,momo)




 464:08 - 466:12	效率低而已[dog]	(嗡嗡响,农场,QQ)
 467:04 - 467:46	不是说好多人都通关了	(好多,通关,说)
 469:39 - 471:42	@奇迹男孩 这是任天堂Switch2独占的新作pokopia	(这是,OLED,男孩)
 477:06 - 479:48	全满6小时，我觉得不可能	(全满,小时,6)
 482:48 - 483:26		()
 485:16 - 486:16	刚才看到你视频有个评论	(一旋击,少爷,就播)
 488:46 - 489:11	笑死	(笑,死)
 489:39 - 489:43		()
 492:06 - 494:34	早上好[花]	(城市,别的,早上好)
 496:26 - 500:04	快龙的家需要水里草	(草,￴,水上)
 503:48 - 504:35	这是什么游戏	(雷丘,什么游戏,这是)
 508:34 - 511:06	铜是不是好了[dog]	(侠,音响,是不是)
 512:53 - 515:49	怎么变成奶龙了	(奶龙,变成,的)
 516:01 - 516:05		(潜水,差,可以)
 516:26 - 516:40		()
 519:43 - 519:50		()
 519:54 - 520:24		()
 520:45 - 521:07	@不昧因果 早💗💗💗	(💗,因果,不昧)
 523:47 - 524:27	什么动静	(动静,什么,走马灯)
 526:21 - 528:53	主播主播我没有游戏机 能给我买一个吗	(吗,的,没有)
 531:34 - 531:41		()
 531:48 - 532:50	多龙：多槽型啊 加被拆了	(多龙,被,了)
 533:39 - 534:32	看看巨锻匠家的附近石块是不是	(我,石块,锻匠)
 534:53 - 534:58	拉电线	(拉,电线)
 537:35 - 537:42	走马灯	(加纳,走马灯)
 538:46 - 539:42	@你说菜不菜🤖 这是任天堂Switch2独占的新作pokopia	(这是,啊,🤖)

