全场最高能：32:47	被走马灯了啊

其他高能：
 1:19 - 1:37	难	(比心,],[)
 135:16 - 135:50	偷鸡	(统计,胖哥,不曾)
 137:53 - 138:32	被胖哥包围	(鬼魂,],[)
 139:29 - 140:29	卖手柄的	(的,左右,手柄)
 140:39 - 140:47	这钻洞技术勉强和季小麦打个平手	(平手,勉强,打个)
 149:29 - 149:43	前功尽弃	(前功尽弃)
 150:01 - 150:21	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(你,飞,又)
 152:57 - 155:30	盲区下滑技不如人	(…,;,了)
 156:53 - 156:57		(完美,完,;)
 156:59 - 157:16	动帧格了[dog]	(dog,],[)




 160:28 - 161:01	这才是该飞的图，纯折磨	(这才,5,6)
 161:09 - 161:23	麦早过	(…,8,玩)
 169:01 - 170:02	这图胖哥上个厕所的功夫就过了	(委屈,],[)
 174:03 - 175:10	666[赞]	(666,nb,蒙)
 178:40 - 179:28	今天是打团之夜，我要听着打团的声音睡觉	(打团,…,今天)
 181:46 - 182:27	老板大气💗💗💗	(老板,;,大气)
 182:56 - 183:33	急急急	(急急,下滑,一会)
 183:34 - 185:26	主播马上写的小说就财富自由躺平了，需要你们在这送三瓜两枣吗	(了,！,老板)
 185:42 - 186:09	故意等一会儿给isun们上号时间	(打团,点赞换,一会儿)
 186:25 - 186:30		(狙到,dog,])
 195:18 - 197:36	@クリーム松饼 饼饼，我不在的日子里孙孙分都越来越高了[委屈][委屈][委屈]	(],[,dog)
 197:44 - 197:56		()
 203:59 - 206:16	好雷	(！,了,就)
 211:14 - 211:42	没没能能的进入十六名啊	(哈哈哈哈,撤离,舍不得)
 212:08 - 212:52	一直不用道具不会玩的感觉不爽吗	(不爽,一直,道具)
 213:26 - 213:58	做得越多加速越快	(越,加速,做)
 216:09 - 219:33	后面的人太疯狂了[捂脸]	(哈哈哈,的,了)
 221:11 - 222:49	黄雀在后[dog]	(哈哈哈,;,哈哈哈哈)
 223:00 - 223:50	你抱着也撞不了胖哥	(也,胖哥,决赛圈)
 225:03 - 225:18	真的吗 我不信	(剧本,不信,真的)
 229:17 - 231:25	还是胖哥好，不偷这壳就没了[哇]	(是,],[)
 231:31 - 232:14	今天才知道原来是这么回事	(是,饼,这)
 242:45 - 242:51	金蘑菇[dog]	(金,蘑菇,dog)




 243:24 - 244:47	@クリーム松饼 饼饼，你可以每天下午2～5点在bili看话痨直播学技术[dog]	(],[,dog)
 250:26 - 251:37	@Yike 外战都是流口水的[dog]	(！,外战,666)
 253:22 - 253:38	一起合作吧	(合作,一起,咋)
 262:15 - 263:46	马车8还是马车世界	(！,车队,什么样)
 269:43 - 269:53	开了	(了,发力,target8000)
 272:36 - 273:58	该 叫你巡胖哥	(该,了,舒服)
 274:04 - 274:29	胖哥和河田学的 从不记仇 有仇当场就报	(身前,只要,有仇)
 274:45 - 274:47		()
 283:53 - 286:48	望庐山瀑布	(大戾,士,是)
 286:55 - 287:14		(龇牙,奶牛,搞笑)
 288:53 - 290:17	火焰花砍伐证办下来了	(花,dog,])
 291:36 - 292:55	是松饼寻的吗[dog]	(哈哈哈,不怪,你)
 293:03 - 293:07		()
 293:31 - 293:52		(哈哈哈,必开,大弯)
 294:35 - 295:27	那就来个千本樱	(樱,那,脸本)
 295:35 - 296:10	奖杯城是我王图[dog]	(王图,城是,奖杯)
 298:04 - 299:02	我都不知道主播是怎么发现的	(都,闪电,偷)
 299:18 - 300:02	我的羽毛躲蓝龟呢	(羽毛,躲,蓝龟)
 303:11 - 306:42	那我胖哥和爱牛岂不是不请自来了	(！,？,加纳)
 308:02 - 308:20	DLC是只能SWITCH2玩吗	(SWITCH2,DLC,只能)
 309:44 - 310:08	感觉创意挺敷衍的	(敷衍,创意,挺)

