全场最高能：169:46	这0.05s差距在哪

其他高能：
 1:57 - 2:21	中秋快乐	(中秋,快乐,！)
 150:51 - 152:19	怎么不打多人了 许可证过期了吗	(⌒,666,许可证)
 153:10 - 153:14		()
 155:05 - 155:54	压力手柄的来了	(手柄,用,官方)
 159:46 - 161:51	技不如人x4	(慢,技不如人,这次)
 163:28 - 163:50	不好	(破纪录,干嘛,不用)
 168:59 - 171:14	这0.05s差距在哪	(刷,了,哈哈哈哈)
 172:33 - 175:09	慢了	(了,技不如人,更慢)
 176:23 - 178:01	算了吧，技不如人	(蒜,鸟,技不如人)
 178:41 - 179:16	胖哥来早刷了	(鸟,蒜,早刷)
 187:17 - 187:25		()
 188:57 - 191:06	智者永封	(智者,永封,？)
 207:19 - 208:11	俩手柄十字键不都是合体的吗，又不是分体十字	(分体,十字键,的)
 208:18 - 208:44	好按一点	(节省成本,微动,国产)
 210:06 - 210:27	计划报废	(报废,计划,啊)




 214:40 - 214:46	主播上八千了嘛	(嘛,八千,上)
 214:51 - 215:46	那咋了 1400*3还等于5200呢	(等于,*,了)
 217:17 - 218:45	《这会肯定过了》	(威尔,还,哈哈哈)
 223:29 - 225:09	我记得美神也玩这个，他怎么不播了	(他,播,打压)
 225:45 - 226:31	0人	(4000,过,woc)
 227:07 - 227:22	ver	(ver)
 228:31 - 229:22	确实没过	(没,点,自己)
 229:44 - 230:24	操作变形	(周而复始,嘴,龟)
 230:57 - 233:40	4000+了	(了,鸟,蒜)
 233:45 - 233:53	蹲跳会减速吗	(减速,跳会,蹲)
 234:14 - 237:04	五次了感觉可能就不是开头的事了	(了,一帧,差)
 238:02 - 239:15	作者说这图第一版被灯哥打团遇到了，被灯哥偷了[花]	(被,能,灯哥)
 241:47 - 242:34	我记得小斜坡加不了速	(剩下,速,加)
 246:14 - 246:17		()
 246:56 - 247:17	主播的多人许可证 刚刚被胖哥回收了 现在不好问	(数太高,NS1,试试)
 250:14 - 253:05	技不如人x2	(的,蒙,了)
 255:33 - 256:52	主播跟我说说现在是不是不可以出管子的时候快速坐莲然后回去了	(像素,，,踩)
 264:06 - 264:08		()
 264:51 - 265:45	为什么女的不能认，为什么不是母认我要挂你	(挂,大哭,啥)
 268:27 - 269:10	是我最喜欢的故事环节	(我,是,食)
 271:26 - 272:16	哦原来是那谁	(谁,是,那)
 272:32 - 273:52	梦醒了	(梦醒,女儿,了)
 274:22 - 274:26		()
 279:48 - 283:47	本来准备给主播刷火箭的，但是没忍住去吃了个荞麦面	(，,但是,？)




 284:14 - 284:20	是不是那个wind什么的	(wind,那个,是不是)
 285:28 - 286:18	牛6不开	(的,666,美神)
 288:07 - 288:10		()
 293:21 - 294:21	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(蛋糕,朋友,仇人)
 309:55 - 310:06	母牛自己喝自己奶	(自己,母牛,奶)
 310:18 - 310:31	好喝[花]	(雷劈,好喝,要)
 313:20 - 314:58	YOU LOSE	(大笑,],[)
 317:08 - 317:12		()
 317:28 - 317:36	食物的加速和蘑菇的加速有区别吗	(加速,区别,的)
 317:45 - 319:49	三级是2个蘑菇，持续3.2秒	(蘑菇,三级,食物)
 322:58 - 323:23	但是好吃啊[哇]	(好吃,但是,啊)
 331:32 - 333:12	哇登顶	(蓝龟,呢,过去)
 337:43 - 337:56	那咋了	(雷来,い,し)
 338:07 - 338:11		()
 339:39 - 341:44	别和低分选手一般见识，领跑才是最安全的[花]，闪电可遇不可求[花]	(闪电,花,耗着)
 346:54 - 348:04	来个闪电	(来,蓝龟,闪电)
 348:49 - 348:56		()
 349:06 - 350:52	来了	(了,瀑布,庐山)
 353:29 - 355:21	松饼一只手丢闪电电主播，另一只手回弹幕好厉害	(没偷,松饼,])
 359:32 - 360:42	好雷	(细节,不吃,道具)
 363:46 - 365:45	道具赛不吃道具，就像西方没有买了佛冷	(了,凭,就)
 370:07 - 370:51	猩猩第一[哇]	(猩猩,可惜,差个)
 371:04 - 371:11	技不如6000	(6400,概率,6000)
 372:56 - 373:59	今天怎么没有喝水bot提醒了[dog]	(哈哈哈,提醒,豆汁)




 374:36 - 375:45	起码吃到自己蘑菇了	(蘑菇,了,自己)
 375:50 - 379:15	主播你怎么用无敌时间躲闪电	(？,无敌,时间)
 381:16 - 383:10	秀麻了	(！,了,鱿)
 388:28 - 388:34	鲟	(鲟)
 390:13 - 390:39	主播买牛了	(isun,买,牛)
 392:40 - 392:50		()
 393:21 - 393:22		()
 393:37 - 393:44		()
 395:33 - 396:24	减50	(-,8430,50)
 399:36 - 400:00	灯了就能换了	(会换,れ,だ)
 401:56 - 402:41	好高啊[哇]	(好,断,唱起来)
 403:27 - 403:58		(？)
 405:33 - 405:36		()
 409:26 - 410:46	蝗虫过境	(🦗,卧槽,唱)
 413:08 - 415:21	我点了半盒烤肉和一份烤蘑菇	(还,呢,哇)
 423:28 - 424:56	主播的炮能持久点就好了	(天气预报,的,劈)
 426:07 - 426:59	主播什么时候9000分	(话,奇妙,中国)
 427:32 - 428:53	他可以供你夏天取暖	(取暖,夏天,供)
 430:33 - 433:00	主播我是人脉，放我出来我寻你上分[哇]	(我,组队,人脉)
 437:07 - 442:33	我认为主播把牛牛切割了就能回去了，掉下来完全是没切割牛牛树敌了	(了,牛,切割)

