全场最高能：22:36	爱牛都买了胖哥不买

其他高能：
 1:33 - 2:21	我都以为不来了呢	(怎晚,孙,孙怎晚)
 395:22 - 396:07	幻想时刻	(幻想,1024,时刻)
 396:21 - 397:04	牛车呢牛车呢牛车呢	(牛车,呢)
 400:15 - 402:16	你按-号可以直接筛选所有洞啊 你这地图好乱[手机]	(的,按,地图)
 413:45 - 414:13	在上面就能打到这个大的	(上面,大,到)
 414:32 - 414:58	藏b	(飞,另一边,b)
 426:09 - 427:59	妙来了妙**子	(*,妙,来)
 432:55 - 433:51	硬刷也不是不行吧	(认不出,🔒,硬刷)
 434:20 - 435:46	过分吗	(过分,吗,真正)
 438:24 - 438:40	剑客都带斗	(带斗,剑客,都)
 438:56 - 441:29	这个好啊	(.,,,这个)
 444:37 - 444:45		()
 444:49 - 446:54	闪耀幽灵有啥用吗	(继续,幽灵,做)
 447:00 - 450:47	全属性吗	(全,3,300)
 453:01 - 453:12		()
 454:18 - 454:40		(哈哈)
 456:14 - 458:48	1级的没用啊，都没必要做	(级,了,啊)
 468:27 - 469:54	为什么总不喜欢去另一边看啊	(另一边,去,主播)
 470:00 - 470:10		()
 471:13 - 474:06	用闪甜甜圈，出了闪再刷	(噔,了,出)
 474:25 - 474:39		()
 475:07 - 477:39	系统不让刷了	(刷,了,不让)
 483:14 - 483:34		()
 484:55 - 485:04		()
 485:10 - 486:18	转一圈没出闪重开了，这任务司马了	(了,任务,，)
 493:25 - 493:34	乐	(！,加纳,乐)
 493:38 - 497:36	加纳[哇]	(？,金球,没)




 498:51 - 498:56		()
 499:47 - 501:04	为啥要刷索财灵啊	(啊,要刷索,要出)
 501:40 - 503:27	朱紫刷小体型的闪光得开拍照模式	(闪光,喜欢,吧)
 504:09 - 505:01	闪+1又不是没加成  耍着玩呗	(不够,耍,加成)
 507:18 - 507:31	还行	(行,还)
 507:48 - 508:05	74751号	(74751,号)
 508:19 - 508:27		()
 509:38 - 511:13	我捉完裂空座了怎么没有那个路卡利欧z的任务啊	(又,了,能)
 516:32 - 516:41		()
 516:55 - 517:39	主播应该把怪打死然后等他刷新	(然后,刷新,肉)
 525:27 - 526:04	鱼与熊掌不可兼得，任务不做了直接回城开刷	(折磨,回城,兼得)
 526:13 - 526:45	[看]不然周一的日子怎么过	(看,痛苦,日子)
 526:55 - 529:42	万一就差在甜甜圈了[哇]	(圈,甜甜,])
 533:10 - 535:02	昨天晚上开始就是牛车，你来晚了	(牛车,😭,呢)
 538:19 - 538:53	乐	(乐)
 540:41 - 541:10		()
 541:42 - 548:51	你时间没了直接读备份存档到进洞前，再进去原地传送刷啊	(了,？,刷)
 549:17 - 552:05	加纳了	(，,了,就)
 552:14 - 552:28		(逆天,人,为啥)
 552:48 - 553:14	温馨提示你走到桥那开始，后面的怪就已经默认刷新了	(那美,伊邪,桥)
 553:17 - 553:23		()
 556:29 - 558:35	一沾宝可梦就是十几个小时起肝，是真看的害怕	(的,，,看)
 561:38 - 562:45	你现在还要刷个小火龙再睡那是真的可以不用睡了	(了,呆呆,兽)
 566:36 - 566:57	这游戏能留给主播刷的东西所剩无几了	(所剩无几,摄像头,真哭)
 568:02 - 568:05		()




 568:33 - 568:52	就是你调差点满了，刷的那个坑	(坑,5w,说错)
 573:37 - 575:06	那个日本小哥每天刷十五个小时，三级闪耀，现在还没出呢	(，,了,闪耀)
 577:08 - 577:21		()
 577:47 - 578:27	佛柑果是刷道具力树果的，别瞎用啊[手机]	(🍩,五毒俱全,太大)
 589:06 - 589:26	还在爬房子，这游戏除了爬房子还有其他玩法吗	(房子,爬,王玩)
 590:39 - 590:54	咋走着走着就闪了	(着,走,是)
 590:59 - 591:17	好运气不错	(好运气,粉蝶,虫)
 591:25 - 591:35	这个点位的小箭雀我起码闪了6只七只了	(七只,小箭雀,点位)
 592:08 - 592:49	里面有闪符刷的比我外面慢不知道多少	(符刷,外面,慢)
 596:30 - 596:58		()
 597:10 - 597:35	孙怎么竞爱用一些技能前摇贼长的技能和怪，同样是神速，快龙就比z神快[看]	(技能,，,和)
 609:57 - 610:47	时间不多了哦	(了,时间,好)
 612:32 - 613:11	币能干嘛啊	(不断,币能,地上)
 617:49 - 620:04	没买朱紫dlc的现在还推荐买吗	(dlc,的,了)
 622:32 - 625:35	那你找吧，这玩意就是其他地区形态的并桌子	(龙,段,，)
 630:21 - 630:43	去宝可梦中心存档好嘛	(没白,去宝,满意)
 630:44 - 632:07	该  让你不保存	(哈哈哈,该,服)
 632:49 - 633:24		()
 636:44 - 637:32	你谁啊	(烂,吃个,凑合)
 639:39 - 639:43		(乱跑,脚手架,经典)
 640:01 - 640:25	梦醒了	(ztmxr,炸,梦醒)
 649:25 - 649:58	多买点普通伤药，直接999，以后脱战按下右摇杆回血	(回血,右摇杆,脱战)




 652:48 - 654:00	@クリーム松饼 现在在干啥 刷闪还是集图鉴	(ム,リ,ク)
 658:35 - 659:04	这个za怎么看起来怪怪的	(孙播,怪怪的,看起来)
 667:56 - 669:10	这东西捕获率巨低[看]	(当初,巨低,努力)
 670:09 - 671:04	呜呜呜，我老公还不睡 不会嘎我手机里吧	(老公,还,我)
 678:26 - 681:22	主播又在走马灯了	(主播,你,么)
 681:43 - 682:10		()
 682:37 - 682:52		()
 683:17 - 683:18		()
 684:17 - 685:40	也就是这游戏没天眼  不然能看金球主播更爱玩了	(主播,看白,我們)
 685:51 - 688:04	@一抹鹅黄待何人这边都没弹幕了[看]	(],[,比心)
 696:53 - 697:34	这玩意儿真有这么好玩	(玩意儿,真有,好玩)
 699:09 - 702:22	我都吃完午饭了 主播还在	(主播,在,了)
 704:15 - 704:59	又通宵了	(猴,蓝色,红色)
 710:55 - 712:21	好奢侈呀，5星甜甜圈，我还在2星甜甜圈跑酷4星打球	(星,在,跑)
 714:58 - 717:21	现在补水套都没用了	(套,补水,禁言)
 717:39 - 722:36	其实观众已经加纳了，现在在看的是手机	(了,？,加纳)
 723:09 - 723:33		()
 733:26 - 734:38	我都考完科目一科目四了，主包还在	(？,科目,在)
 735:32 - 735:37		()
 735:56 - 737:28	上午的课都上完了，主播还在播	(还,了,直播)
 741:01 - 748:18	应该是做完任务出洞的时候就定了	(了,试试,不)
 751:02 - 751:39	昨晚看的孙子播，怎么还在播，又是通宵[dog]	(播,恶,鹿)
 768:35 - 770:42	这么快晚上12点了吗	(吗,了,极限)




 772:37 - 774:41	我梦醒了怎么主播还在走	(还,那,了)
 777:14 - 778:00	小图刷到捡垃圾任务，必定在高处有最后几个	(高处,小图,捡)
 781:29 - 783:14	太可惜了	(哈哈哈,捕获,可惜)
 783:47 - 786:46	卧槽，这主播不睡觉的吗	(的,？,玩)
 788:54 - 795:47	那阿传出的时候达克莱伊谢米玛娜菲什么的不也是复刻抓一遍了又出一遍[dog]	(了,的,歌姬)
 796:40 - 801:39	歌姬：抓不抓  不抓走了 加纳	(加纳,了,不)
 804:37 - 805:00	什么年代了输入不给复制粘贴	(复制粘贴,输入,年代)

