全场最高能：32:54	走马灯线

其他高能：
 1:08 - 1:55	主播心态炸了	(炸,了,金河田)
 186:51 - 187:09	也不一定，可能发现了不是自己的事，懒得说	(世宇,良心,华立)




 187:16 - 189:23	跑一分钟图 最后来个钻洞 可太会作图了	(跑,钻洞,钻)
 194:04 - 195:20	国行 跟被ban了的机器差不多	(委屈,],[)
 198:31 - 198:42	惠菇火锅	(火锅,牛瘪,叔叔)
 204:42 - 204:46		()
 206:49 - 208:02	什么是和田[哇]	(什么,河田,是)
 209:15 - 210:45	抽了吧	(抽,],[)
 210:48 - 211:00	怪不得热熔胶了，原来是你小子把答辩塞给人家了	(热熔胶,人家,了)
 219:08 - 219:54	惠普电脑	(电脑,游戏,吗)
 227:07 - 228:03	主播你能把我从黑名单放出来吗我会帮你堵你之外分最高的人	(极限,？,互相)
 228:21 - 228:30		()
 230:14 - 231:19	主播，能把zmd车队从黑名单里拉出来吗，我们帮你堵住除你以外分最高的人	(，,pua,你)
 232:49 - 232:57		()
 234:51 - 235:54	海南椰子树，电来	(车,椰子树,～)
 238:22 - 240:56	悲哀啊	(哈哈哈,望,对)
 245:27 - 245:58	我也善良啊[dog][dog][dog]	(dog,善良,])
 249:15 - 251:14	悲哀的善良啊	(蓝龟,灯顶,])
 259:47 - 262:05	这是善良的红壳[哇]	(],[,委屈)
 270:18 - 273:33	悲哀啊	(],[,大哭)
 276:27 - 278:22	我都八千九了，来给他送温暖呀[dog]	(],[,委屈)
 281:53 - 282:15	12名都下个图了	(都,了,下个)
 285:30 - 288:10	因为前面已经太远了打了也没用所以干脆打后面，或者纯盯着主播打的[哇]	(打,士,大戾)
 292:27 - 293:15	好不容易排到一局还被打压了[委屈]	(士,大戾,打压)
 293:35 - 294:07	主播和zmd战队切割了	(战队,切割,zmd)




 305:01 - 307:40	毫无含金量的登顶	(666,了,])
 309:11 - 311:32	悲哀啊	(结束,悲哀,了)
 319:23 - 321:16	悲哀啊	(？,哇,])
 322:20 - 323:15	爱不释手拉戾赛	(],[,爱不释手)
 323:44 - 324:34	但是今晚钻头拉力赛登顶了，无憾了[哇]	(适合,车,走)
 328:28 - 331:41	胖哥发力了	(士,大戾,胖哥)
 331:56 - 332:03	太好了又是热熔胶瀑布[爱]	(睡觉,太好了,新图)
 332:11 - 332:34	饼饼再灯一次	(哇,饼,])
 335:20 - 336:18	主播主播，你怎么知道这个胖哥没法帮你躲了这个雷啊	(胖哥,了,你)
 338:40 - 339:09	胖哥箴言：多日墙，广得道，缓登顶	(广得,多日,箴言)
 342:23 - 343:45	@クリーム松饼 我练的不好[委屈]俩环节都失误了	(],[,咋)
 345:52 - 346:50	我知道，因为上把主播技不如松饼[比心]	(?,？,/)
 347:54 - 349:01	三体蓝龟胖哥鈿	(三体,蓝龟,胖哥鈿)
 349:14 - 349:58	那咋了	(？,卡,他)
 350:00 - 350:05	走马灯	(菜,舒服,?)
 351:38 - 352:17	主播要是借我8000我就起名叫卡他卡他卡他	(呜呜,卡,他)
 353:16 - 353:25		()
 354:29 - 354:45	胖哥这当着你的面呢，这叫抢	(这,叫,当着)
 355:57 - 356:20		()
 361:13 - 362:09	第一遥遥领先	(],[,委屈)
 363:31 - 363:59	又来了[dog]	(又,来,dog)
 372:39 - 374:57	好的[大笑]	(哈哈哈哈,了,哈哈哈)
 379:17 - 380:06	胖哥：启动	(哈哈哈,胖哥,666)
 382:53 - 383:49	没了[dog]	(了,🚀,？)




 384:11 - 386:56	打转了我还以为是热熔蕉[哇]	(金龟子,金,镖)
 392:35 - 393:50	现在观战看不到别人所有道具了	(？,了,九折)
 396:44 - 396:51		()
 397:17 - 397:39	难怪呢  9200	(:,9200,机会)
 398:11 - 398:39		(走马灯)
 403:52 - 405:02	等你第一就有了	(你,第一,呢)
 405:13 - 405:28	马灯都看不到还蓝龟	(看不到,蓝龟,马灯)
 407:32 - 409:48	不昌平了吗[哇]	(亲亲,],[)

