全场最高能：479:20	除非你有比马里奥派对还充足的线下游玩需求[花]否则这游戏不值[花]

其他高能：
 6:12 - 9:06	请问这是超级小孙的直播间吗	(@,💗,松饼)
 129:40 - 130:36	主播，我通不了朵朵高山sp天空的节奏砖块，你能教教我吗	(、,，,和)
 131:58 - 132:32	這遊戲竟然還有dlc，王國之淚都沒有	(要,都,之淚)
 133:36 - 135:20	主播，我通不了朵朵高山sp天空的节奏砖块，你能教教我吗	(？,，,的)
 136:18 - 136:22	是的	(是,的)
 137:13 - 138:18	DLC了不起都不会了	(了不起,加油,了)
 142:13 - 142:22		()
 144:52 - 145:00	這個dlc如果能一命過，那就有8000能力了	(串,一命過,如果)
 156:01 - 158:15	别急 等你马造想坐的时候就会转圈了	(了,咋,？)
 158:20 - 160:23	主播非得让我换名字[dog]这名字总行了吧[dog]	(@,],[)
 160:37 - 161:07	@暴暴牙🍔⁵²³⁷💜 你这号不怕雅阁吗[dog]	(⚡,生疏,不怕)




 161:11 - 161:23	乐[dog]	(一代,。,呀)
 164:26 - 165:13	打库巴儿子解锁	(解锁,儿子,za)
 170:20 - 171:05	我记得金河田和主播关系还不错吧	(金河田,，,工厂)
 175:49 - 177:33	能和胖哥玩吗	(和,吗,是)
 182:44 - 183:28	小蘑菇真不行	(啷,咣,叮铃)
 183:34 - 183:36	那我不玩多人，能只花50买dlc吗[哇]	(只花,50,哈哈哈哈)
 184:09 - 184:16		()
 184:59 - 185:11	有没有懂哥，告诉一下，多少分了	(走马灯,懂哥,，)
 188:12 - 188:54	别急主播，七武海还没打完呢	(胖哥,哇塞,一阵)
 189:36 - 191:01	这是主播和胖哥的专属关，一般人玩不着	(了,，,的)
 196:34 - 196:46	豌豆射手	(依旧,射手,豌豆)
 200:08 - 201:54	我明白了，主播是m，喜欢折磨自己	(？,📣,亏了)
 215:56 - 216:47	那就去多人，精神一下[鼻子]	(可喜可贺,],[)
 218:00 - 220:34	刚来怎么就完结了	(💃,🏻,？)
 221:12 - 222:52	他是演杂技的，你这又蹦又跳的是演啥	(是,杂技,演)
 224:43 - 226:02	要是做好了让你盼着他以后都能做好那他不就亏了吗	(做好,还有,这样)
 229:47 - 230:01	笑死	(重,死,笑)
 230:05 - 230:47	[捂脸]你们有人从头开始看的吗，这DLC好不好玩啊	(快进,⏩,])
 232:41 - 234:30	小丑是主播最喜欢的boss，想多打几遍	(],[,捂脸)
 235:04 - 236:14	@奶油松饼bot 打字真快啊我都看不过来	(啦,转发,奶油)
 238:31 - 239:06	会活的	(条,加血,硬)
 239:27 - 239:33		(折磨,非得,就)




 239:55 - 240:35	@クリーム松饼 桀哥厉害还是白胖厉害啊	(厉害,蠕,友众)
 242:57 - 244:22	@等风来 这是任天堂Switch2独占的马力欧惊奇dlc	(鬼魂,boat,nice)
 246:03 - 247:52	那咋了	(咋,那,了)
 256:49 - 258:44	对啊 主播收获了快乐	(快乐,主播,委屈)
 266:35 - 267:14	@扎堆儿小串（九州店） 这是任天堂Switch2独占的马力欧惊奇dlc	(啊啊啊,坤,了)
 268:10 - 270:59	他不是说有精英训练吗	(冷,这,也)
 272:07 - 273:12	比boss捐的水滴筹多	(😅,瓜子,不好)
 273:51 - 274:09	所以都是手机上有的	(😘,手机,装饰)
 274:17 - 275:08	尖叫高冷🥶🥶🥶🥶🥶	(🥶,害羞,😱)
 286:01 - 286:07	继续训练	(继续,！,训练)
 286:15 - 287:05	@帅气小小女孩 这是dlc	(爱,],[)
 293:21 - 294:20	这不显得您90块钱花的值吗	(🤔,！,训练)
 296:44 - 296:57	这是什么游戏呀请问	(砖里,版里,就算)
 301:08 - 303:44	老任一定觉得他们这个boss战做的好极了，要让大家多玩几遍	(了,的,玩)
 304:53 - 305:30	这个是真折磨，还必须无伤	(这个,可太值,真难)
 309:21 - 310:08	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(快进,冰糖,，)
 316:22 - 316:40	继续训练	(继续,！,训练)
 321:40 - 323:01	安全点	(安全,点,牛车)
 327:38 - 328:10	永别了，所有的冰糖葫芦	(666,阶段,万一)
 330:20 - 331:09	爆了	(爆,直播间,了)
 333:01 - 333:07		()
 335:08 - 336:31	胖哥堵口子了怎么办	(胖哥,了,就行)




 339:02 - 339:44	胖哥手下留情了	(胖哥,还是,一大半)
 345:03 - 345:10	和茶杯头比差个爱不释手	(爱不释手,头比,茶杯)
 350:09 - 350:29	智者永feng	(feng,永,智者)
 351:37 - 351:56		()
 352:42 - 353:17	被打压了	(ohno,打压,被)
 355:43 - 356:07	孙子不是一点钟就在打这个boss了吗，打了三小时吗[dog]	(打,一点钟,吗)
 358:42 - 360:22	我已经被熬到床上躺着了[花]	(了,熬,坤)
 366:04 - 368:57	话说我的惊奇已经出二手了 这可怎么办啊[dog]	(了,全,dlc)
 372:32 - 373:04	真厉害	(厉害,真)
 376:30 - 377:43	睡不着了吧这下	(奖牌,一个,没币)
 379:53 - 381:50	主播玩游戏还得配一秘书[dog]	(河田,],[)
 381:54 - 382:20		(管理,bot,松饼)
 385:09 - 388:15	主播我有100块，是买惊奇DLC好，还是咬咬牙+50买ZA的DLC好	(！,买,za)
 388:17 - 390:43	白金的dlc好玩程度 比这个dlc不知道好多少	(的,都,dlc)
 391:18 - 393:46	是不是专门给有清麻子强迫症的人设计的[dog]	(麻子,清,的)
 394:08 - 395:39	老任一定觉得自己boss设计的可好了（跟原本惊奇里的踩三下小库巴比那确实好）	(了,防,破)
 404:10 - 404:38	照这样玩下去 宝冠军会吃一波不	(一波,宝,下去)
 407:23 - 408:11	噔楞噔楞	(噔,楞,刷新记录)
 412:12 - 412:28		()
 415:03 - 415:28	主播有丰富的背板经验	(刷起来,没皇,经验)
 417:29 - 417:51	说好的刷水滴呢	(说好,刷,水滴)
 418:38 - 419:13	能刷商店吗	(？,抽卡,相当于)




 421:27 - 421:51	现在马里奥都进化到要改系统时间了吗[花]	(进化,系统,改)
 423:22 - 423:40		()
 424:29 - 424:45		()
 425:32 - 425:37		()
 425:41 - 426:55	ns2有个p的新特性，本来就只有个破鼠标的噱头[捂脸]	(鼠标,捂脸,破)
 426:59 - 427:11		(开始,！,训练)
 432:27 - 432:47		()
 436:41 - 437:44	又是车又是雷又是蓝龟你就说今晚玩没玩马车吧[dog]	(又,是,dog)
 438:54 - 439:38	11秒内睡觉	(内,11,睡觉)
 444:03 - 444:44	哦这是二代的新内容吗	(二代,内容,哦)
 450:32 - 450:35		()
 450:42 - 452:12	松饼都按耐不住去牛车了[花]	(°,],[)
 452:36 - 453:11		()
 459:52 - 462:02	让你玩回本了，我不就亏了吗	(让你玩,呢,休息)
 464:55 - 465:36	是啊	(下边,少,更)
 468:44 - 469:29	饼饼该吃碗杂面了	(饼,杂面,碗)
 471:06 - 472:28	我这一晚上都快瞎了[花]	(晚上,如果,视频)
 476:17 - 477:08	天亮前能刷得完不	(亮,天黑,前能)
 477:52 - 480:55	除非你有比马里奥派对还充足的线下游玩需求[花]否则这游戏不值[花]	(觉得,dlc,])
 484:36 - 486:25	应该和你的朋友们换换花这样不就平衡了吗	(应该,刀片,花)
 488:33 - 488:48	这样不会增加时常了吗[dog][dog]	(时常,dog,增加)
 489:02 - 489:54	水滴筹就算了，关键是还要还花呗	(渲二,奥子,胃袋)
 490:47 - 492:00	[捂脸]我觉得惊奇像是试探性作品，名字里都没带super	(super,升级,没带)
 492:19 - 492:58	牛车	(牛车)




 494:24 - 495:02	新游戏吗	(1884175210974,用户,Switch2)
 495:07 - 496:08	谢谢关注💗	(谢谢,都,dlc)
 497:55 - 497:56		()
 498:23 - 498:58	笑死[dog]	(涨价,萨莉亚,死)
 499:24 - 500:12	很多关卡内容还是复用的之前的图	(复用,很多,之前)
 501:11 - 501:43	这游戏叫啥名字	(怒气,红花,99)
 502:16 - 502:47	主播最爱玩的za	(爱玩,最,za)
 504:04 - 504:44	结束了～	(结束,运气,～)
 505:02 - 505:23	之前不就出了三个[dog]	(之前,三个,出)
 510:56 - 512:25	惊奇的意思就是，浇10次也不出一朵[捂脸]	(？,还,惊奇)
 516:19 - 519:30	加纳[爱][爱][爱]	(],[,加纳)

