全场最高能：182:23	没跑过迷路了

其他高能：
 1:48 - 3:04	你怎么比隔壁播狼人杀的都早了	(比心,好,孙怎早)
 251:11 - 251:17	感觉最后一圈基本没啥好道具，基本纯拼技术	(基本,牛太糟,纯拼)
 253:55 - 256:57	孙21	(panga,21,，)
 261:49 - 263:30	电留着给马灯用吗	(？,哈哈哈,轮回)
 270:03 - 272:23	无道具模式这多人就没对抗性了	(~,，,道具)
 278:08 - 278:10		()
 283:23 - 284:27	主播技术也不好啊	(主播,了,技术)
 284:40 - 285:21	技术好都玩马里奥制造了，谁玩碰碰车[吃瓜]	(玩,没学全,本事)
 287:04 - 289:16	玩马车能不生气的也是神人	(不,生气,，)
 291:43 - 292:39	技不如人机	(了,？,舒服)
 295:41 - 296:05	要不先肝一台好點的車吧	(打,不,六场)
 305:29 - 305:34		()
 307:19 - 308:53	我要笑死了，把把10名开外	(了,把,不)
 310:27 - 311:48	心态真差，戾气也重，主播找个班上吧	(路边,下,吧)
 315:55 - 319:13	主播怎么吃上速效救心丸了	(主播,了,吃)
 323:13 - 324:10	牛和车哪个都会害了你	(爆爆,呀,了)
 325:42 - 327:41	牛的手太粗了开不动车车	(墙角,啊啊啊,了)
 336:11 - 338:23	那不就是技不如人	(8000,了,卖)
 344:40 - 345:28	被自己人砸了	(爱牛,转,快)
 346:58 - 348:53	主播每到决赛圈就现原形了	(],[,主播)




 354:17 - 354:39	金蘑菇比其他道具厉害好多	(该,吃,喝喝)
 354:46 - 355:09	这么多蘑菇[花]开了吧	(害人害己,炸,自己)
 355:14 - 355:36	炸自己讲究	(讲究,炸,大王)
 355:45 - 356:23	主播灯不了顶 都怪任天堂	(任天堂,闪电,都)
 357:08 - 358:56	好吗	(好,哈哈哈哈,看看)
 362:20 - 362:45	自重了属于是	(冤冤相报,刀,如换)
 368:04 - 368:10	这么好的机会	(机会,这么,好)
 371:10 - 371:24	跳起来能躲闪电	(跳,起来,？)
 371:31 - 371:39	还真是	(草皮,刚才,真是)
 372:46 - 374:38	你这是上了泥地减速了吧	(了,的,老二)
 376:31 - 376:42	落后刷道具的话容易直接被淘汰	(中蓝龟,高兴,的话)
 379:13 - 381:28	这车是没速度了加速太慢感觉	(雅阁,换,的)
 382:08 - 382:44	这个喷气离谱，太长了	(霍比改,小熊,太长)
 383:03 - 385:11	主播戾气好重	(天线,！,开)
 388:54 - 389:25	吐血了	(了,吐血,完)
 389:32 - 389:36		()
 396:01 - 397:29	你不能只有在对你有利的时候才说打雷好	(？,的,了)
 398:34 - 398:50	服了	(老八,了,拔)
 406:30 - 406:55	前一半也很厉害了	(。,再度,回归)
 407:43 - 409:50	你看他们都是这白车	(白白的,车车,呀)
 418:00 - 418:10	都是牛丧的	(沒愛孫,牛丧,登过)
 418:55 - 419:09	这哔哩果然分币不刷[妙]	(登顶,不刷,果然)
 421:22 - 422:47	主播你是故意的吗	(？,哈哈哈,白车)
 427:02 - 428:09	主播这游戏不是6圈吗，你怎么就跑两圈	(你,摇头,闪电)




 431:31 - 432:23	一套连招给主播送走了	(戾,小连招,一套)
 440:49 - 443:35	啊，我草这任天堂怎么这么坏啊给闪电加强了那么多[大哭]	(主播,赞,戾)
 445:10 - 446:20	我们b的只走灯[花]	(我们,b,1)
 448:20 - 448:49	bili消息闭塞，但是雅阁和自重是不缺的	(不缺,消息闭塞,飞快)
 451:48 - 452:20	8000分了还不切割爱牛怎么赢	(分,8000,了)
 453:23 - 454:31	孙子不光是爱跑第一 还喜欢走中间讨打	(哈哈哈,第一,1)
 459:46 - 460:53	孙老二	(老二,孙,撞墙)
 461:44 - 462:23	B站全在走马灯，他压根不看的	(站,不看,他)
 462:45 - 463:00	主播早就想把比利给关了	(比利,真不熟,给关)
 463:06 - 463:07		()
 463:17 - 463:21		(会,寻主播,蓝色)
 483:56 - 484:27	下一圈开始到主播的知识盲区了	(了,开张,难道)
 484:44 - 486:47	暗示要被爆金币了	(老二,快,白车)
 486:51 - 487:01	弯道快才是真的快	(快,极速,弯道)
 487:04 - 488:34	希望主播能立一个不赢不下播的flag	(6,flag,不赢)
 488:35 - 490:33	还说不是爱孙	(现在,小帽子,蓝龟)
 495:50 - 499:36	这是银色的车 银牛	(老二,了,的)
 507:00 - 507:38	刚来，主播为什么用这个角色	(一枪,致命,牛马)
 507:53 - 508:16	还得是小粉	(INTV,F1,是)
 510:37 - 514:21	这是跑跑卡丁车2嘛 主播咋玩的 限制ip	(卡丁车,跑跑,这是)
 516:16 - 521:01	我房子也过户给你	(？,囍,也)
 521:18 - 521:39	那个壳只要发射了就一直追锁定的人	(锁定,发射,只要)




 524:13 - 524:20	谢谢你6100 你真是好人	(好人,6100,你)
 524:48 - 525:10	主播登顶我就睡觉	(登顶,公主,睡觉)
 531:21 - 531:59	不止一人撞你	(哈哈哈,Set,一人)
 532:40 - 532:53		()
 548:16 - 550:02	主播昨天蘑菇躲了一次蓝龟	(播,不下,了)
 552:24 - 555:16	技术主播直到我睡醒都没赢过[dog]	(哈哈哈,主播,])
 561:10 - 563:28	主播行不行啊 看了一整夜一把不吃	(],[,天亮)
 567:21 - 569:24	别啊，直接登顶再下	(dog,！,哈哈哈)

