全场最高能：212:44	不过这任务确实恶心，xl的范围是241～

其他高能：
 0:00 - 1:50	@クリーム松饼 上班只是为了走马灯而准备的资金[dog]	(为了,走马灯,狐狸)
 242:18 - 242:26		()
 246:40 - 249:10	主播主播，你为什么这么会背逍遥游，里面的“去以六月息”又是什么意思呀	(大力,，,不能)
 251:13 - 251:58	吃口热熔🍌消消气	(哈哈哈,消消气,🍌)
 259:24 - 261:27	看见了吧，宝批会给自己找活干[花]	(刷,了,吧)
 263:29 - 263:43	为什么不叫金河田	(哭,叫,为什么)
 266:22 - 268:05	主播也是m，因为撞号了所以不行[花]	(～,],[)
 268:51 - 270:25	待会你不给她抓她让你见面分一半你就知道为什么是甲方了[哇]	(你,锦鲤,是)




 277:14 - 281:00	是的，主播刚给我解释了一遍[花]	(主播,不,的)
 286:08 - 288:13	都说了8000分水平不一定高	(],[,了)
 295:14 - 295:43	最搞笑的是噩梦神被催眠的样子	(的,搞笑,样子)
 299:07 - 300:29	那麻烦了，还要找水次元洞，好像2星才有	(了,噩梦,，)
 301:13 - 301:23		()
 305:52 - 306:16	麻子生麻子  麻子何其多	(麻子,何其,生)
 306:39 - 308:01	每一颗麻子你都花了钱你应得的不用谢	(你,的,闪)
 310:06 - 310:10		()
 316:34 - 318:19	以前的宝可梦也有这个金发大师兄嘛	(升级,有,在)
 319:46 - 320:59	花呗和金河田吗[哇]	(和,哈哈哈哈,金河田)
 321:18 - 321:32	@中王 很久了	(很久,中王,@)
 321:50 - 321:55		(金河田,花)
 322:23 - 322:44	这么好的环境不美食	(环境,美食,好)
 324:08 - 325:27	老公你吃了吗	(？,吗,高市)
 329:30 - 329:49	主播怎么还在 我都睡醒了   爱您啾咪	(咪,啾,您)
 330:14 - 330:19		()
 330:34 - 331:39	拍椅子	(椅子,我,洗澡)
 332:12 - 332:22		()
 335:43 - 337:27	广告牌播的内容不一样	(好,走马灯,就)
 338:38 - 338:45	铁栏杆	(偷窥,铁栏杆,在)
 338:51 - 341:08	这游戏卖主播真卖便宜了	(狮,火炎,母)
 343:28 - 347:07	你也期待藤藤蛇吗[哇]	(还,吗,你)
 355:06 - 356:03	没事  还有水呢	(还有,呢,河水)
 356:30 - 356:43		(锻炼,mega,不能)
 360:14 - 362:34	加纳了	(了,可以,吗)




 363:25 - 365:58	蜂哥寻他[哇]	(咋,打,那)
 366:25 - 367:12	差点被70干死	(车轮战,干死,70)
 371:25 - 372:09	胖哥寻他[哇]	(],[,寻)
 379:05 - 381:01	蜂寻实在有点肉了 不应该	(],[,妙)
 389:45 - 391:54	晚上还播吗[dog]	(梦醒,吗,寻)
 398:04 - 398:25	这是从昨晚播到现在吗	(呆,],[)
 404:32 - 407:24	大中午的叫人别熬夜	(熬夜,叫,？)
 407:57 - 408:12		()
 408:20 - 409:02	一共多少只啊	(一共,厉害,27)
 410:35 - 411:06	猴打不动啊	(不动,猴,打)
 411:58 - 412:36		()
 417:13 - 417:29		()
 417:44 - 418:22		(不能,限制,了)
 418:41 - 420:27	主播求求你别玩了，我怕我晚上看不到马里奥	(G,玩,吗)
 421:34 - 422:09	没猴没伤害啊	(确凿无疑,动作游戏,没猴)
 424:13 - 429:34	加纳了	(猴,],[)
 429:54 - 429:57	这个也是公的啊，还以为是母的	(是,的,以为)
 431:07 - 431:58	笑死	(守护,集齐,下次)

