全场最高能：164:28	不卡了

其他高能：
 1:57 - 2:29	听着好虚	(],[,虚)
 265:34 - 266:49	另一个好像是某个前男友找了个像你的女朋	(了,失忆,像)
 286:56 - 287:13	不打了么	(么,打,不)
 297:35 - 298:20	刚刚最后跳了两下才没过	(没过,两下,刚刚)
 307:42 - 307:54		()
 309:24 - 310:53	哎哎哎	(哎,欸,唉)
 312:03 - 313:34	蒜鸟蒜鸟，你打不过这张图滴	(鸟,蒜,，)




 313:58 - 315:04	这作者脑洞可以	(身上,司马,脑洞)
 315:27 - 320:14	这图玩的人多，就在困难了	(＊,了,这图)
 329:09 - 330:34	辣条，福袋，荧光棒	(荧光棒,辣条,福袋)
 330:43 - 330:58		(牛牛)
 331:46 - 333:30	听到没 主播让咱们开走	(男友,开放,咱们)
 333:35 - 337:32	我是真的被搞黄了[花]	(],[,是)
 337:49 - 338:04	孬飞	(孬飞,dog,])
 338:07 - 338:32	殃及家人	(家人,殃及,雅阁)
 338:37 - 340:39	这都不孬	(西,孬,，)
 340:42 - 344:35	寻你多看bot视频就好了	(],[,的)
 346:20 - 351:10	你不是和雅阁和解了吗，为什么你的直播间里	(的,了,])
 352:32 - 356:00	饿了么搜超级小桀领取优惠券	(搜,优惠券,比心)
 377:19 - 378:25	怎么还没蒙过	(嗯,第二个,没蒙过)
 380:11 - 380:25	KX2-JDQ-J9G	(-,J9G,JDQ)
 380:44 - 381:35	结构应该就是那个音符，10个bug9个音	(台子,立个,个音)
 382:06 - 382:09		()
 388:52 - 388:53		()
 391:09 - 393:54	爱牛的36个号	(爱牛,36,号)
 395:11 - 396:42	主播被爱牛打团灭了[委屈][委屈][委屈]	(委屈,],[)
 396:43 - 397:24	模神	(一个,模神,嘛)
 422:18 - 423:56	好想吃咖喱猪扒饭[傲娇]	(猪扒,咖喱,饭)
 428:25 - 429:01		()
 429:52 - 430:38		()
 431:01 - 431:24		()
 431:36 - 433:44	老板可以开个舰长支持一下[花]有舰长群	(舰长,，,])
 441:00 - 450:25	爱牛可能线下找你了	(了,],[)




 450:34 - 453:36	我这就去帮我家爱的主播上分儿	(他,卡,我)
 457:02 - 458:52	爱🐮一直是打辅助的[妙]	(？,第二,])
 463:07 - 463:32	冲鸭	(玩车,鸭,冲)
 466:48 - 467:24	[波吉]主播，加油	(],[,睡醒)
 468:20 - 468:32		()
 475:49 - 477:37	灯顶x3	(哇,],[)
 496:15 - 499:57	用晚了	(了,其实,丢)
 503:30 - 505:00	蓝的来了	(来,开光,蓝色)
 505:18 - 506:11	美食还没吃上呢	(技不如人,寄,美食)
 510:32 - 510:38		()
 510:56 - 511:53	没想到橄榄球也能寻	(没想到,系列,橄榄球)
 513:14 - 513:58		()
 515:22 - 517:47	主播怎么自己开走了	(技不如人,我们,怎么)
 520:42 - 521:29		()
 521:52 - 521:58		()
 522:07 - 522:11		()
 522:42 - 523:28		(哈哈哈哈)
 525:06 - 528:23	给了	(了,给,拎)
 529:35 - 532:34	所以傲着吃是什么意思[花]	(哈哈哈,哈哈哈哈,你)
 537:32 - 537:50		()
 538:15 - 538:24	奔奔可爱捏	(奔,那,沟通)
 539:04 - 541:39	你自己弄出来的啊	(运气,哈哈哈哈,你)
 543:16 - 543:31	马造是工作，马车是生活[花]	(是,工作,生活)
 548:55 - 549:58	太可惜了	(了,雷,可惜)
 550:10 - 552:24	有人记住了你的名字	(的,记住,万分)
 553:41 - 554:20	第一轮就第一，不长记性	(不,这次,第一轮)
 556:08 - 556:33		()
 557:08 - 557:28		()
 559:07 - 561:38	一进来就看到灯顶	(了,灯顶,！)




 563:14 - 563:58	这人之前不是见过吗	(记得,他,不)
 566:13 - 567:06	我们就不一样了，我们粉丝看你挨打就高兴	(就,高兴,我)
 567:18 - 568:36	大羽毛	(哈哈哈,羽毛,躲)
 569:09 - 571:20	哇 灯顶	(灯顶,！,登顶)
 576:54 - 577:06		()
 577:17 - 577:24		()
 578:06 - 583:48	技不如人了	(了,操作,技不如人)
 588:01 - 590:35	最后发现没联网，自己和人机打了一局	(了,？,小)

