全场最高能：160:30	我有个疑问，你把弹簧丢上面把p丢旗杆上踩p能上去拿弹簧吗

其他高能：
 6:06 - 6:23	冲鸭	(鸭,冲,飞)
 245:51 - 245:56		()
 246:04 - 247:02	来了	(牛,了,图)
 247:50 - 248:30	蒙的	(蒙,奶牛,能防)
 250:49 - 252:21	好[妙]	(委屈,好,悲哀)
 256:11 - 257:14	亮红壳的一瞬间我看后面是你[傲娇]	(河田,是,的)
 257:52 - 259:19	我在这还遇到过大卡车给我拐出去的[花]	(胖哥鈿,三体,蓝龟)
 259:54 - 262:39	好timing	(中,！,了)
 263:05 - 263:35	牛牛军团出击	(拉戾,强力,一输)
 264:05 - 265:30	哈哈哈哈哈哈哈哈好	(？,哈哈哈,哈哈哈哈)
 266:07 - 266:49	说得跟我充了一样[dog]	(娃娃,充,氪)
 268:33 - 268:38		()
 271:17 - 273:37	胖哥：想不到吧	(想不到,脂肪,胖哥)
 277:10 - 279:33	舒服了	(围巾,了,舒服)
 291:31 - 292:55	好输	(],[,哎)




 295:07 - 295:46	鼠头地龙来了[哇]	(？,无心插柳,天赋)
 297:10 - 298:03	我失败了	(],[,赞)
 299:49 - 300:33	你在这一直空气之刃早晚miss啊	(miss,空气,一直)
 303:09 - 304:17	呃我走了	(他,],[)
 306:31 - 307:31	今天随机数太好 孙子忍不住想爽两下	(巩固,B,孙子)
 308:03 - 309:05	开极光咋办	(。,极光,地龙)
 309:41 - 311:27	牛车的不如意全在这给你补偿上了是吧	(人机,了,])
 314:41 - 314:55	跟他爆了	(爆,卖,跟)
 315:30 - 315:51	舒服了	(猛如虎,一顿,快哥)
 317:08 - 317:35	说tm什么呢	(西施,不许,吓人)
 319:16 - 320:07	就没有性感一点的衣服吗	(！,对面,衣服)
 323:04 - 323:42	又來到說迦納的時候	(亲亲,],[)

