全场最高能：65:54	斗地主了

其他高能：
 0:55 - 2:18	主播是被关雅阁了吗	(啊啊啊,雅阁,好好)
 271:38 - 271:43	偷妈不认	(666,偷妈,不认)
 272:39 - 276:11	你一提卖电脑我才想起来我欠他俩改造十字键的手柄还没做呢	(了,你,？)
 277:44 - 277:46	什么时候牛车	(时候,牛车,什么)
 279:01 - 279:40	看不清啦	(看不清,啦,锎)
 280:12 - 280:16		()
 280:35 - 281:03	镁河田	(？,河田,热)
 282:19 - 283:07	名最白的赢了	(裤衩,瞅,赢)
 288:40 - 289:24	放个箱子能堵住他俩吗[dog]	(箱子,放个,走马灯)
 292:57 - 293:52	该牛车了	(士,大戾,kill)
 296:37 - 297:03	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,展示,主播)
 297:50 - 298:10	倒闭了	(倒闭,了)
 300:14 - 300:42	大戾士	(眉笔,ztmex,技)
 301:07 - 301:13		(一大部分,运气)




 301:34 - 302:18	讨厌主播的可以走马灯找同事搞黄一下哦，舰长可进雅阁体验十周年爆料喵[比心]	(三连胜,，,马造)
 305:43 - 307:05	讨厌主播的可以走马灯找同事搞黄一下哦，舰长可进雅阁体验十周年爆料喵[比心]	(牛车,主播,，)
 309:23 - 310:57	讨厌主播的可以走马灯找同事搞黄一下哦，舰长可进雅阁体验十周年爆料喵[比心]	(，,牛车,技不如人)
 311:43 - 312:37	白胖不是不直播了嘛	(极限,8000,技)
 319:12 - 320:05	右边这管子不会是作者通道吧	(666,？,上)
 323:53 - 325:22	小蓝 ：还不如开牛车呢	(士,大戾,牛车)
 327:23 - 328:09	打半天就加1分	(1,液,就加)
 329:05 - 330:53	主播坐马桶上直播的,望周知	(上,直播,主播)
 334:18 - 335:53	你没发现前面那人左拐了一下(	(了,高手,偷)
 341:16 - 341:21		()
 341:34 - 341:43		()
 341:46 - 343:04	有了	(有,了,蓝龟)
 344:20 - 347:47	不好不对不妙	(了,666,！)
 353:15 - 354:51	lj主播，原来是你把我金蘑菇偷了	(？,我,蘑菇)
 354:57 - 355:08	不喜欢吃道具吗[哇]	(道具,31,-)
 356:34 - 360:11	哇低保	(了,你,555)
 363:26 - 363:30		()
 369:52 - 370:45	还往回扔，笑死	(，,劲儿,保)
 373:49 - 376:40	好电	(了,好,？)
 377:53 - 379:16	都走了	(走,都,LOSE)
 379:39 - 379:42	技如555	(技如,555)
 386:39 - 387:31	好久没看，主包多少分了	(该,第一,这个)
 395:36 - 396:52	isun把后面的人全堵了	(！,666,的)




 398:58 - 399:31	主播喜欢白白胖胖还快的	(白白胖胖,一块,快)
 401:47 - 402:13	金哥也是雷	(LOSE,雷,金哥)
 410:16 - 410:40	唉 潜艇	(？,潜艇,唉)
 410:49 - 413:44	啥是走马灯，我新来的不懂，有人给讲讲吗	(666,的,主播)
 415:49 - 415:58		()
 422:10 - 423:19	孙低保	(库巴,LOSE,低保)
 423:33 - 423:48	来自雅阁的雅乐	(雅乐,诱惑,来自)
 433:18 - 434:11	这么久没弹幕我还以为我卡了	(三四个,我卡,妄想)
 436:44 - 438:25	他是isun	(666,！,isun)
 442:30 - 443:28	那咋了	(咋,了,那)
 445:46 - 448:41	该 喜欢半场开香槟	(~,！,服务)
 456:33 - 459:43	胖哥脸都不要了	(脸,不要,？)
 466:48 - 467:58	不如人	(刹车,乐,666)
 468:48 - 471:22	可惜本来还有亿局	(],[,委屈)
 471:30 - 473:31	好[喝彩]	(好,],[)

