全场最高能：353:54	晚点吃蘑菇就好了

其他高能：
 1:27 - 5:05	早啊啊啊啊	(啊啊啊,],[)
 277:46 - 278:09	大戾士	(士,大戾,好图)
 290:00 - 290:52	桃子公主	(pjbsb,比心,])
 291:57 - 292:05	走马灯	(走马灯)




 293:43 - 295:19	za出了你会直播玩吗	(第几,，,第一)
 295:40 - 295:53	瞎说什么呢，主播有8000实力	(瞎说,实力,总督)
 298:30 - 298:44		()
 298:59 - 299:17	我要睡觉黑听了	(接触,我,台)
 299:26 - 301:23	每次卡都有你	(每次,有,你)
 301:59 - 302:08		()
 303:08 - 303:38	你就不会空踩p吗	(会员,空,踩)
 305:30 - 307:15	古拉多不能飞	(飞,么,不能)
 308:36 - 308:58	可是他不用校园网用啥啊[捂脸]	(一位,校园网,])
 309:23 - 309:45	我感觉马车是不是有算法补偿，玩起来不卡但是还是卡	(z,换人,玩起来)
 312:35 - 314:39	这是主播的人脉[dog]	(比心,],[)
 321:48 - 322:59	因为现在还在玩的都会玩了	(更新,一遍,所有)
 324:44 - 324:51		()
 326:50 - 327:31	好累	(哈哈哈,好,梦里)
 331:34 - 333:28	哇，灯顶	(灯顶,！,了)
 338:18 - 339:29	那只牛淘汰了	(他,哈哈哈,老乡)
 353:20 - 355:58	晚点吃蘑菇就好了	(了,？,撞)
 356:39 - 358:10	是因为开局这么多胖哥给你加油的原因吗	(你,登顶,胖哥)
 358:30 - 358:32		()
 361:08 - 361:31	有含金量的你又做不出来	(卷,傻,含金量)
 364:14 - 365:42	好龟	(式,断崖,领先)
 365:54 - 365:55		()
 366:45 - 366:57		()
 368:47 - 368:51		()
 369:14 - 370:01	胖哥来了	(笑,一个,胖哥)
 371:07 - 372:05	草地被劈淘汰的那俩人：ztmex	(-,喜欢,的)
 375:51 - 377:24	好，运气不错	(三体,的,好)




 377:36 - 377:55	对的对的	(对,启动,的)
 378:12 - 378:15		()
 381:48 - 383:08	这游戏玩的人也不多了	(笑,跟,孙)
 383:29 - 383:39	电别人时候和被电时候就两副嘴脸	(电,时候,两副)
 386:47 - 389:16	因为你戾气太重心态爆炸操作变形导致技术下滑最终技不如人	(冠军,了,严父)
 393:07 - 394:05	第六给攻击道具不是很正常，不然给倒一倒二刷，那个金币盒子才是不合理的	(给,不合理,盒子)
 394:07 - 394:26	哈气了	(！,巨化,极)
 394:30 - 395:38	要不然就改成金币满20再吃给个小的加速效果，现在金币和没用没区别	(金币,个,给)
 400:22 - 401:52	主播是不是又把松饼气跑了	(强图,了,越)
 401:57 - 402:23	主播回到马造了，全是牛牛	(早上,Inbox,全是)
 402:58 - 403:24	又来了	(♂,刺激,强烈)
 405:54 - 407:45	必赢在哪	(必赢,牛,哪)
 412:39 - 413:20	还想要金蘑菇，给你一回旋镖	(劈劈,金龟子,刷个)
 416:09 - 419:16	不掉下去你吃蓝龟输了	(的,了,不)
 419:21 - 419:33		(警告,第,9)
 427:22 - 430:00	8个活人老八，还是太有实力了	(瀑布,哈哈哈,8)
 438:14 - 440:35	这蘑菇多的离谱了吧	(？,就是,最后)
 444:17 - 446:51	不会再给你喇叭了	(？,?,有爱孙)
 449:40 - 450:57	要不是灯哥能灯顶	(？,灯哥,灯顶)
 451:10 - 452:50	高级动物被粘了知道叫 低级的直接等死了	(粘,动物,叫)
 458:29 - 460:10	好结局	(道具,你,好)
 461:46 - 463:15	赢了	(了,LOSE,赢)
 479:42 - 480:14	无解	(解,无,g)




 487:54 - 489:01	不明白	(收到,正面,一百次)
 490:18 - 492:25	没关系，主播连输100次也不会影响下一把胜率是1/2的	(/,2,1)
 492:43 - 493:13		(起来,跳,太重)
 493:48 - 494:02	谁啊	(鼠鼠,谁,啊)
 495:55 - 496:20	闪电也来了	(闪电,来,也)
 501:49 - 503:21	234互害局	(乐,士,大戾)
 505:14 - 506:31	强图	(强图,比心,强)

