全场最高能：305:23	你带出去的宝可梦在原来地方的舒适度越高掉的舒适度就越多

其他高能：
 0:51 - 4:54	@クリーム松饼 我已经好久没买卡带了[dog]	(],[,比心)
 131:22 - 132:21	主播你的板子啥时候破好，我们全国玩家还等着玩太鼓呢	(maimai,玩,呢)
 132:40 - 134:09	这不是抄的MC的抄的迷你世界吗[dog]	(的,抄,这)
 135:46 - 137:20	说了你要找新的宝可梦	(大笑,你,的)
 155:21 - 155:45	抠[dog]	(抠,最小,太好了)
 157:05 - 157:27	栖息地是不是该多整点	(只刷,先多快,整点)
 161:24 - 161:35	@クリーム松饼 水君的窝做好了吗	(做好,窝,水君)
 161:39 - 161:47		(之王,绯红,dog)
 166:04 - 166:49	那咋了	(咋,那,了)
 171:50 - 171:53	什么要炸了[哇]	(炸,什么,要)
 172:12 - 173:36	@クリーム松饼 又是这个游戏能刷出闪光[dog]	(dog,妙子,这个)
 176:17 - 176:45	你看看你包里有没有冰箱	(你,冰箱,有没有)




 178:10 - 180:22	该下一个了[dog]	(饼,音箱,])
 181:22 - 181:24		()
 182:03 - 183:10	那我问你，最新版本mc更新了什么	(更新,了,？)
 185:04 - 186:41	宝宝我才发现每个宝可梦的要求好像是一天刷新一次[dog]	(清理,好像,])
 186:54 - 186:56		()
 189:04 - 189:14	看见这老虎想起来你是不是还有家没造啊	(没造,老虎,起来)
 190:57 - 192:17	体感感觉十几天前才刚过完年[哇]怎么就又要过年了	(号,过年,])
 194:46 - 195:02		()
 198:13 - 198:25	时间过的真快[哇]	(真快,过,时间)
 199:26 - 200:33	主播你已經快要可以兌獎了 教教我們你是怎麼辦到的[哇]	(嚯,不错,你)
 203:00 - 204:25	你還管起寶可夢的生活了	(你,玩偶,看)
 207:45 - 208:30	活动啥意思   是特殊隐藏	(？,特定,没拉上)
 211:40 - 212:14	看到吞东西 我感觉星之卡比 也能出个类似的游戏[捂脸]	(出个,星,吞)
 213:34 - 214:09	我搜了一下	(快进,搜,了)
 214:18 - 214:24	不待一年不错了	(待,一年,凌晨)
 214:54 - 215:18	调时间能跳过吗	(能,跳,调)
 221:36 - 222:27	稀有宝可梦金属是拿来3d打印的	(3d,拍,你)
 223:27 - 224:01	行  待会我自己也试一下	(试一下,待会,行)
 224:39 - 224:48		()
 227:27 - 227:41	並非無聊[哇]	(無聊,並非,哇)
 227:48 - 228:58	老公，我想听你亲亲	(比心,洞窟,])
 238:24 - 239:07	呸，皮卡丘沙发拿出来	(沙发,拿,出来)
 244:07 - 244:12		()
 244:27 - 246:24	别把皮卡丘整成水系的了	(皮卡丘,dog,])




 246:56 - 247:33		(什么游戏,这是,啊)
 250:19 - 251:05	换地皮	(挖渠,地皮,换)
 252:45 - 255:44	礼貌借楼，求哪位孙爷爷能给我600的硬盘，等你被阴极射线管寻了给你孙子转账300	(的,要,给)
 255:50 - 257:30	宝可梦也要吃四菜一汤吗	(za,吞食,盘子)
 260:05 - 261:33	饼饼19级了	(饼,凳子,叶子)
 261:37 - 263:55	礼貌借楼，求哪位孙爷爷能给我600的硬盘，等你被阴极射线管寻了给你孙子转账300	(的,真,，)
 266:12 - 266:24	这些都是什么音乐	(音乐,这些,什么)
 273:44 - 278:36	整个世界观好像是人类已经去宇宙了，但是大部分宝可梦带不走	(怪,了,人类)
 283:18 - 283:38	多弄几个新宝可梦吧	(新宝,几个,弄)
 288:10 - 288:35		()
 291:28 - 292:51	有电力驱动的河田吗[比心]	(竞床,电,的)
 296:25 - 297:37	为啥不能像幻兽帕鲁一样让他们伺候你	(让,不能,苦工)
 303:26 - 303:41		()
 304:56 - 307:46	你带出去的宝可梦在原来地方的舒适度越高掉的舒适度就越多	(が,ポ,ン)
 308:10 - 308:49	因为喵喵不打工所以带回来了	(喵,开个,皇帝)
 309:17 - 311:54	生萝卜确实是有辣的	(萝卜,的,辣)
 312:00 - 312:08		(扫地,机器人)
 321:11 - 321:16		()
 321:55 - 322:36	花钱买罪受是吗	(罪受,花钱买,吗)
 325:28 - 325:37		()
 327:29 - 328:05	那只皮卡丘的电源出问题了吗[委屈]	(放电,唐笑,太好了)
 329:45 - 331:12	梦到在地铁里当吃垃圾的[哇]	(地铁,的,在)
 336:16 - 336:49	pdd现在有3089	(抢券,八点,3089)




 337:59 - 338:48	只能含泪玩4v4小人对打了	(拿,就,还种)
 339:06 - 341:26	你不如给我打5237块，我买了机器和游戏，去主播那卡他卡他卡他	(块,，,5237)
 345:00 - 345:26	登顶	(登顶,！)
 346:31 - 346:42	需要建房子让她进去住吧	(她,进去,建)
 346:44 - 348:02	主播你还没进去怎么就封口了	(…,笑,他)
 348:07 - 348:14		()
 352:03 - 352:35	纯白忙活	(哈哈哈哈,哈哈哈,纯白)
 360:48 - 361:14	ns卡带是苦的	(苦,ns,卡带)
 364:18 - 365:51	藤藤蛇来寻你了[哇]	(藤藤蛇,哇,滑梯)
 368:01 - 368:36	把他放在火系神奇宝贝旁边不就好了	(里边,放在,火系)
 368:48 - 371:34	这个伺候宝可梦的班上完了就有牛车了	(哞,了,牛车)
 371:52 - 372:02		()
 375:30 - 375:50		()
 379:35 - 383:19	之前的版本不都是捕捉升级对战比较多吗	(六月,版本,为什么)
 384:07 - 385:23	藤藤蛇来了	(藤藤蛇,来,了)
 388:44 - 390:19	藤藤蛇有什么奇怪的啊[哇]	(啊,掉,])
 391:32 - 391:50	你自己能做玩具吧	(自己,做,能)
 391:54 - 392:08		()
 392:42 - 394:39	主播不含头200，胖哥8000，当然是胖哥更胖	(胖哥,主播,，)
 395:33 - 396:39	所以你不带上电击兽	(电击,兽,不)
 397:09 - 397:23		()
 398:01 - 399:53	骗你的，睡一觉的费用比机票还贵，进去怎么能睡得着的	(wifi,的,还)
 401:52 - 403:27	都有藤藤蛇了能不厉害吗[哇]	(厉害,挺,])




 403:31 - 404:33	礼貌借楼，求哪位孙爷爷能给我600的硬盘，等你被阴极射线管寻了给你孙子转账300	(给,pjbsb,区域)
 406:37 - 408:15	这是舰长群特供故事	(，,了,群)
 409:37 - 410:21	这货当初这么说的：	(鼓,这货,脏)
 412:43 - 414:42	我相信在座的各位都知道發生了什麼 主播你就講吧	(的,我,，)
 417:01 - 417:54	我都要去上课了，主播还没完结呐	(我,去,，)
 421:26 - 424:47	我只是不记得CRT是开店的还是使用热熔蕉的	(的,讲,我)
 430:27 - 431:46	再不讲DLC我都要睡着了	(波加,都,委屈)
 435:23 - 437:38	礼貌借楼，求哪位孙爷爷能给我600的硬盘，等你被阴极射线管寻了给你孙子转账300	(了,给,不是)
 438:30 - 440:01	可是这300CRT不给他小企鹅垫上吗	(他,给,智力)
 442:13 - 443:14	@是非对错我也无心分辨 这是任天堂Switch2独占的新作pokopia	(公关,的,主播)
 449:08 - 450:12	礼貌借楼，求哪位孙爷爷能给我600的硬盘，等你被阴极射线管寻了给你孙子转账300	(鲤龙,你,有暴)
 452:44 - 452:48		()
 452:56 - 452:58		()
 454:08 - 454:34	一醒来就听到热熔胶的故事	(他,泄露,可不)
 456:30 - 457:36	所以他的银行卡号公开了吗	(的,是,鲁迅)
 458:33 - 459:34	@iawfy 这是任天堂Switch2独占的新作pokopia	(斩,啥,的)
 460:16 - 460:44	胖哥[哇]	(胖哥,胖手,超力)
 461:33 - 462:37	我把拉普拉斯，椰蛋树，铁臂膀和大岩蛇都给安家在粉色小屋里，然后用了个甜甜...	(了,，,屋里)
 474:46 - 475:50	@顾念安🎼 这是任天堂Switch2独占的新作pokopia	(误会,？,是)




 476:43 - 477:45	@🌈CM🌈 这是任天堂Switch2独占的新作pokopia	(的,🌈,跟)
 487:00 - 488:42	胖哥怎么叫	(叫,模仿,怎么)
 490:28 - 491:33	还有荒野要五级呢[dog]	(呢,],[)
 491:44 - 492:22	@クリーム松饼 谢谢	(一關,還有,哈哈哈哈)
 493:07 - 493:56	0射又是怎么叫的	(叫,0,])
 494:11 - 494:29	百变怪怎么叫	(狗豪,百变,怪)
 496:16 - 498:24	礼貌借楼，求哪位孙爷爷能给我600的硬盘，等你被阴极射线管寻了给你孙子转账300	(了,都,])
 499:28 - 502:07	我晚上看见个很牛的过山车[dog]发给你了的	(的,了,我)
 504:13 - 505:23	你怎么ip广西，你是不是胖哥装的小桀[dog]	(，,那,主播)
 516:03 - 519:10	主播说了一句：原来我的利润才是-0.5	(了,],[)
 519:28 - 519:35		()
 520:23 - 520:46	慎买	(慎买)
 521:12 - 523:38	人家问你是不是会气球身边，你非得选是，选否不就留下了吗	(？,鲁迅,的)
 524:47 - 525:04	游乐园不适合居住[dog]	(网子,水君,到)
 534:23 - 535:23	你租这个没啥意义，除非你能想主播一样天天连续8个小时	(久,能,租)
 537:13 - 537:48	主线结束主播还玩不[dog]	(！,啊,包围)
 541:13 - 541:19		()
 541:52 - 542:08	等等，小桀视频里的超级大奔奔原来是他啊	(奔,是,大奔)
 544:21 - 545:11	那你把豪力叫过来不就得了	(奔,叫,把)
 557:06 - 557:31	对了，皮卡丘沙发拿出来[dog]	(沙发,皮卡丘,拿)
 558:31 - 558:54	收纳怎么增加	(增加,收纳,怎么)




 559:13 - 559:21	要推剧情升级才能买下一级	(一级,买下,推)
 566:22 - 568:45	藏好了[哇]	(的,岛,是)
 569:39 - 570:21	你打算玩哪一个岛呀	(打算,哪,岛)
 570:52 - 571:03		()
 574:58 - 575:13		()
 575:19 - 575:35	笑死我了	(死,笑,？)
 580:26 - 580:31		()
 581:18 - 581:25		()
 581:38 - 582:10		(几,不得,攻略)
 584:00 - 585:31	一点都没了吗[dog]	(整宿,睡觉,])
 585:48 - 595:13	这是通关了吗	(了,人类,的)
 595:42 - 595:53	火箭队	(火箭队)
 596:46 - 596:57	有点像机器人总动员的剧情	(总动员,有点像,机器人)
 598:26 - 598:54	最后一个技能是啥啊	(储藏室,成都,99)
 605:58 - 606:04		()
 606:12 - 607:02	别嗝屁了，大晚上还不睡	(比心,饼,])
 611:56 - 613:49	加纳[亲亲]	(啊啊啊,],[)

