全场最高能：317:04	悲哀 和田太强了

其他高能：
 8:43 - 14:32	这个叫走马灯	(？,主播,了)
 386:33 - 387:21	师傅用力啊 没吃饭吗	(师傅,没,吃饭)
 388:12 - 389:15	乐[dog]	(百变,乐,buff)
 389:38 - 389:46		(悲哀,啊,dog)
 392:30 - 394:31	怎么还搞上场外了[dog]	(了,dog,一边)
 396:58 - 397:50	他就算换上来也没你快吧	(人机,他,反应)
 399:28 - 400:21	人机人机	(人机,水滴,带个)
 400:31 - 400:36		(_,太晶,万花)
 405:08 - 406:25	继续震	(明白,震,地震)
 415:20 - 416:59	加纳[亲亲][亲亲][亲亲]	(加纳,亲亲,])

