全场最高能：132:15	我这边有个营业执照就行，专线不是大带宽也不贵，最便宜的一个月 100 多的样子

其他高能：
 2:00 - 2:09	虾片好吃	(虾片,好吃,晚上)
 257:43 - 259:39	就现在这环境  不找人你能上8000	(8000,开,，)
 269:12 - 270:06	这图我见白胖玩过	(耶,捂脸,白胖)




 271:18 - 273:02	季小麦来玩 还不得爽死了	(蒙,的,？)
 278:09 - 279:02	坐莲拿了币	(！,坐莲,箱有)
 279:13 - 285:19	记数的技不如人了[看]	(的,？,比心)
 287:24 - 289:56	主播把555熬睡着了就牛车了[看]	([,],花)
 290:06 - 293:19	这种是差在哪里了，这还不蓟县吗	(，,不,秒)
 293:24 - 293:30	主播太白太胖了，挤不进去	(太胖,太白,挤)
 296:44 - 297:58	555来了	(555,了,，)
 299:49 - 299:54	2.233过关时间都在笑你技不如人[看]	(2.233,过关,笑)
 302:17 - 302:36	@不服全葬 他必须得睡了[看]	(坐莲快,挺萌,左)
 303:37 - 303:53	不行啊	(不行,啊)

